step,loss_function,target_value,elapsed_time
0,1.40253e+03,5.44206e+00,31
1,6.38108e+01,5.44706e+00,44
2,6.14300e+01,5.45186e+00,44
3,6.37537e+01,5.45619e+00,44
4,6.27661e+01,5.46016e+00,44
5,6.13514e+01,5.46243e+00,45
6,6.03549e+01,5.46461e+00,45
7,5.96559e+01,5.46773e+00,45
8,5.91685e+01,5.47139e+00,45
9,5.88578e+01,5.47419e+00,45
10,5.86471e+01,5.47634e+00,45
11,5.84793e+01,5.47825e+00,45
12,5.83445e+01,5.48032e+00,45
13,5.82377e+01,5.48281e+00,46
14,5.81500e+01,5.48521e+00,46
15,5.80800e+01,5.48761e+00,46
16,5.80240e+01,5.48995e+00,46
17,5.79714e+01,5.49217e+00,46
18,5.79269e+01,5.49421e+00,46
19,5.78888e+01,5.49642e+00,46
20,5.78562e+01,5.49854e+00,46
21,5.78271e+01,5.50017e+00,46
22,5.78033e+01,5.50230e+00,47
23,5.77835e+01,5.50393e+00,47
24,5.77700e+01,5.50546e+00,47
25,5.77571e+01,5.50681e+00,47
26,5.77433e+01,5.50752e+00,47
27,5.77296e+01,5.50866e+00,47
28,5.77177e+01,5.50943e+00,47
29,5.77069e+01,5.51080e+00,47
30,5.76964e+01,5.51286e+00,48
31,5.76877e+01,5.51460e+00,48
32,5.76786e+01,5.51638e+00,48
33,5.76691e+01,5.51811e+00,48
34,5.76579e+01,5.51981e+00,48
35,5.76463e+01,5.52192e+00,48
36,5.76352e+01,5.52379e+00,48
37,5.76258e+01,5.52534e+00,48
38,5.76166e+01,5.52676e+00,48
39,5.76087e+01,5.52814e+00,49
40,5.76002e+01,5.52996e+00,49
41,5.75921e+01,5.53172e+00,49
42,5.75854e+01,5.53385e+00,49
43,5.75788e+01,5.53528e+00,49
44,5.75732e+01,5.53662e+00,49
45,5.75677e+01,5.53870e+00,49
46,5.75625e+01,5.54050e+00,49
47,5.75584e+01,5.54181e+00,50
48,5.75545e+01,5.54313e+00,50
49,5.75510e+01,5.54387e+00,50
50,5.75481e+01,5.54384e+00,50
51,5.75455e+01,5.54449e+00,50
52,5.75431e+01,5.54531e+00,50
53,5.75410e+01,5.54571e+00,50
54,5.75391e+01,5.54625e+00,50
55,5.75372e+01,5.54678e+00,51
56,5.75355e+01,5.54701e+00,51
57,5.75340e+01,5.54647e+00,51
58,5.75326e+01,5.54595e+00,51
59,5.75312e+01,5.54559e+00,51
60,5.75299e+01,5.54534e+00,51
61,5.75290e+01,5.54420e+00,51
62,5.75282e+01,5.54251e+00,51
63,5.75275e+01,5.54107e+00,51
64,5.75267e+01,5.54031e+00,52
65,5.75259e+01,5.53978e+00,52
66,5.75252e+01,5.53930e+00,52
67,5.75246e+01,5.53835e+00,52
68,5.75240e+01,5.53769e+00,52
69,5.75233e+01,5.53769e+00,52
70,5.75227e+01,5.53777e+00,52
71,5.75221e+01,5.53785e+00,52
72,5.75214e+01,5.53845e+00,53
73,5.75208e+01,5.53883e+00,53
74,5.75203e+01,5.53884e+00,53
75,5.75199e+01,5.53850e+00,53
76,5.75195e+01,5.53835e+00,53
77,5.75191e+01,5.53814e+00,53
78,5.75187e+01,5.53773e+00,53
79,5.75185e+01,5.53683e+00,53
80,5.75184e+01,5.53548e+00,53
81,5.75182e+01,5.53470e+00,54
82,5.75181e+01,5.53336e+00,54
83,5.75179e+01,5.53252e+00,54
84,5.75178e+01,5.53152e+00,54
85,5.75178e+01,5.53023e+00,54
86,5.75178e+01,5.52861e+00,54
87,5.75177e+01,5.52783e+00,54
88,5.75178e+01,5.52596e+00,54
89,5.75179e+01,5.52436e+00,55
90,5.75180e+01,5.52236e+00,55
91,5.75181e+01,5.52076e+00,55
92,5.75181e+01,5.51909e+00,55
93,5.75183e+01,5.51701e+00,55
94,5.75185e+01,5.51523e+00,55
95,5.75186e+01,5.51344e+00,55
96,5.75188e+01,5.51185e+00,55
97,5.75190e+01,5.50990e+00,55
98,5.75191e+01,5.50847e+00,56
99,5.75192e+01,5.50731e+00,56
100,5.75193e+01,5.50624e+00,56
101,5.75193e+01,5.50541e+00,56
102,5.75191e+01,5.50572e+00,56
103,5.75189e+01,5.50582e+00,56
104,5.75187e+01,5.50604e+00,56
105,5.75185e+01,5.50616e+00,56
106,5.75185e+01,5.50530e+00,57
107,5.75184e+01,5.50517e+00,57
108,5.75184e+01,5.50489e+00,57
109,5.75184e+01,5.50436e+00,57
110,5.75185e+01,5.50346e+00,57
111,5.75188e+01,5.50178e+00,57
112,5.75192e+01,5.49971e+00,57
113,5.75195e+01,5.49797e+00,57
114,5.75197e+01,5.49690e+00,57
115,5.75199e+01,5.49563e+00,58
116,5.75199e+01,5.49526e+00,58
117,5.75200e+01,5.49463e+00,58
118,5.75200e+01,5.49416e+00,58
119,5.75200e+01,5.49404e+00,58
120,5.75201e+01,5.49336e+00,58
121,5.75201e+01,5.49273e+00,58
122,5.75201e+01,5.49255e+00,58
123,5.75198e+01,5.49343e+00,59
124,5.75195e+01,5.49433e+00,59
125,5.75190e+01,5.49567e+00,59
126,5.75187e+01,5.49665e+00,59
127,5.75184e+01,5.49744e+00,59
128,5.75182e+01,5.49777e+00,59
129,5.75180e+01,5.49830e+00,59
130,5.75179e+01,5.49847e+00,59
131,5.75176e+01,5.49931e+00,60
132,5.75169e+01,5.50156e+00,60
133,5.75163e+01,5.50379e+00,60
134,5.75158e+01,5.50565e+00,60
135,5.75154e+01,5.50690e+00,60
136,5.75149e+01,5.50879e+00,60
137,5.75142e+01,5.51138e+00,60
138,5.75137e+01,5.51341e+00,60
139,5.75131e+01,5.51556e+00,61
140,5.75127e+01,5.51697e+00,61
141,5.75124e+01,5.51820e+00,61
142,5.75122e+01,5.51894e+00,61
143,5.75118e+01,5.52055e+00,61
144,5.75113e+01,5.52229e+00,61
145,5.75111e+01,5.52298e+00,61
146,5.75112e+01,5.52235e+00,61
147,5.75113e+01,5.52155e+00,62
148,5.75113e+01,5.52116e+00,62
149,5.75112e+01,5.52144e+00,62
150,5.75111e+01,5.52191e+00,62
151,5.75111e+01,5.52159e+00,62
152,5.75112e+01,5.52086e+00,62
153,5.75112e+01,5.52048e+00,62
154,5.75114e+01,5.51955e+00,63
155,5.75114e+01,5.51904e+00,63
156,5.75114e+01,5.51880e+00,63
157,5.75114e+01,5.51855e+00,63
158,5.75112e+01,5.51936e+00,63
159,5.75111e+01,5.51958e+00,63
160,5.75112e+01,5.51911e+00,63
