step,loss_function,target_value,elapsed_time
0,1.66765e+02,2.90219e+00,33
1,1.03876e+02,2.89719e+00,49
2,1.03857e+02,2.89342e+00,50
3,1.03840e+02,2.88932e+00,52
4,1.03799e+02,2.88504e+00,54
5,1.03758e+02,2.88081e+00,56
6,1.03744e+02,2.87670e+00,57
7,1.03746e+02,2.87302e+00,59
8,1.03768e+02,2.86893e+00,61
9,1.03775e+02,2.86480e+00,63
10,1.03758e+02,2.86040e+00,64
11,1.03740e+02,2.85639e+00,66
12,1.03719e+02,2.85239e+00,68
13,1.03710e+02,2.84833e+00,70
14,1.03694e+02,2.84512e+00,71
15,1.03683e+02,2.84207e+00,73
16,1.03671e+02,2.83978e+00,75
17,1.03672e+02,2.83713e+00,77
18,1.03676e+02,2.83393e+00,78
19,1.03680e+02,2.83099e+00,80
20,1.03694e+02,2.82776e+00,82
21,1.03697e+02,2.82408e+00,84
22,1.03695e+02,2.82093e+00,85
23,1.03682e+02,2.81831e+00,87
24,1.03674e+02,2.81518e+00,89
25,1.03666e+02,2.81254e+00,91
26,1.03658e+02,2.81013e+00,92
27,1.03645e+02,2.80790e+00,94
28,1.03638e+02,2.80510e+00,96
29,1.03626e+02,2.80231e+00,98
30,1.03616e+02,2.79909e+00,99
31,1.03608e+02,2.79558e+00,101
32,1.03599e+02,2.79297e+00,103
33,1.03593e+02,2.79020e+00,105
34,1.03583e+02,2.78778e+00,106
35,1.03569e+02,2.78602e+00,108
36,1.03561e+02,2.78384e+00,110
37,1.03560e+02,2.78174e+00,112
38,1.03556e+02,2.77949e+00,113
39,1.03550e+02,2.77844e+00,115
40,1.03550e+02,2.77801e+00,117
41,1.03547e+02,2.77768e+00,119
42,1.03541e+02,2.77771e+00,120
43,1.03552e+02,2.77725e+00,122
44,1.03558e+02,2.77627e+00,124
45,1.03563e+02,2.77510e+00,126
46,1.03569e+02,2.77416e+00,127
47,1.03582e+02,2.77357e+00,129
48,1.03593e+02,2.77330e+00,131
49,1.03602e+02,2.77194e+00,132
50,1.03613e+02,2.76997e+00,134
51,1.03618e+02,2.76805e+00,136
52,1.03622e+02,2.76699e+00,138
53,1.03625e+02,2.76610e+00,139
54,1.03632e+02,2.76630e+00,141
55,1.03637e+02,2.76663e+00,143
56,1.03640e+02,2.76787e+00,145
57,1.03638e+02,2.76898e+00,146
58,1.03636e+02,2.77020e+00,148
59,1.03636e+02,2.77188e+00,150
60,1.03638e+02,2.77310e+00,152
61,1.03639e+02,2.77515e+00,153
62,1.03635e+02,2.77669e+00,155
63,1.03632e+02,2.77775e+00,157
64,1.03621e+02,2.77901e+00,159
65,1.03611e+02,2.77976e+00,161
66,1.03594e+02,2.78096e+00,162
67,1.03578e+02,2.78233e+00,164
68,1.03568e+02,2.78404e+00,166
69,1.03559e+02,2.78522e+00,168
70,1.03542e+02,2.78665e+00,169
71,1.03530e+02,2.78790e+00,171
72,1.03520e+02,2.78900e+00,173
73,1.03508e+02,2.78932e+00,175
74,1.03493e+02,2.78909e+00,176
75,1.03481e+02,2.78991e+00,178
76,1.03475e+02,2.79088e+00,180
77,1.03483e+02,2.79119e+00,182
78,1.03485e+02,2.79073e+00,183
79,1.03477e+02,2.78997e+00,185
80,1.03468e+02,2.78938e+00,187
81,1.03451e+02,2.78921e+00,189
82,1.03441e+02,2.78892e+00,190
83,1.03433e+02,2.78832e+00,192
84,1.03423e+02,2.78798e+00,194
85,1.03420e+02,2.78721e+00,196
86,1.03412e+02,2.78624e+00,197
87,1.03400e+02,2.78545e+00,199
88,1.03390e+02,2.78416e+00,201
89,1.03378e+02,2.78307e+00,203
90,1.03374e+02,2.78173e+00,204
91,1.03360e+02,2.78031e+00,206
92,1.03332e+02,2.77926e+00,208
93,1.03310e+02,2.77855e+00,210
94,1.03295e+02,2.77776e+00,211
95,1.03281e+02,2.77720e+00,213
96,1.03274e+02,2.77590e+00,215
97,1.03263e+02,2.77423e+00,217
98,1.03250e+02,2.77314e+00,218
99,1.03239e+02,2.77227e+00,220
100,1.03231e+02,2.77115e+00,222
101,1.03226e+02,2.76968e+00,224
102,1.03222e+02,2.76814e+00,225
103,1.03220e+02,2.76617e+00,227
104,1.03220e+02,2.76505e+00,229
105,1.03220e+02,2.76379e+00,231
106,1.03218e+02,2.76322e+00,232
107,1.03211e+02,2.76288e+00,234
108,1.03201e+02,2.76288e+00,236
109,1.03189e+02,2.76324e+00,238
110,1.03178e+02,2.76391e+00,239
111,1.03165e+02,2.76402e+00,241
112,1.03148e+02,2.76423e+00,243
113,1.03128e+02,2.76433e+00,245
114,1.03107e+02,2.76370e+00,246
115,1.03090e+02,2.76261e+00,248
116,1.03075e+02,2.76224e+00,250
117,1.03063e+02,2.76302e+00,252
118,1.03052e+02,2.76334e+00,253
119,1.03042e+02,2.76432e+00,255
120,1.03034e+02,2.76526e+00,257
121,1.03025e+02,2.76586e+00,258
122,1.03024e+02,2.76644e+00,260
123,1.03020e+02,2.76766e+00,262
124,1.03015e+02,2.76848e+00,264
125,1.03002e+02,2.76949e+00,265
126,1.02989e+02,2.77019e+00,267
127,1.02979e+02,2.77138e+00,269
128,1.02970e+02,2.77267e+00,271
129,1.02958e+02,2.77408e+00,272
130,1.02943e+02,2.77532e+00,274
131,1.02934e+02,2.77683e+00,276
132,1.02929e+02,2.77851e+00,278
133,1.02925e+02,2.78045e+00,279
134,1.02920e+02,2.78208e+00,281
135,1.02919e+02,2.78361e+00,283
136,1.02915e+02,2.78461e+00,285
137,1.02913e+02,2.78465e+00,286
138,1.02909e+02,2.78428e+00,288
139,1.02903e+02,2.78301e+00,290
140,1.02894e+02,2.78135e+00,292
141,1.02883e+02,2.77979e+00,293
142,1.02865e+02,2.77853e+00,295
143,1.02848e+02,2.77707e+00,297
144,1.02839e+02,2.77539e+00,299
145,1.02836e+02,2.77439e+00,300
146,1.02837e+02,2.77378e+00,302
147,1.02839e+02,2.77370e+00,304
148,1.02843e+02,2.77363e+00,306
149,1.02849e+02,2.77367e+00,307
