step,loss_function,target_value,elapsed_time
0,2.82089e+02,2.91877e+00,17
1,1.94007e+02,2.92377e+00,24
2,1.94007e+02,2.92196e+00,26
3,1.93982e+02,2.91997e+00,27
4,1.93957e+02,2.91749e+00,28
5,1.93932e+02,2.91408e+00,29
6,1.93916e+02,2.91091e+00,30
7,1.93899e+02,2.90805e+00,32
8,1.93883e+02,2.90521e+00,33
9,1.93864e+02,2.90375e+00,34
10,1.93847e+02,2.90344e+00,35
11,1.93829e+02,2.90148e+00,36
12,1.93815e+02,2.89931e+00,37
13,1.93802e+02,2.89722e+00,39
14,1.93785e+02,2.89459e+00,40
15,1.93769e+02,2.89156e+00,41
16,1.93753e+02,2.88840e+00,42
17,1.93736e+02,2.88566e+00,43
18,1.93718e+02,2.88240e+00,45
19,1.93703e+02,2.87874e+00,46
20,1.93689e+02,2.87562e+00,47
21,1.93674e+02,2.87268e+00,48
22,1.93656e+02,2.86969e+00,49
23,1.93638e+02,2.86729e+00,50
24,1.93617e+02,2.86525e+00,52
25,1.93601e+02,2.86305e+00,53
26,1.93588e+02,2.86062e+00,54
27,1.93575e+02,2.85794e+00,55
28,1.93562e+02,2.85499e+00,56
29,1.93550e+02,2.85157e+00,58
30,1.93540e+02,2.84809e+00,59
31,1.93530e+02,2.84491e+00,60
32,1.93517e+02,2.84175e+00,61
33,1.93496e+02,2.83874e+00,62
34,1.93484e+02,2.83607e+00,63
35,1.93473e+02,2.83356e+00,65
36,1.93460e+02,2.83178e+00,66
37,1.93447e+02,2.83057e+00,67
38,1.93432e+02,2.82931e+00,68
39,1.93420e+02,2.82825e+00,69
40,1.93406e+02,2.82763e+00,70
41,1.93391e+02,2.82709e+00,72
42,1.93376e+02,2.82649e+00,73
43,1.93362e+02,2.82518e+00,74
44,1.93349e+02,2.82360e+00,75
45,1.93337e+02,2.82099e+00,76
46,1.93324e+02,2.81765e+00,78
47,1.93311e+02,2.81472e+00,79
48,1.93297e+02,2.81184e+00,80
49,1.93283e+02,2.80905e+00,81
50,1.93270e+02,2.80616e+00,82
51,1.93255e+02,2.80349e+00,83
52,1.93240e+02,2.80069e+00,85
53,1.93226e+02,2.79876e+00,86
54,1.93212e+02,2.79663e+00,87
55,1.93196e+02,2.79394e+00,88
56,1.93179e+02,2.79216e+00,89
57,1.93160e+02,2.79016e+00,91
58,1.93140e+02,2.78810e+00,92
59,1.93122e+02,2.78650e+00,93
60,1.93102e+02,2.78379e+00,94
61,1.93085e+02,2.78082e+00,95
62,1.93069e+02,2.77913e+00,96
63,1.93055e+02,2.77688e+00,98
64,1.93041e+02,2.77440e+00,99
65,1.93025e+02,2.77217e+00,100
66,1.93007e+02,2.76990e+00,101
67,1.92989e+02,2.76716e+00,102
68,1.92972e+02,2.76434e+00,104
69,1.92957e+02,2.76200e+00,105
70,1.92942e+02,2.75977e+00,106
71,1.92928e+02,2.75781e+00,107
72,1.92913e+02,2.75594e+00,108
73,1.92900e+02,2.75424e+00,109
74,1.92886e+02,2.75296e+00,111
75,1.92874e+02,2.75106e+00,112
76,1.92862e+02,2.74946e+00,113
77,1.92849e+02,2.74808e+00,114
78,1.92834e+02,2.74699e+00,115
79,1.92816e+02,2.74615e+00,116
80,1.92801e+02,2.74512e+00,118
81,1.92784e+02,2.74452e+00,119
82,1.92769e+02,2.74318e+00,120
83,1.92754e+02,2.74193e+00,121
84,1.92741e+02,2.74063e+00,122
85,1.92728e+02,2.73984e+00,124
86,1.92716e+02,2.73968e+00,125
87,1.92703e+02,2.73992e+00,126
88,1.92691e+02,2.74008e+00,127
89,1.92678e+02,2.73977e+00,128
90,1.92664e+02,2.74039e+00,129
91,1.92651e+02,2.74027e+00,131
92,1.92638e+02,2.73920e+00,132
93,1.92625e+02,2.73790e+00,133
94,1.92612e+02,2.73700e+00,134
95,1.92599e+02,2.73654e+00,135
96,1.92585e+02,2.73621e+00,137
97,1.92573e+02,2.73520e+00,138
98,1.92559e+02,2.73449e+00,139
99,1.92546e+02,2.73374e+00,140
100,1.92531e+02,2.73274e+00,141
101,1.92516e+02,2.73153e+00,142
102,1.92501e+02,2.73103e+00,144
103,1.92485e+02,2.73150e+00,145
104,1.92468e+02,2.73175e+00,146
105,1.92452e+02,2.73279e+00,147
106,1.92435e+02,2.73359e+00,148
107,1.92417e+02,2.73419e+00,150
108,1.92398e+02,2.73560e+00,151
109,1.92383e+02,2.73752e+00,152
110,1.92369e+02,2.73965e+00,153
111,1.92356e+02,2.74156e+00,154
112,1.92344e+02,2.74295e+00,156
113,1.92330e+02,2.74444e+00,157
114,1.92316e+02,2.74552e+00,158
115,1.92302e+02,2.74680e+00,159
116,1.92289e+02,2.74827e+00,160
117,1.92276e+02,2.74965e+00,161
118,1.92262e+02,2.75056e+00,163
119,1.92250e+02,2.75093e+00,164
120,1.92236e+02,2.75124e+00,165
121,1.92222e+02,2.75113e+00,166
122,1.92209e+02,2.75101e+00,167
123,1.92194e+02,2.75101e+00,169
124,1.92180e+02,2.75126e+00,170
125,1.92164e+02,2.75145e+00,171
126,1.92149e+02,2.75168e+00,172
127,1.92134e+02,2.75290e+00,173
128,1.92116e+02,2.75400e+00,174
129,1.92099e+02,2.75449e+00,175
130,1.92082e+02,2.75513e+00,177
131,1.92073e+02,2.75582e+00,178
132,1.92061e+02,2.75609e+00,179
133,1.92049e+02,2.75633e+00,180
134,1.92036e+02,2.75690e+00,181
135,1.92022e+02,2.75829e+00,183
136,1.92007e+02,2.75982e+00,184
137,1.91991e+02,2.76111e+00,185
138,1.91977e+02,2.76203e+00,186
139,1.91965e+02,2.76322e+00,187
140,1.91951e+02,2.76381e+00,188
141,1.91935e+02,2.76474e+00,190
142,1.91917e+02,2.76647e+00,191
143,1.91898e+02,2.76855e+00,192
144,1.91878e+02,2.77123e+00,193
145,1.91858e+02,2.77338e+00,194
146,1.91839e+02,2.77513e+00,196
147,1.91819e+02,2.77749e+00,197
148,1.91801e+02,2.78024e+00,198
149,1.91783e+02,2.78244e+00,199
