PL,,Mean:,-0.261
-0.574292,,STDEV:,5.108
1.959936,,,
2.050135,,Lower:,-40
-6.103551,,Upper:,40
-1.174142,,Num,40
-6.068688,,,
-1.602473,,-40,
-3.500161,,-38,
-3.658154,,-36,
6.807419,,-34,
-0.290876,,-32,
-14.089201,,-30,
7.147726,,-28,
-2.992679,,-26,
6.579053,,-24,
1.169821,,-22,
1.428642,,-20,
3.354806,,-18,
-5.509525,,-16,
2.524485,,-14,
0.737817,,-12,
-4.204809,,-10,
-1.620548,,-8,
-3.198138,,-6,
2.058664,,-4,
2.825907,,-2,
-0.915286,,0,
6.832569,,2,
-4.557115,,4,
-2.026079,,6,
0.981172,,8,
3.834081,,10,
6.884809,,12,
3.325948,,14,
2.44934,,16,
5.73605,,18,
0.190863,,20,
2.993386,,22,
6.103899,,24,
-6.610865,,26,
-7.851444,,28,
-0.329763,,30,
-2.365802,,32,
9.994343,,34,
2.631736,,36,
-11.340407,,38,
2.880499,,40,
3.417205,,,
11.370184,,,
0.079481,,,
1.628461,,,
-0.291934,,,
1.73291,,,
-3.406917,,,
6.683012,,,
-0.051882,,,
5.710308,,,
-6.588466,,,
-4.40592,,,
-2.189006,,,
12.863358,,,
2.251948,,,
4.36149,,,
0.904375,,,
-7.644724,,,
0.566577,,,
-11.984087,,,
9.038124,,,
-8.545266,,,
-1.037348,,,
-1.901726,,,
5.332673,,,
3.661708,,,
4.540734,,,
-2.815325,,,
3.376347,,,
-6.00283,,,
-1.261547,,,
-8.650387,,,
3.81548,,,
-4.231757,,,
-0.909548,,,
1.053284,,,
5.030458,,,
-0.518146,,,
1.586698,,,
1.994192,,,
-5.684346,,,
-0.330568,,,
4.791924,,,
-8.2402,,,
-2.429549,,,
5.069623,,,
4.257348,,,
-8.168354,,,
-7.289669,,,
-2.054411,,,
3.569997,,,
-1.069562,,,
7.454059,,,
-1.028261,,,
-2.014792,,,
1.094298,,,
3.757666,,,
6.807389,,,
-4.183223,,,
0.977739,,,
1.27505,,,
1.983737,,,
1.494099,,,
1.769343,,,
1.600055,,,
7.887994,,,
9.140041,,,
1.548093,,,
-7.023188,,,
6.080911,,,
-5.184462,,,
-6.74366,,,
-6.489989,,,
-1.478005,,,
0.291049,,,
3.080401,,,
-10.085528,,,
-4.438959,,,
-4.712488,,,
0.080216,,,
0.620324,,,
-0.086421,,,
11.659001,,,
-0.309363,,,
-2.225358,,,
0.699434,,,
-6.081633,,,
6.305511,,,
-10.053145,,,
2.791557,,,
-0.235613,,,
-7.913944,,,
-6.74909,,,
0.16986,,,
1.145159,,,
1.266695,,,
-0.301088,,,
-2.44821,,,
3.736369,,,
7.542386,,,
1.36125,,,
6.199093,,,
-4.462548,,,
-2.357298,,,
1.978543,,,
-6.444042,,,
-1.751044,,,
-13.45809,,,
-0.254361,,,
5.023509,,,
0.463807,,,
-3.714253,,,
2.04672,,,
2.58122,,,
-8.421408,,,
-13.836818,,,
-4.075797,,,
0.723837,,,
0.14882,,,
-0.621631,,,
1.801455,,,
-4.072706,,,
0.2197,,,
3.295782,,,
2.645154,,,
-1.308341,,,
-7.713111,,,
4.016624,,,
7.623177,,,
-4.25285,,,
-7.104581,,,
-8.808152,,,
6.282026,,,
0.411368,,,
5.557215,,,
-12.011214,,,
2.128904,,,
-3.684854,,,
-2.033687,,,
2.312722,,,
-6.176368,,,
-1.749589,,,
-6.947904,,,
-0.890705,,,
-2.046956,,,
5.565389,,,
5.028151,,,
2.298788,,,
0.635625,,,
-8.079293,,,
0.934482,,,
-0.717915,,,
7.218665,,,
160,,,
