PL,,Mean:,-0.139,,,,
0.660047,,STDEV:,4.261,,,,
4.243984,,,,,,,
-3.984904,,Lower:,-40,,,,
-8.863524,,Upper:,40,,,,
-5.118648,,Num,80,,,,
-0.207172,,,,,,,OKAY
2.445815,,-40,,Bin,Frequency,,
1.978561,,-39,,-40,0,0,
10.880757,,-38,,-39,0,0,
3.4226,,-37,,-38,0,0,
9.622714,,-36,,-37,0,0,
-5.293629,,-35,,-36,0,0,
6.390084,,-34,,-35,0,0,
-2.163275,,-33,,-34,0,0,
3.486641,,-32,,-33,0,0,
0.987454,,-31,,-32,0,0,
2.009184,,-30,,-31,0,0,
-0.067835,,-29,,-30,0,0,
1.337908,,-28,,-29,0,0,
0.88238,,-27,,-28,0,0,
-4.544322,,-26,,-27,0,0,
-0.857446,,-25,,-26,0,0,
-5.455042,,-24,,-25,0,0,
-1.244308,,-23,,-24,0,0,
2.88097,,-22,,-23,0,0,
1.542729,,-21,,-22,0,0,
-6.295659,,-20,,-21,0,0,
-0.164494,,-19,,-20,0,0,
5.063037,,-18,,-19,0,0,
-0.296122,,-17,,-18,0,0,
1.259981,,-16,,-17,0,0,
-7.639659,,-15,,-16,0,0,
1.699177,,-14,,-15,0,0,
3.479903,,-13,,-14,0,0,
4.612579,,-12,,-13,1,0.005,
1.804681,,-11,,-12,1,0.005,
-0.869366,,-10,,-11,0,0,
-1.153262,,-9,,-10,2,0.01,
-1.797301,,-8,,-9,4,0.02,
1.269693,,-7,,-8,2,0.01,
-2.751778,,-6,,-7,3,0.015,
5.312318,,-5,,-6,5,0.025,
-1.297884,,-4,,-5,8,0.04,
-2.715547,,-3,,-4,13,0.065,
-2.562269,,-2,,-3,7,0.035,
-5.150062,,-1,,-2,11,0.055,
0.370152,,0,,-1,16,0.08,
-4.381815,,1,,0,22,0.11,
-2.779113,,2,,1,21,0.105,
2.466216,,3,,2,26,0.13,
1.512942,,4,,3,12,0.06,
-1.392626,,5,,4,15,0.075,
4.262733,,6,,5,11,0.055,
3.169255,,7,,6,7,0.035,
0.032962,,8,,7,7,0.035,
-7.650889,,9,,8,2,0.01,
0.492247,,10,,9,1,0.005,
-0.96076,,11,,10,2,0.01,
-3.764283,,12,,11,1,0.005,
1.769373,,13,,12,0,0,
-6.654305,,14,,13,0,0,
3.913017,,15,,14,0,0,
-2.106139,,16,,15,0,0,
-9.794473,,17,,16,0,0,
1.52313,,18,,17,0,0,
0.67897,,19,,18,0,0,
-1.151464,,20,,19,0,0,
-4.256189,,21,,20,0,0,
-0.94429,,22,,21,0,0,
4.409839,,23,,22,0,0,
9.077671,,24,,23,0,0,
1.461133,,25,,24,0,0,
-3.172848,,26,,25,0,0,
7.063852,,27,,26,0,0,
2.808116,,28,,27,0,0,
-2.777089,,29,,28,0,0,
1.491478,,30,,29,0,0,
-1.420202,,31,,30,0,0,
1.610777,,32,,31,0,0,
0.736774,,33,,32,0,0,
-1.041472,,34,,33,0,0,
-3.753832,,35,,34,0,0,
5.223818,,36,,35,0,0,
2.74741,,37,,36,0,0,
4.844388,,38,,37,0,0,
1.063509,,39,,38,0,0,
0.797015,,40,,39,0,0,
6.811085,,,,40,0,0,
6.390338,,,,More,0,200,
-1.094372,,,,,,,
-0.875644,,,,,,,
-4.781659,,,,,,,
2.181775,,,,,,,
-0.144603,,,,,,,
-0.110078,,,,,,,
1.421576,,,,,,,
4.054008,,,,,,,
-6.900146,,,,,,,
0.829948,,,,,,,
0.19003,,,,,,,
-5.00609,,,,,,,
5.779659,,,,,,,
1.26322,,,,,,,
1.304212,,,,,,,
1.254306,,,,,,,
-9.164699,,,,,,,
-13.915849,,,,,,,
2.297374,,,,,,,
-9.513196,,,,,,,
-0.144323,,,,,,,
-2.246758,,,,,,,
-4.946907,,,,,,,
5.054677,,,,,,,
4.437452,,,,,,,
0.80866,,,,,,,
3.821561,,,,,,,
4.261774,,,,,,,
5.361922,,,,,,,
1.946974,,,,,,,
3.483745,,,,,,,
0.394,,,,,,,
-1.58046,,,,,,,
1.565468,,,,,,,
-10.328816,,,,,,,
-5.73412,,,,,,,
-0.941304,,,,,,,
-3.399668,,,,,,,
7.022953,,,,,,,
1.752477,,,,,,,
-5.523473,,,,,,,
2.891467,,,,,,,
-0.89923,,,,,,,
-4.552208,,,,,,,
4.028492,,,,,,,
-1.757664,,,,,,,
-0.163148,,,,,,,
-7.59908,,,,,,,
4.017084,,,,,,,
-9.136461,,,,,,,
-4.559068,,,,,,,
5.731749,,,,,,,
-4.025311,,,,,,,
-2.447861,,,,,,,
-3.464526,,,,,,,
-6.430971,,,,,,,
0.410166,,,,,,,
3.250139,,,,,,,
6.285823,,,,,,,
-0.575256,,,,,,,
0.110207,,,,,,,
-4.883026,,,,,,,
-2.21139,,,,,,,
-1.229672,,,,,,,
6.069835,,,,,,,
