step,loss_function,target_value,elapsed_time
0,1.58156e+02,2.62857e+00,158
1,3.64291e+01,2.63357e+00,265
2,3.65155e+01,2.63752e+00,275
3,3.65237e+01,2.64178e+00,284
4,3.65245e+01,2.64586e+00,293
5,3.65222e+01,2.65024e+00,302
6,3.65271e+01,2.65459e+00,312
7,3.65219e+01,2.65896e+00,321
8,3.65226e+01,2.66253e+00,331
9,3.65344e+01,2.66642e+00,340
10,3.65432e+01,2.66995e+00,350
11,3.65379e+01,2.67388e+00,359
12,3.65238e+01,2.67792e+00,369
13,3.65178e+01,2.68193e+00,378
14,3.65103e+01,2.68536e+00,388
15,3.65040e+01,2.68850e+00,397
16,3.64966e+01,2.69157e+00,406
17,3.64874e+01,2.69479e+00,416
18,3.64729e+01,2.69796e+00,425
19,3.64576e+01,2.70126e+00,434
20,3.64432e+01,2.70436e+00,441
21,3.64292e+01,2.70735e+00,449
22,3.64163e+01,2.71032e+00,458
23,3.64073e+01,2.71320e+00,465
24,3.63965e+01,2.71607e+00,472
25,3.63835e+01,2.71888e+00,479
26,3.63709e+01,2.72072e+00,486
27,3.63626e+01,2.72286e+00,492
28,3.63529e+01,2.72518e+00,499
29,3.63454e+01,2.72752e+00,506
30,3.63391e+01,2.72973e+00,513
31,3.63334e+01,2.73146e+00,520
32,3.63314e+01,2.73228e+00,526
33,3.63259e+01,2.73311e+00,534
34,3.63204e+01,2.73400e+00,540
35,3.63169e+01,2.73488e+00,547
36,3.63118e+01,2.73592e+00,556
37,3.63074e+01,2.73717e+00,563
38,3.63059e+01,2.73832e+00,571
39,3.63022e+01,2.74002e+00,578
40,3.62987e+01,2.74171e+00,585
41,3.62951e+01,2.74382e+00,592
42,3.62919e+01,2.74590e+00,601
43,3.62881e+01,2.74802e+00,607
44,3.62838e+01,2.75007e+00,616
45,3.62794e+01,2.75251e+00,623
46,3.62759e+01,2.75423e+00,631
47,3.62728e+01,2.75579e+00,638
48,3.62702e+01,2.75772e+00,645
49,3.62668e+01,2.75978e+00,652
50,3.62634e+01,2.76160e+00,658
51,3.62612e+01,2.76353e+00,666
52,3.62600e+01,2.76505e+00,672
53,3.62587e+01,2.76649e+00,679
54,3.62571e+01,2.76784e+00,686
55,3.62564e+01,2.76928e+00,693
56,3.62560e+01,2.77044e+00,700
57,3.62557e+01,2.77165e+00,707
58,3.62543e+01,2.77280e+00,714
59,3.62535e+01,2.77316e+00,722
60,3.62519e+01,2.77315e+00,729
61,3.62525e+01,2.77309e+00,736
62,3.62537e+01,2.77299e+00,742
63,3.62561e+01,2.77331e+00,750
64,3.62579e+01,2.77306e+00,756
65,3.62601e+01,2.77306e+00,765
