step,loss_function,target_value,elapsed_time
0,1.85471e+02,2.86940e+00,153
1,3.55964e+01,2.86440e+00,260
2,3.56218e+01,2.86052e+00,268
3,3.56705e+01,2.85697e+00,275
4,3.57097e+01,2.85307e+00,283
5,3.56863e+01,2.84886e+00,291
6,3.56930e+01,2.84442e+00,298
7,3.56856e+01,2.84007e+00,306
8,3.56786e+01,2.83638e+00,313
9,3.56707e+01,2.83251e+00,321
10,3.56768e+01,2.82905e+00,329
11,3.57542e+01,2.82596e+00,336
12,3.59137e+01,2.82304e+00,343
13,3.60073e+01,2.82050e+00,352
14,3.60254e+01,2.81805e+00,359
15,3.60689e+01,2.81578e+00,366
16,3.60425e+01,2.81350e+00,374
17,3.60024e+01,2.81126e+00,382
18,3.59349e+01,2.80876e+00,390
19,3.58833e+01,2.80655e+00,397
20,3.58432e+01,2.80400e+00,404
21,3.57955e+01,2.80174e+00,412
22,3.57746e+01,2.80056e+00,419
23,3.57189e+01,2.79928e+00,427
24,3.56846e+01,2.79819e+00,435
25,3.56386e+01,2.79731e+00,443
26,3.56109e+01,2.79641e+00,450
27,3.56092e+01,2.79557e+00,458
28,3.56058e+01,2.79458e+00,465
29,3.55924e+01,2.79349e+00,473
30,3.55776e+01,2.79194e+00,480
31,3.55767e+01,2.78973e+00,488
32,3.55881e+01,2.78804e+00,496
33,3.55847e+01,2.78595e+00,504
34,3.55866e+01,2.78370e+00,511
35,3.55820e+01,2.78148e+00,519
36,3.55710e+01,2.77876e+00,527
37,3.55678e+01,2.77624e+00,535
38,3.55661e+01,2.77372e+00,542
39,3.55615e+01,2.77182e+00,550
40,3.55601e+01,2.77034e+00,558
41,3.55607e+01,2.76931e+00,566
42,3.55584e+01,2.76841e+00,574
43,3.55557e+01,2.76812e+00,582
44,3.55513e+01,2.76821e+00,589
45,3.55539e+01,2.76836e+00,597
46,3.55510e+01,2.76826e+00,605
47,3.55501e+01,2.76839e+00,613
48,3.55449e+01,2.76872e+00,621
49,3.55462e+01,2.76950e+00,628
50,3.55472e+01,2.77076e+00,636
51,3.55494e+01,2.77184e+00,644
52,3.55463e+01,2.77335e+00,651
53,3.55468e+01,2.77463e+00,659
54,3.55508e+01,2.77562e+00,667
55,3.55512e+01,2.77599e+00,675
56,3.55482e+01,2.77639e+00,683
57,3.55427e+01,2.77669e+00,691
58,3.55386e+01,2.77654e+00,698
59,3.55342e+01,2.77598e+00,706
60,3.55339e+01,2.77468e+00,713
61,3.55335e+01,2.77251e+00,721
62,3.55307e+01,2.77017e+00,728
63,3.55271e+01,2.76810e+00,736
64,3.55236e+01,2.76596e+00,744
65,3.55189e+01,2.76433e+00,751
66,3.55216e+01,2.76279e+00,758
67,3.55255e+01,2.76142e+00,765
68,3.55347e+01,2.76090e+00,773
69,3.55432e+01,2.76065e+00,781
70,3.55529e+01,2.76029e+00,788
71,3.55616e+01,2.76075e+00,795
72,3.55707e+01,2.76124e+00,803
73,3.55724e+01,2.76155e+00,811
74,3.55641e+01,2.76232e+00,819
75,3.55517e+01,2.76312e+00,829
76,3.55405e+01,2.76324e+00,836
77,3.55263e+01,2.76391e+00,845
78,3.55146e+01,2.76532e+00,852
79,3.54971e+01,2.76621e+00,862
80,3.54880e+01,2.76676e+00,869
81,3.54790e+01,2.76758e+00,878
82,3.54705e+01,2.76838e+00,886
83,3.54692e+01,2.76915e+00,895
84,3.54707e+01,2.76914e+00,902
85,3.54720e+01,2.76971e+00,911
86,3.54767e+01,2.77109e+00,919
87,3.54809e+01,2.77295e+00,928
88,3.54842e+01,2.77442e+00,935
89,3.54902e+01,2.77584e+00,945
90,3.55004e+01,2.77759e+00,952
91,3.55078e+01,2.77909e+00,961
92,3.55144e+01,2.78086e+00,969
93,3.55166e+01,2.78249e+00,978
94,3.55219e+01,2.78346e+00,985
95,3.55244e+01,2.78480e+00,995
96,3.55218e+01,2.78632e+00,1002
97,3.55159e+01,2.78794e+00,1011
98,3.55125e+01,2.78929e+00,1018
99,3.55065e+01,2.79054e+00,1028
100,3.55018e+01,2.79196e+00,1035
101,3.54976e+01,2.79336e+00,1044
102,3.54933e+01,2.79493e+00,1051
103,3.54894e+01,2.79654e+00,1061
104,3.54863e+01,2.79748e+00,1068
105,3.54833e+01,2.79871e+00,1077
106,3.54813e+01,2.79907e+00,1085
107,3.54798e+01,2.79957e+00,1094
108,3.54780e+01,2.80063e+00,1101
109,3.54768e+01,2.80095e+00,1109
110,3.54740e+01,2.80122e+00,1116
111,3.54715e+01,2.80105e+00,1123
112,3.54689e+01,2.80060e+00,1132
113,3.54661e+01,2.80069e+00,1140
114,3.54628e+01,2.80102e+00,1149
115,3.54623e+01,2.80161e+00,1156
116,3.54626e+01,2.80245e+00,1166
117,3.54635e+01,2.80207e+00,1174
118,3.54637e+01,2.80110e+00,1183
119,3.54610e+01,2.79983e+00,1191
120,3.54563e+01,2.79871e+00,1200
121,3.54502e+01,2.79742e+00,1209
122,3.54447e+01,2.79583e+00,1218
123,3.54410e+01,2.79452e+00,1226
124,3.54361e+01,2.79340e+00,1235
125,3.54301e+01,2.79199e+00,1244
126,3.54263e+01,2.79009e+00,1252
127,3.54219e+01,2.78775e+00,1261
128,3.54177e+01,2.78514e+00,1269
129,3.54117e+01,2.78220e+00,1276
130,3.54067e+01,2.77898e+00,1284
131,3.54017e+01,2.77612e+00,1292
132,3.53959e+01,2.77316e+00,1299
133,3.53877e+01,2.77091e+00,1306
134,3.53785e+01,2.76808e+00,1314
135,3.53721e+01,2.76539e+00,1321
136,3.53654e+01,2.76283e+00,1328
137,3.53595e+01,2.76023e+00,1338
138,3.53547e+01,2.75875e+00,1345
139,3.53505e+01,2.75741e+00,1353
140,3.53471e+01,2.75540e+00,1360
141,3.53431e+01,2.75451e+00,1366
142,3.53392e+01,2.75422e+00,1374
143,3.53355e+01,2.75314e+00,1382
144,3.53322e+01,2.75293e+00,1389
145,3.53292e+01,2.75293e+00,1398
146,3.53267e+01,2.75341e+00,1405
147,3.53244e+01,2.75398e+00,1413
148,3.53238e+01,2.75484e+00,1420
149,3.53245e+01,2.75557e+00,1427
