step,loss_function,target_value,elapsed_time
0,1.44513e+02,2.87145e+00,67
1,5.94340e+01,2.86645e+00,103
2,5.94076e+01,2.86183e+00,106
3,5.93942e+01,2.85827e+00,108
4,5.93872e+01,2.85424e+00,111
5,5.93806e+01,2.84999e+00,114
6,5.93732e+01,2.84652e+00,117
7,5.93691e+01,2.84391e+00,119
8,5.93656e+01,2.84109e+00,122
9,5.93619e+01,2.83842e+00,125
10,5.93525e+01,2.83517e+00,128
11,5.93517e+01,2.83217e+00,131
12,5.93479e+01,2.82888e+00,133
13,5.93464e+01,2.82552e+00,136
14,5.93486e+01,2.82223e+00,139
15,5.93487e+01,2.81889e+00,142
16,5.93551e+01,2.81508e+00,144
17,5.93633e+01,2.81117e+00,147
18,5.93662e+01,2.80757e+00,150
19,5.93743e+01,2.80356e+00,153
20,5.93775e+01,2.80003e+00,155
21,5.93808e+01,2.79631e+00,158
22,5.93801e+01,2.79374e+00,161
23,5.93752e+01,2.79063e+00,164
24,5.93673e+01,2.78711e+00,166
25,5.93600e+01,2.78340e+00,169
26,5.93527e+01,2.77953e+00,172
27,5.93486e+01,2.77520e+00,175
28,5.93404e+01,2.77133e+00,177
29,5.93376e+01,2.76758e+00,180
30,5.93352e+01,2.76473e+00,183
31,5.93319e+01,2.76172e+00,186
32,5.93275e+01,2.75871e+00,188
33,5.93236e+01,2.75658e+00,191
34,5.93219e+01,2.75581e+00,194
35,5.93195e+01,2.75450e+00,197
36,5.93166e+01,2.75359e+00,199
37,5.93121e+01,2.75264e+00,202
38,5.93093e+01,2.75229e+00,205
39,5.93051e+01,2.75206e+00,208
40,5.92998e+01,2.75187e+00,210
41,5.92955e+01,2.75106e+00,213
42,5.92906e+01,2.74958e+00,216
43,5.92889e+01,2.74780e+00,219
44,5.92857e+01,2.74602e+00,221
45,5.92792e+01,2.74459e+00,224
46,5.92701e+01,2.74404e+00,227
47,5.92632e+01,2.74373e+00,230
48,5.92561e+01,2.74414e+00,232
49,5.92503e+01,2.74449e+00,235
50,5.92453e+01,2.74414e+00,238
51,5.92421e+01,2.74363e+00,241
52,5.92369e+01,2.74309e+00,243
53,5.92306e+01,2.74230e+00,246
54,5.92233e+01,2.74120e+00,249
55,5.92162e+01,2.74070e+00,252
56,5.92133e+01,2.74031e+00,254
57,5.92094e+01,2.73917e+00,257
58,5.92065e+01,2.73898e+00,260
59,5.92028e+01,2.73939e+00,263
60,5.91997e+01,2.74037e+00,265
61,5.91929e+01,2.74177e+00,268
62,5.91853e+01,2.74349e+00,271
63,5.91784e+01,2.74429e+00,274
64,5.91707e+01,2.74444e+00,276
65,5.91638e+01,2.74546e+00,279
66,5.91582e+01,2.74677e+00,282
67,5.91534e+01,2.74758e+00,285
68,5.91499e+01,2.74767e+00,287
69,5.91453e+01,2.74828e+00,290
70,5.91423e+01,2.74939e+00,293
71,5.91369e+01,2.74982e+00,296
72,5.91330e+01,2.75082e+00,298
73,5.91305e+01,2.75240e+00,301
74,5.91298e+01,2.75443e+00,304
75,5.91266e+01,2.75600e+00,307
76,5.91233e+01,2.75735e+00,309
77,5.91212e+01,2.75858e+00,312
78,5.91190e+01,2.76008e+00,315
79,5.91168e+01,2.76091e+00,318
80,5.91138e+01,2.76077e+00,320
81,5.91106e+01,2.76078e+00,323
82,5.91079e+01,2.76067e+00,326
83,5.91037e+01,2.76149e+00,328
84,5.90994e+01,2.76241e+00,331
85,5.90951e+01,2.76274e+00,334
86,5.90904e+01,2.76317e+00,337
87,5.90855e+01,2.76458e+00,339
88,5.90806e+01,2.76472e+00,342
89,5.90760e+01,2.76481e+00,345
90,5.90713e+01,2.76490e+00,347
91,5.90670e+01,2.76535e+00,350
92,5.90623e+01,2.76527e+00,353
93,5.90582e+01,2.76477e+00,356
94,5.90565e+01,2.76378e+00,358
95,5.90537e+01,2.76302e+00,361
96,5.90512e+01,2.76163e+00,364
97,5.90489e+01,2.76064e+00,367
98,5.90463e+01,2.75963e+00,369
