step,loss_function,target_value,elapsed_time
0,2.90691e+02,2.87460e+00,74
1,5.86860e+01,2.86960e+00,113
2,5.84111e+01,2.87301e+00,117
3,5.84138e+01,2.87177e+00,120
4,5.84276e+01,2.86871e+00,123
5,5.84077e+01,2.86496e+00,126
6,5.83823e+01,2.86139e+00,129
7,5.83646e+01,2.85754e+00,132
8,5.83591e+01,2.85373e+00,135
9,5.83536e+01,2.85003e+00,138
10,5.83438e+01,2.84611e+00,141
11,5.83340e+01,2.84263e+00,144
12,5.83279e+01,2.83883e+00,147
13,5.83253e+01,2.83588e+00,150
14,5.83191e+01,2.83291e+00,153
15,5.83144e+01,2.83042e+00,156
16,5.83080e+01,2.82827e+00,159
17,5.83020e+01,2.82595e+00,162
18,5.82969e+01,2.82340e+00,165
19,5.82943e+01,2.82103e+00,169
20,5.82922e+01,2.81797e+00,172
21,5.82923e+01,2.81491e+00,175
22,5.82932e+01,2.81154e+00,178
23,5.82972e+01,2.80796e+00,181
24,5.83013e+01,2.80536e+00,184
25,5.83029e+01,2.80220e+00,187
26,5.83053e+01,2.79934e+00,190
27,5.83047e+01,2.79651e+00,193
28,5.82998e+01,2.79388e+00,196
29,5.82944e+01,2.79125e+00,199
30,5.82880e+01,2.78890e+00,202
31,5.82830e+01,2.78654e+00,205
32,5.82775e+01,2.78403e+00,208
33,5.82720e+01,2.78195e+00,211
34,5.82649e+01,2.77986e+00,214
35,5.82579e+01,2.77838e+00,217
36,5.82499e+01,2.77690e+00,220
37,5.82421e+01,2.77592e+00,223
38,5.82337e+01,2.77463e+00,226
39,5.82256e+01,2.77347e+00,229
40,5.82191e+01,2.77233e+00,232
41,5.82142e+01,2.77156e+00,235
42,5.82143e+01,2.77147e+00,238
43,5.82139e+01,2.77160e+00,241
44,5.82156e+01,2.77118e+00,244
45,5.82166e+01,2.76972e+00,247
46,5.82153e+01,2.76814e+00,250
47,5.82138e+01,2.76648e+00,253
48,5.82102e+01,2.76581e+00,256
49,5.82059e+01,2.76549e+00,259
50,5.82036e+01,2.76517e+00,262
51,5.82003e+01,2.76480e+00,265
52,5.82004e+01,2.76450e+00,268
53,5.82092e+01,2.76425e+00,271
54,5.82296e+01,2.76366e+00,274
55,5.82484e+01,2.76295e+00,277
56,5.82703e+01,2.76246e+00,280
57,5.83120e+01,2.76128e+00,283
58,5.83741e+01,2.76006e+00,286
59,5.84473e+01,2.75854e+00,289
60,5.85192e+01,2.75716e+00,291
61,5.86473e+01,2.75575e+00,295
62,5.88628e+01,2.75441e+00,297
63,5.91179e+01,2.75259e+00,300
64,5.94318e+01,2.75111e+00,303
65,5.97588e+01,2.75076e+00,306
66,5.98751e+01,2.74969e+00,309
67,5.99657e+01,2.74872e+00,312
68,6.00314e+01,2.74802e+00,315
69,6.00657e+01,2.74629e+00,318
70,6.00727e+01,2.74491e+00,321
71,6.00574e+01,2.74321e+00,324
72,6.00334e+01,2.74205e+00,327
73,5.99938e+01,2.74158e+00,330
74,5.99377e+01,2.74149e+00,333
75,5.98729e+01,2.74115e+00,336
76,5.97946e+01,2.74193e+00,339
77,5.97221e+01,2.74207e+00,342
78,5.96437e+01,2.74225e+00,345
79,5.95659e+01,2.74263e+00,348
80,5.94864e+01,2.74295e+00,351
81,5.94176e+01,2.74401e+00,354
82,5.93346e+01,2.74552e+00,357
83,5.92536e+01,2.74658e+00,360
84,5.91665e+01,2.74757e+00,363
85,5.90727e+01,2.74822e+00,366
86,5.89911e+01,2.74871e+00,369
87,5.89255e+01,2.74903e+00,372
88,5.88666e+01,2.74942e+00,375
89,5.88086e+01,2.74892e+00,378
90,5.87552e+01,2.74882e+00,381
91,5.87129e+01,2.74806e+00,384
92,5.86685e+01,2.74782e+00,387
93,5.86285e+01,2.74728e+00,390
94,5.85910e+01,2.74625e+00,393
95,5.85573e+01,2.74547e+00,396
96,5.85233e+01,2.74499e+00,399
97,5.84885e+01,2.74414e+00,402
98,5.84568e+01,2.74295e+00,405
99,5.84280e+01,2.74128e+00,408
100,5.84037e+01,2.74036e+00,411
101,5.83733e+01,2.73962e+00,414
102,5.83429e+01,2.73930e+00,417
103,5.83179e+01,2.73941e+00,420
104,5.82958e+01,2.74024e+00,423
105,5.82758e+01,2.74127e+00,426
106,5.82629e+01,2.74311e+00,429
107,5.82469e+01,2.74536e+00,432
108,5.82327e+01,2.74704e+00,435
109,5.82142e+01,2.74889e+00,438
110,5.82009e+01,2.75066e+00,441
111,5.81896e+01,2.75288e+00,444
112,5.81803e+01,2.75401e+00,447
113,5.81696e+01,2.75481e+00,450
114,5.81613e+01,2.75606e+00,453
115,5.81539e+01,2.75742e+00,456
116,5.81472e+01,2.75835e+00,459
117,5.81405e+01,2.75837e+00,462
118,5.81338e+01,2.75915e+00,465
119,5.81304e+01,2.75872e+00,468
120,5.81250e+01,2.75875e+00,471
121,5.81171e+01,2.75919e+00,474
122,5.81102e+01,2.75854e+00,477
123,5.81055e+01,2.75821e+00,480
124,5.81040e+01,2.75692e+00,483
125,5.80997e+01,2.75600e+00,486
126,5.80916e+01,2.75505e+00,489
127,5.80814e+01,2.75424e+00,492
128,5.80687e+01,2.75292e+00,495
129,5.80568e+01,2.75178e+00,498
130,5.80465e+01,2.75112e+00,501
131,5.80368e+01,2.75030e+00,504
132,5.80274e+01,2.74936e+00,507
133,5.80180e+01,2.74887e+00,510
134,5.80082e+01,2.74863e+00,513
135,5.79993e+01,2.74844e+00,516
136,5.79921e+01,2.74759e+00,519
137,5.79843e+01,2.74711e+00,522
138,5.79773e+01,2.74650e+00,525
139,5.79700e+01,2.74623e+00,528
140,5.79634e+01,2.74611e+00,531
141,5.79568e+01,2.74535e+00,534
142,5.79494e+01,2.74489e+00,537
143,5.79427e+01,2.74369e+00,540
144,5.79370e+01,2.74261e+00,543
145,5.79308e+01,2.74208e+00,546
146,5.79251e+01,2.74196e+00,549
147,5.79195e+01,2.74252e+00,552
148,5.79131e+01,2.74298e+00,555
149,5.79073e+01,2.74401e+00,558
