PL,,Mean:,-0.076,,,
5.433297,,STDEV:,5.328,,,
5.010322,,,,,,
-3.412485,,Lower:,-50,,,
4.143125,,Upper:,50,,,
-3.884112,,Num,40,,,
-12.456945,,,,,,
-4.747918,,-50,,Bin,Frequency,
-8.691632,,-47.5,,-50,0,0
6.348534,,-45,,-47.5,0,0
3.391899,,-42.5,,-45,0,0
-0.423358,,-40,,-42.5,0,0
-8.91084,,-37.5,,-40,0,0
-13.688425,,-35,,-37.5,0,0
0.925297,,-32.5,,-35,0,0
-0.550047,,-30,,-32.5,0,0
-5.088807,,-27.5,,-30,0,0
1.906367,,-25,,-27.5,0,0
-2.081997,,-22.5,,-25,0,0
4.642523,,-20,,-22.5,0,0
0.020767,,-17.5,,-20,0,0
3.525707,,-15,,-17.5,0,0
6.651454,,-12.5,,-15,1,0.005
3.44218,,-10,,-12.5,4,0.02
-6.410516,,-7.5,,-10,6,0.03
6.999864,,-5,,-7.5,5,0.025
-0.016637,,-2.5,,-5,18,0.09
3.007668,,0,,-2.5,25,0.125
1.160623,,2.5,,0,35,0.175
5.575353,,5,,2.5,41,0.205
-5.839549,,7.5,,5,29,0.145
1.742205,,10,,7.5,24,0.12
9.962466,,12.5,,10,11,0.055
-1.727049,,15,,12.5,1,0.005
-11.35277,,17.5,,15,0,0
2.508957,,20,,17.5,0,0
-5.083204,,22.5,,20,0,0
-0.558664,,25,,22.5,0,0
1.49263,,27.5,,25,0,0
2.274581,,30,,27.5,0,0
9.174851,,32.5,,30,0,0
3.058731,,35,,32.5,0,0
-13.486473,,37.5,,35,0,0
-3.776948,,40,,37.5,0,0
-4.152018,,42.5,,40,0,0
-14.856961,,45,,42.5,0,0
-3.508336,,47.5,,45,0,0
-2.538991,,50,,47.5,0,0
-1.757977,,,,50,0,0
3.505037,,,,More,0,200
0.142213,,,,,,
1.646652,,,,,,
-1.740954,,,,,,
6.301513,,,,,,
-0.969159,,,,,,
8.013609,,,,,,
2.016975,,,,,,
-5.423911,,,,,,
6.1587,,,,,,
-7.673785,,,,,,
-1.465341,,,,,,
3.319772,,,,,,
2.218589,,,,,,
-1.81976,,,,,,
5.578007,,,,,,
3.696118,,,,,,
-9.112318,,,,,,
0.663566,,,,,,
-3.098335,,,,,,
1.363257,,,,,,
-1.671222,,,,,,
1.224375,,,,,,
4.701398,,,,,,
-5.611932,,,,,,
8.66517,,,,,,
1.942065,,,,,,
-7.855508,,,,,,
1.95279,,,,,,
0.876411,,,,,,
5.093463,,,,,,
3.450026,,,,,,
-0.194894,,,,,,
0.456895,,,,,,
-0.064043,,,,,,
1.969856,,,,,,
0.925501,,,,,,
6.849984,,,,,,
-4.405619,,,,,,
-1.482122,,,,,,
-4.928776,,,,,,
-0.388597,,,,,,
-1.093773,,,,,,
1.134502,,,,,,
-4.803705,,,,,,
-7.219556,,,,,,
0.63379,,,,,,
1.52086,,,,,,
9.649667,,,,,,
6.716379,,,,,,
4.291403,,,,,,
0.992584,,,,,,
5.536495,,,,,,
-14.207669,,,,,,
-7.441632,,,,,,
-1.677373,,,,,,
0.673763,,,,,,
8.130745,,,,,,
-10.140766,,,,,,
-0.383436,,,,,,
6.498726,,,,,,
-2.978919,,,,,,
-15.802058,,,,,,
-0.186443,,,,,,
7.346075,,,,,,
2.734736,,,,,,
-4.344808,,,,,,
-0.218034,,,,,,
3.689948,,,,,,
-5.954041,,,,,,
1.693054,,,,,,
1.444881,,,,,,
-1.787959,,,,,,
-0.820116,,,,,,
-4.070036,,,,,,
-5.011633,,,,,,
-1.699,,,,,,
-2.232106,,,,,,
-1.218488,,,,,,
-4.071509,,,,,,
-2.279288,,,,,,
-6.045744,,,,,,
-10.574238,,,,,,
-1.696186,,,,,,
8.347114,,,,,,
6.670015,,,,,,
4.122124,,,,,,
3.37985,,,,,,
-11.416753,,,,,,
-0.38291,,,,,,
-4.024298,,,,,,
-4.350823,,,,,,
3.916801,,,,,,
-5.095861,,,,,,
-5.600834,,,,,,
-10.56791,,,,,,
1.243341,,,,,,
-0.829038,,,,,,
4.767037,,,,,,
4.670902,,,,,,
1.128439,,,,,,
3.432321,,,,,,
1.549842,,,,,,
-6.817157,,,,,,
3.550027,,,,,,
-3.158273,,,,,,
-1.090749,,,,,,
5.184017,,,,,,
6.216598,,,,,,
4.232497,,,,,,
-3.414511,,,,,,
9.84053,,,,,,
7.437443,,,,,,
6.156221,,,,,,
2.932718,,,,,,
7.382252,,,,,,
-1.001789,,,,,,
2.339347,,,,,,
8.277963,,,,,,
6.906505,,,,,,
8.149232,,,,,,
2.624028,,,,,,
-5.792888,,,,,,
-6.742922,,,,,,
-2.768018,,,,,,
0.718937,,,,,,
-2.462833,,,,,,
-0.157221,,,,,,
0.756881,,,,,,
-2.630582,,,,,,
-5.932964,,,,,,
1.235547,,,,,,
12.259009,,,,,,
0.156833,,,,,,
1.676002,,,,,,
2.747925,,,,,,
-4.771602,,,,,,
5.887105,,,,,,
0.2978,,,,,,
-4.934096,,,,,,
5.365096,,,,,,
-4.936131,,,,,,
-5.734224,,,,,,
2.635511,,,,,,
-3.661339,,,,,,
0.858254,,,,,,
0.129035,,,,,,
0.719183,,,,,,
9.007925,,,,,,
0.778749,,,,,,
-2.299746,,,,,,
2.77464,,,,,,
160,,,,,,
