PL,,Mean:,0.285,,,
8.217611,,STDEV:,8.392,,,
9.126284,,,,,,
15.125284,,Lower:,-50,,,
-5.20431,,Upper:,50,,,
5.813626,,Num,40,,,
15.353543,,,,,,
-9.300614,,-50,,Bin,Frequency,
-10.588543,,-47.5,,-50,0,0
7.704277,,-45,,-47.5,0,0
13.620695,,-42.5,,-45,0,0
12.42797,,-40,,-42.5,0,0
-2.651472,,-37.5,,-40,0,0
-0.295315,,-35,,-37.5,0,0
3.641921,,-32.5,,-35,1,0.005
9.203971,,-30,,-32.5,0,0
13.319023,,-27.5,,-30,0,0
2.683259,,-25,,-27.5,0,0
12.200227,,-22.5,,-25,0,0
12.330292,,-20,,-22.5,0,0
-0.471939,,-17.5,,-20,2,0.01
-2.150413,,-15,,-17.5,4,0.02
-7.620167,,-12.5,,-15,2,0.01
0.719292,,-10,,-12.5,4,0.02
-5.660916,,-7.5,,-10,9,0.045
14.198044,,-5,,-7.5,6,0.03
10.31484,,-2.5,,-5,19,0.095
-13.944352,,0,,-2.5,28,0.14
5.994692,,2.5,,0,24,0.12
-9.953433,,5,,2.5,22,0.11
13.219791,,7.5,,5,16,0.08
-3.020772,,10,,7.5,23,0.115
-6.766271,,12.5,,10,15,0.075
-3.839512,,15,,12.5,13,0.065
2.887554,,17.5,,15,9,0.045
13.417443,,20,,17.5,3,0.015
-3.547162,,22.5,,20,0,0
1.799873,,25,,22.5,0,0
-7.241625,,27.5,,25,0,0
8.037929,,30,,27.5,0,0
5.614042,,32.5,,30,0,0
4.813726,,35,,32.5,0,0
4.254486,,37.5,,35,0,0
-2.250628,,40,,37.5,0,0
-5.856759,,42.5,,40,0,0
1.335752,,45,,42.5,0,0
6.832291,,47.5,,45,0,0
-5.002153,,50,,47.5,0,0
0.478142,,,,50,0,0
-0.22643,,,,More,0,200
-5.4476,,,,,,
7.165436,,,,,,
-6.135927,,,,,,
0.876205,,,,,,
-11.383843,,,,,,
-3.509462,,,,,,
0.167763,,,,,,
4.622951,,,,,,
6.701776,,,,,,
-16.512791,,,,,,
-6.068147,,,,,,
4.010448,,,,,,
1.723724,,,,,,
9.154657,,,,,,
11.101908,,,,,,
-3.821014,,,,,,
-3.416484,,,,,,
-7.363374,,,,,,
-14.305892,,,,,,
-2.194472,,,,,,
-2.623005,,,,,,
1.693607,,,,,,
-2.033949,,,,,,
4.936025,,,,,,
-18.854992,,,,,,
6.427905,,,,,,
-11.085163,,,,,,
12.329013,,,,,,
4.359264,,,,,,
12.28885,,,,,,
-1.593452,,,,,,
9.513291,,,,,,
-5.771093,,,,,,
0.735647,,,,,,
10.265376,,,,,,
6.10595,,,,,,
8.644465,,,,,,
-35.757006,,,,,,
-2.489144,,,,,,
-4.687278,,,,,,
2.379225,,,,,,
7.519894,,,,,,
-5.268002,,,,,,
-0.697621,,,,,,
-10.31564,,,,,,
-4.556269,,,,,,
-3.202323,,,,,,
-2.191241,,,,,,
7.429876,,,,,,
14.410471,,,,,,
7.427245,,,,,,
6.908045,,,,,,
12.233971,,,,,,
4.641649,,,,,,
5.497672,,,,,,
-5.846832,,,,,,
6.405373,,,,,,
-17.022639,,,,,,
-0.16847,,,,,,
-20.398304,,,,,,
1.690497,,,,,,
3.729323,,,,,,
-14.850287,,,,,,
-0.098205,,,,,,
-10.335732,,,,,,
10.074418,,,,,,
-3.183023,,,,,,
-6.044091,,,,,,
16.396297,,,,,,
-4.085456,,,,,,
-13.01418,,,,,,
-5.712342,,,,,,
-12.023872,,,,,,
0.455138,,,,,,
4.607107,,,,,,
6.981136,,,,,,
-4.147476,,,,,,
4.00776,,,,,,
1.969622,,,,,,
-3.375979,,,,,,
-18.764221,,,,,,
-0.151497,,,,,,
13.039725,,,,,,
6.070962,,,,,,
-1.218635,,,,,,
-7.859837,,,,,,
-18.879738,,,,,,
-1.474844,,,,,,
-18.415329,,,,,,
3.385781,,,,,,
2.426559,,,,,,
6.71219,,,,,,
-1.9449,,,,,,
12.727805,,,,,,
-3.554901,,,,,,
-2.180999,,,,,,
8.224272,,,,,,
1.03198,,,,,,
6.256672,,,,,,
-2.648147,,,,,,
11.573999,,,,,,
-3.58134,,,,,,
-5.252462,,,,,,
6.529087,,,,,,
-4.098714,,,,,,
8.17597,,,,,,
0.484385,,,,,,
-6.129663,,,,,,
1.966088,,,,,,
-3.258883,,,,,,
-8.763038,,,,,,
2.449434,,,,,,
6.17788,,,,,,
8.210056,,,,,,
-0.783951,,,,,,
-11.043335,,,,,,
-3.098072,,,,,,
2.488994,,,,,,
5.03996,,,,,,
-4.562724,,,,,,
-0.194815,,,,,,
3.81321,,,,,,
-0.729434,,,,,,
-6.229784,,,,,,
-0.722195,,,,,,
-3.592545,,,,,,
-3.803021,,,,,,
12.289919,,,,,,
10.149905,,,,,,
0.737097,,,,,,
7.477615,,,,,,
1.981965,,,,,,
9.913763,,,,,,
-10.44726,,,,,,
0.96409,,,,,,
-1.619851,,,,,,
9.245727,,,,,,
4.113841,,,,,,
7.239389,,,,,,
12.549625,,,,,,
7.120723,,,,,,
-7.341164,,,,,,
-3.450684,,,,,,
-3.649962,,,,,,
-8.037529,,,,,,
-0.206862,,,,,,
-11.533614,,,,,,
8.793016,,,,,,
-4.640084,,,,,,
-20.233299,,,,,,
-3.392795,,,,,,
40,,,,,,
