step,loss_function,target_value,elapsed_time
0,1.29850e+02,2.99644e+00,156
1,3.77926e+01,2.99144e+00,261
2,3.78544e+01,2.98646e+00,268
3,3.72614e+01,2.98193e+00,276
4,3.70422e+01,2.97721e+00,282
5,3.68239e+01,2.97258e+00,289
6,3.66934e+01,2.96782e+00,295
7,3.65582e+01,2.96295e+00,302
8,3.64416e+01,2.95800e+00,309
9,3.63473e+01,2.95298e+00,315
10,3.62714e+01,2.94824e+00,322
11,3.62194e+01,2.94357e+00,328
12,3.61856e+01,2.93875e+00,335
13,3.61409e+01,2.93412e+00,342
14,3.61031e+01,2.92985e+00,348
15,3.60698e+01,2.92535e+00,354
16,3.60470e+01,2.92065e+00,361
17,3.60263e+01,2.91600e+00,368
18,3.60108e+01,2.91130e+00,375
19,3.59960e+01,2.90659e+00,382
20,3.59826e+01,2.90201e+00,389
21,3.59754e+01,2.89750e+00,396
22,3.59665e+01,2.89297e+00,403
23,3.59590e+01,2.88862e+00,410
24,3.59525e+01,2.88427e+00,416
25,3.59469e+01,2.88011e+00,423
26,3.59400e+01,2.87603e+00,430
27,3.59302e+01,2.87223e+00,436
28,3.59192e+01,2.86823e+00,443
29,3.59091e+01,2.86436e+00,451
30,3.59005e+01,2.86079e+00,458
31,3.58933e+01,2.85719e+00,465
32,3.58845e+01,2.85378e+00,471
33,3.58769e+01,2.85041e+00,478
34,3.58698e+01,2.84747e+00,485
35,3.58655e+01,2.84495e+00,492
36,3.58606e+01,2.84212e+00,499
37,3.58576e+01,2.83926e+00,506
38,3.58553e+01,2.83663e+00,512
39,3.58512e+01,2.83428e+00,519
40,3.58473e+01,2.83247e+00,525
41,3.58430e+01,2.83095e+00,532
42,3.58388e+01,2.82893e+00,539
43,3.58363e+01,2.82676e+00,545
44,3.58355e+01,2.82449e+00,552
45,3.58355e+01,2.82228e+00,558
46,3.58344e+01,2.82011e+00,565
47,3.58319e+01,2.81847e+00,572
48,3.58314e+01,2.81678e+00,578
49,3.58292e+01,2.81498e+00,584
50,3.58273e+01,2.81327e+00,591
51,3.58248e+01,2.81168e+00,598
52,3.58224e+01,2.80996e+00,605
53,3.58201e+01,2.80762e+00,611
54,3.58183e+01,2.80558e+00,618
55,3.58163e+01,2.80322e+00,624
56,3.58134e+01,2.80135e+00,631
57,3.58102e+01,2.79965e+00,638
58,3.58072e+01,2.79705e+00,644
59,3.58035e+01,2.79429e+00,651
60,3.57996e+01,2.79146e+00,658
61,3.57949e+01,2.78868e+00,665
62,3.57902e+01,2.78627e+00,671
63,3.57861e+01,2.78447e+00,678
64,3.57834e+01,2.78282e+00,684
65,3.57813e+01,2.78131e+00,691
66,3.57807e+01,2.77997e+00,698
67,3.57801e+01,2.77866e+00,704
68,3.57803e+01,2.77740e+00,711
69,3.57805e+01,2.77644e+00,717
70,3.57795e+01,2.77541e+00,724
71,3.57738e+01,2.77424e+00,730
72,3.57687e+01,2.77348e+00,737
73,3.57637e+01,2.77307e+00,743
74,3.57590e+01,2.77257e+00,750
75,3.57543e+01,2.77217e+00,756
76,3.57485e+01,2.77181e+00,763
77,3.57411e+01,2.77130e+00,770
78,3.57351e+01,2.77060e+00,777
79,3.57310e+01,2.76987e+00,784
80,3.57265e+01,2.76934e+00,791
81,3.57228e+01,2.76826e+00,797
82,3.57204e+01,2.76740e+00,804
83,3.57184e+01,2.76656e+00,811
84,3.57169e+01,2.76603e+00,817
85,3.57170e+01,2.76529e+00,823
86,3.57172e+01,2.76427e+00,830
87,3.57166e+01,2.76308e+00,837
88,3.57161e+01,2.76190e+00,844
89,3.57152e+01,2.76098e+00,850
90,3.57124e+01,2.76030e+00,856
91,3.57103e+01,2.75952e+00,863
92,3.57078e+01,2.75921e+00,870
93,3.57032e+01,2.75864e+00,878
94,3.57002e+01,2.75827e+00,885
95,3.56988e+01,2.75813e+00,891
96,3.56958e+01,2.75846e+00,898
97,3.56931e+01,2.75843e+00,905
98,3.56901e+01,2.75827e+00,911
99,3.56869e+01,2.75786e+00,918
100,3.56838e+01,2.75790e+00,925
101,3.56813e+01,2.75834e+00,932
102,3.56789e+01,2.75877e+00,939
103,3.56760e+01,2.75873e+00,945
104,3.56730e+01,2.75927e+00,952
105,3.56717e+01,2.75973e+00,959
106,3.56718e+01,2.76048e+00,966
107,3.56703e+01,2.76155e+00,972
108,3.56690e+01,2.76321e+00,979
109,3.56670e+01,2.76486e+00,986
110,3.56653e+01,2.76632e+00,992
111,3.56635e+01,2.76819e+00,999
112,3.56627e+01,2.77000e+00,1005
113,3.56614e+01,2.77140e+00,1012
114,3.56598e+01,2.77315e+00,1018
115,3.56577e+01,2.77478e+00,1025
116,3.56565e+01,2.77587e+00,1032
117,3.56552e+01,2.77698e+00,1038
118,3.56529e+01,2.77858e+00,1044
119,3.56506e+01,2.77984e+00,1051
120,3.56485e+01,2.78136e+00,1058
121,3.56470e+01,2.78269e+00,1065
122,3.56460e+01,2.78421e+00,1072
123,3.56450e+01,2.78523e+00,1078
124,3.56433e+01,2.78565e+00,1085
125,3.56421e+01,2.78573e+00,1092
126,3.56412e+01,2.78606e+00,1099
127,3.56421e+01,2.78667e+00,1105
128,3.56428e+01,2.78694e+00,1112
129,3.56453e+01,2.78721e+00,1118
130,3.56461e+01,2.78735e+00,1125
131,3.56455e+01,2.78730e+00,1131
132,3.56434e+01,2.78731e+00,1138
133,3.56406e+01,2.78736e+00,1144
134,3.56381e+01,2.78696e+00,1151
135,3.56360e+01,2.78624e+00,1158
136,3.56347e+01,2.78617e+00,1164
137,3.56327e+01,2.78641e+00,1171
138,3.56303e+01,2.78657e+00,1177
139,3.56273e+01,2.78654e+00,1183
140,3.56258e+01,2.78739e+00,1190
141,3.56251e+01,2.78747e+00,1197
142,3.56243e+01,2.78741e+00,1203
143,3.56232e+01,2.78736e+00,1210
144,3.56222e+01,2.78801e+00,1216
145,3.56202e+01,2.78808e+00,1223
146,3.56176e+01,2.78840e+00,1229
147,3.56156e+01,2.78875e+00,1236
148,3.56142e+01,2.78902e+00,1242
149,3.56136e+01,2.78956e+00,1249
