PL,,Mean:,-0.607,,,
-0.912529,,STDEV:,5.201,,,
-5.300131,,,,,,
2.474782,,Lower:,-50,,,
-3.175244,,Upper:,50,,,
-12.313954,,Num,40,,,
0.937698,,,,,,
-0.84331,,-50,,Bin,Frequency,
2.186983,,-47.5,,-50,0,0
1.601084,,-45,,-47.5,0,0
5.790509,,-42.5,,-45,0,0
4.031698,,-40,,-42.5,0,0
1.186005,,-37.5,,-40,0,0
0.399719,,-35,,-37.5,0,0
10.376057,,-32.5,,-35,0,0
-5.874915,,-30,,-32.5,0,0
3.567385,,-27.5,,-30,0,0
8.486109,,-25,,-27.5,0,0
-3.304369,,-22.5,,-25,0,0
-4.402084,,-20,,-22.5,0,0
3.957339,,-17.5,,-20,0,0
-4.823011,,-15,,-17.5,1,0.005
2.709301,,-12.5,,-15,1,0.005
-6.470671,,-10,,-12.5,3,0.015
-8.241081,,-7.5,,-10,4,0.02
-3.055129,,-5,,-7.5,14,0.07
0.321538,,-2.5,,-5,15,0.075
-1.31818,,0,,-2.5,24,0.12
-2.82467,,2.5,,0,38,0.19
-8.987414,,5,,2.5,44,0.22
9.438362,,7.5,,5,31,0.155
4.544376,,10,,7.5,15,0.075
-2.693437,,12.5,,10,8,0.04
-2.522384,,15,,12.5,2,0.01
1.075874,,17.5,,15,0,0
2.533451,,20,,17.5,0,0
-2.415082,,22.5,,20,0,0
-3.716102,,25,,22.5,0,0
-9.539148,,27.5,,25,0,0
-10.989992,,30,,27.5,0,0
4.208462,,32.5,,30,0,0
2.314216,,35,,32.5,0,0
5.693895,,37.5,,35,0,0
3.239115,,40,,37.5,0,0
-12.788208,,42.5,,40,0,0
3.832389,,45,,42.5,0,0
2.952521,,47.5,,45,0,0
3.403107,,50,,47.5,0,0
-6.121227,,,,50,0,0
-4.132536,,,,More,0,200
6.155748,,,,,,
-9.526055,,,,,,
-3.074299,,,,,,
1.32102,,,,,,
-17.764318,,,,,,
5.151403,,,,,,
0.247178,,,,,,
7.512373,,,,,,
5.003197,,,,,,
-3.220447,,,,,,
-0.995923,,,,,,
-1.937994,,,,,,
-1.214804,,,,,,
1.779104,,,,,,
3.936834,,,,,,
3.457686,,,,,,
1.66838,,,,,,
4.196176,,,,,,
-1.211802,,,,,,
-1.726311,,,,,,
-1.54365,,,,,,
1.102274,,,,,,
1.101757,,,,,,
5.734351,,,,,,
2.902175,,,,,,
0.47467,,,,,,
-0.99514,,,,,,
3.20203,,,,,,
-14.311957,,,,,,
4.310245,,,,,,
-5.83605,,,,,,
-1.358838,,,,,,
-5.696513,,,,,,
-2.829963,,,,,,
-11.29217,,,,,,
7.863035,,,,,,
9.114004,,,,,,
-2.187255,,,,,,
6.337726,,,,,,
2.815129,,,,,,
6.886858,,,,,,
1.541999,,,,,,
1.14665,,,,,,
3.454126,,,,,,
0.148358,,,,,,
-1.466582,,,,,,
1.468536,,,,,,
-0.461185,,,,,,
2.443662,,,,,,
-1.029599,,,,,,
3.128235,,,,,,
-0.844639,,,,,,
0.429588,,,,,,
-2.326936,,,,,,
4.90367,,,,,,
-9.551383,,,,,,
-1.792895,,,,,,
-4.492701,,,,,,
4.598768,,,,,,
0.91431,,,,,,
-1.35754,,,,,,
0.223012,,,,,,
-5.595235,,,,,,
2.768559,,,,,,
-9.908541,,,,,,
-1.25866,,,,,,
1.88225,,,,,,
-7.593077,,,,,,
2.17345,,,,,,
0.314162,,,,,,
0.025637,,,,,,
9.272632,,,,,,
-0.181601,,,,,,
2.367726,,,,,,
-2.010735,,,,,,
-0.315091,,,,,,
0.425267,,,,,,
-5.853596,,,,,,
0.774756,,,,,,
-9.982044,,,,,,
7.920056,,,,,,
-0.799876,,,,,,
1.116396,,,,,,
-2.754707,,,,,,
-3.455715,,,,,,
-0.829265,,,,,,
-9.138578,,,,,,
1.845427,,,,,,
1.121993,,,,,,
2.518408,,,,,,
2.968207,,,,,,
0.880758,,,,,,
-1.246362,,,,,,
0.075266,,,,,,
-2.68496,,,,,,
1.012808,,,,,,
4.661002,,,,,,
-3.739464,,,,,,
-0.951301,,,,,,
3.384759,,,,,,
-13.276017,,,,,,
6.406853,,,,,,
-5.163074,,,,,,
-2.589197,,,,,,
-0.377472,,,,,,
-0.585609,,,,,,
2.037828,,,,,,
1.092129,,,,,,
-6.783214,,,,,,
7.701015,,,,,,
-0.81074,,,,,,
-11.792128,,,,,,
-0.926367,,,,,,
1.050123,,,,,,
1.910034,,,,,,
2.69847,,,,,,
2.575168,,,,,,
5.821913,,,,,,
-6.54347,,,,,,
-3.144542,,,,,,
-8.3258,,,,,,
-3.802104,,,,,,
-9.131028,,,,,,
-2.685454,,,,,,
5.508405,,,,,,
-2.277213,,,,,,
-6.361214,,,,,,
-3.233299,,,,,,
6.640085,,,,,,
1.098549,,,,,,
0.778252,,,,,,
-0.283144,,,,,,
-8.968663,,,,,,
-6.571745,,,,,,
6.832931,,,,,,
-0.450739,,,,,,
-0.72013,,,,,,
-8.543233,,,,,,
5.870466,,,,,,
-6.289488,,,,,,
-1.138394,,,,,,
3.397886,,,,,,
0.05381,,,,,,
6.940562,,,,,,
10.351118,,,,,,
-7.657088,,,,,,
3.316321,,,,,,
-3.860687,,,,,,
-6.286175,,,,,,
-0.224126,,,,,,
-15.081995,,,,,,
160,,,,,,
