step,loss_function,target_value,elapsed_time
0,1.05139e+02,2.68682e+00,155
1,3.50464e+01,2.68182e+00,259
2,3.50498e+01,2.68166e+00,267
3,3.50829e+01,2.68362e+00,274
4,3.51148e+01,2.68669e+00,280
5,3.51066e+01,2.68868e+00,288
6,3.51055e+01,2.69168e+00,294
7,3.51050e+01,2.69489e+00,301
8,3.51101e+01,2.69730e+00,308
9,3.51149e+01,2.69905e+00,315
10,3.51296e+01,2.70096e+00,322
11,3.51503e+01,2.70263e+00,329
12,3.51689e+01,2.70479e+00,336
13,3.52021e+01,2.70652e+00,342
14,3.52398e+01,2.70804e+00,349
15,3.52764e+01,2.70977e+00,356
16,3.53057e+01,2.71180e+00,363
17,3.53247e+01,2.71399e+00,369
18,3.53342e+01,2.71632e+00,376
19,3.53351e+01,2.71884e+00,383
20,3.53346e+01,2.72156e+00,390
21,3.53301e+01,2.72389e+00,397
22,3.53246e+01,2.72601e+00,404
23,3.52983e+01,2.72829e+00,410
24,3.52717e+01,2.73056e+00,417
25,3.52465e+01,2.73275e+00,424
26,3.52239e+01,2.73542e+00,431
27,3.52057e+01,2.73797e+00,437
28,3.51886e+01,2.74114e+00,444
29,3.51771e+01,2.74373e+00,451
30,3.51666e+01,2.74608e+00,458
31,3.51552e+01,2.74758e+00,465
32,3.51452e+01,2.74964e+00,471
33,3.51357e+01,2.75244e+00,478
34,3.51271e+01,2.75524e+00,484
35,3.51184e+01,2.75812e+00,491
36,3.51115e+01,2.76060e+00,498
37,3.51038e+01,2.76329e+00,505
38,3.50978e+01,2.76523e+00,512
39,3.50940e+01,2.76658e+00,518
40,3.50905e+01,2.76791e+00,525
41,3.50884e+01,2.76927e+00,532
42,3.50902e+01,2.77100e+00,539
43,3.50887e+01,2.77266e+00,546
44,3.50892e+01,2.77399e+00,552
45,3.50903e+01,2.77515e+00,559
46,3.50906e+01,2.77626e+00,566
47,3.50880e+01,2.77763e+00,573
48,3.50842e+01,2.77892e+00,580
49,3.50825e+01,2.78002e+00,586
50,3.50788e+01,2.78097e+00,593
51,3.50735e+01,2.78162e+00,600
52,3.50678e+01,2.78161e+00,607
53,3.50638e+01,2.78162e+00,614
54,3.50591e+01,2.78192e+00,620
55,3.50570e+01,2.78223e+00,627
56,3.50569e+01,2.78214e+00,634
57,3.50570e+01,2.78230e+00,641
58,3.50513e+01,2.78277e+00,647
59,3.50476e+01,2.78362e+00,654
60,3.50470e+01,2.78408e+00,661
61,3.50463e+01,2.78478e+00,667
62,3.50465e+01,2.78604e+00,674
63,3.50431e+01,2.78759e+00,681
64,3.50405e+01,2.78939e+00,688
65,3.50402e+01,2.79025e+00,695
66,3.50372e+01,2.79078e+00,701
67,3.50331e+01,2.79054e+00,708
68,3.50293e+01,2.79055e+00,715
69,3.50279e+01,2.78968e+00,722
70,3.50294e+01,2.78942e+00,728
71,3.50305e+01,2.78848e+00,735
72,3.50329e+01,2.78738e+00,742
73,3.50344e+01,2.78570e+00,749
74,3.50356e+01,2.78380e+00,756
75,3.50344e+01,2.78238e+00,762
76,3.50331e+01,2.78132e+00,769
77,3.50319e+01,2.77954e+00,776
78,3.50286e+01,2.77774e+00,783
79,3.50297e+01,2.77632e+00,790
80,3.50315e+01,2.77512e+00,796
81,3.50326e+01,2.77406e+00,803
82,3.50318e+01,2.77349e+00,809
83,3.50305e+01,2.77289e+00,816
84,3.50279e+01,2.77229e+00,823
85,3.50258e+01,2.77222e+00,830
86,3.50209e+01,2.77234e+00,837
87,3.50163e+01,2.77231e+00,843
88,3.50128e+01,2.77255e+00,850
89,3.50090e+01,2.77271e+00,857
90,3.50060e+01,2.77274e+00,864
91,3.50035e+01,2.77325e+00,871
92,3.50000e+01,2.77428e+00,878
93,3.49971e+01,2.77544e+00,884
94,3.49963e+01,2.77681e+00,891
95,3.49946e+01,2.77830e+00,898
96,3.49915e+01,2.77936e+00,905
97,3.49883e+01,2.78048e+00,912
98,3.49850e+01,2.78121e+00,919
99,3.49825e+01,2.78203e+00,926
100,3.49805e+01,2.78223e+00,933
101,3.49768e+01,2.78276e+00,940
102,3.49715e+01,2.78318e+00,947
103,3.49680e+01,2.78350e+00,953
104,3.49633e+01,2.78368e+00,960
105,3.49596e+01,2.78453e+00,967
