step,loss_function,target_value,elapsed_time
0,6.96921e+01,2.25953e+00,18
1,5.10417e+01,2.26453e+00,25
2,5.10305e+01,2.26914e+00,26
3,5.10169e+01,2.27392e+00,28
4,5.10057e+01,2.27813e+00,30
5,5.09946e+01,2.28206e+00,31
6,5.09815e+01,2.28618e+00,33
7,5.09692e+01,2.29048e+00,34
8,5.09572e+01,2.29495e+00,36
9,5.09470e+01,2.29948e+00,38
10,5.09361e+01,2.30406e+00,39
11,5.09227e+01,2.30829e+00,41
12,5.09093e+01,2.31275e+00,42
13,5.08977e+01,2.31725e+00,44
14,5.08873e+01,2.32183e+00,45
15,5.08785e+01,2.32619e+00,47
16,5.08698e+01,2.33048e+00,48
17,5.08613e+01,2.33479e+00,50
18,5.08530e+01,2.33897e+00,52
19,5.08442e+01,2.34295e+00,53
20,5.08337e+01,2.34683e+00,55
21,5.08228e+01,2.35080e+00,56
22,5.08131e+01,2.35481e+00,58
23,5.08047e+01,2.35850e+00,59
24,5.07958e+01,2.36205e+00,61
25,5.07868e+01,2.36580e+00,63
26,5.07767e+01,2.36975e+00,64
27,5.07676e+01,2.37354e+00,66
28,5.07584e+01,2.37726e+00,67
29,5.07489e+01,2.38090e+00,69
30,5.07399e+01,2.38474e+00,70
31,5.07305e+01,2.38857e+00,72
32,5.07205e+01,2.39251e+00,74
33,5.07101e+01,2.39647e+00,75
34,5.07009e+01,2.40065e+00,77
35,5.06928e+01,2.40460e+00,78
36,5.06845e+01,2.40834e+00,80
37,5.06758e+01,2.41223e+00,81
38,5.06666e+01,2.41592e+00,83
39,5.06574e+01,2.41922e+00,85
40,5.06479e+01,2.42243e+00,86
41,5.06387e+01,2.42546e+00,88
42,5.06326e+01,2.42822e+00,89
43,5.06260e+01,2.43096e+00,91
44,5.06195e+01,2.43364e+00,92
45,5.06117e+01,2.43637e+00,94
46,5.06040e+01,2.43879e+00,95
47,5.05966e+01,2.44080e+00,97
48,5.05889e+01,2.44272e+00,99
49,5.05811e+01,2.44454e+00,100
50,5.05727e+01,2.44605e+00,102
51,5.05643e+01,2.44757e+00,103
52,5.05555e+01,2.44924e+00,105
53,5.05468e+01,2.45042e+00,106
54,5.05381e+01,2.45194e+00,108
55,5.05297e+01,2.45330e+00,110
56,5.05208e+01,2.45514e+00,111
57,5.05123e+01,2.45624e+00,113
58,5.05035e+01,2.45745e+00,114
59,5.04943e+01,2.45877e+00,116
60,5.04858e+01,2.45927e+00,117
61,5.04771e+01,2.45965e+00,119
62,5.04680e+01,2.46062e+00,121
63,5.04599e+01,2.46172e+00,122
64,5.04528e+01,2.46281e+00,124
65,5.04456e+01,2.46402e+00,125
66,5.04391e+01,2.46459e+00,127
67,5.04338e+01,2.46501e+00,128
68,5.04285e+01,2.46555e+00,130
69,5.04240e+01,2.46600e+00,132
70,5.04197e+01,2.46596e+00,133
71,5.04152e+01,2.46590e+00,135
72,5.04109e+01,2.46648e+00,136
73,5.04076e+01,2.46722e+00,138
74,5.04039e+01,2.46822e+00,139
75,5.03999e+01,2.46943e+00,141
76,5.03968e+01,2.47081e+00,142
77,5.03942e+01,2.47227e+00,144
78,5.03913e+01,2.47385e+00,146
79,5.03872e+01,2.47540e+00,147
80,5.03834e+01,2.47701e+00,149
81,5.03789e+01,2.47869e+00,150
82,5.03736e+01,2.48038e+00,152
83,5.03694e+01,2.48254e+00,153
84,5.03667e+01,2.48492e+00,155
85,5.03653e+01,2.48789e+00,157
86,5.03633e+01,2.49045e+00,158
87,5.03608e+01,2.49257e+00,160
88,5.03592e+01,2.49451e+00,161
89,5.03561e+01,2.49663e+00,163
90,5.03526e+01,2.49854e+00,165
91,5.03484e+01,2.50024e+00,166
92,5.03421e+01,2.50256e+00,168
93,5.03341e+01,2.50448e+00,169
94,5.03247e+01,2.50620e+00,171
95,5.03154e+01,2.50809e+00,173
96,5.03079e+01,2.50944e+00,174
97,5.02993e+01,2.51031e+00,176
98,5.02920e+01,2.51104e+00,177
99,5.02858e+01,2.51184e+00,179
100,5.02795e+01,2.51258e+00,181
101,5.02719e+01,2.51279e+00,182
102,5.02634e+01,2.51295e+00,184
103,5.02540e+01,2.51270e+00,185
104,5.02456e+01,2.51263e+00,187
105,5.02373e+01,2.51306e+00,189
106,5.02291e+01,2.51261e+00,190
107,5.02214e+01,2.51171e+00,192
108,5.02140e+01,2.51036e+00,193
109,5.02069e+01,2.50920e+00,195
110,5.01977e+01,2.50829e+00,197
111,5.01907e+01,2.50699e+00,198
112,5.01839e+01,2.50584e+00,200
113,5.01767e+01,2.50536e+00,201
114,5.01686e+01,2.50490e+00,203
115,5.01584e+01,2.50414e+00,205
116,5.01504e+01,2.50278e+00,206
117,5.01435e+01,2.50174e+00,208
118,5.01331e+01,2.50088e+00,209
119,5.01231e+01,2.50005e+00,211
120,5.01140e+01,2.49902e+00,212
121,5.01043e+01,2.49708e+00,214
122,5.00945e+01,2.49524e+00,216
123,5.00857e+01,2.49363e+00,217
124,5.00760e+01,2.49229e+00,219
125,5.00665e+01,2.49137e+00,220
126,5.00570e+01,2.49023e+00,222
127,5.00469e+01,2.48938e+00,224
128,5.00360e+01,2.48921e+00,225
129,5.00254e+01,2.48844e+00,227
130,5.00150e+01,2.48810e+00,228
131,5.00052e+01,2.48815e+00,230
132,4.99964e+01,2.48832e+00,232
133,4.99859e+01,2.48855e+00,233
134,4.99754e+01,2.48897e+00,235
135,4.99650e+01,2.48940e+00,236
136,4.99541e+01,2.48987e+00,238
137,4.99436e+01,2.49019e+00,240
138,4.99336e+01,2.49073e+00,241
139,4.99244e+01,2.49100e+00,243
140,4.99163e+01,2.49114e+00,244
141,4.99085e+01,2.49095e+00,246
142,4.98996e+01,2.49104e+00,247
143,4.98910e+01,2.49105e+00,249
144,4.98832e+01,2.49084e+00,251
145,4.98759e+01,2.49050e+00,252
146,4.98681e+01,2.49042e+00,254
147,4.98608e+01,2.49011e+00,255
148,4.98538e+01,2.48939e+00,257
149,4.98469e+01,2.48844e+00,259
