step,loss_function,target_value,elapsed_time
0,1.12622e+02,2.40003e+00,36
1,4.14484e+01,2.40503e+00,56
2,4.14465e+01,2.40971e+00,58
3,4.14404e+01,2.41422e+00,60
4,4.14377e+01,2.41824e+00,62
5,4.14361e+01,2.42229e+00,65
6,4.14332e+01,2.42553e+00,67
7,4.14307e+01,2.42831e+00,69
8,4.14269e+01,2.43109e+00,72
9,4.14227e+01,2.43305e+00,74
10,4.14185e+01,2.43583e+00,76
11,4.14147e+01,2.43806e+00,79
12,4.14100e+01,2.44025e+00,81
13,4.14055e+01,2.44124e+00,83
14,4.14018e+01,2.44230e+00,85
15,4.13975e+01,2.44372e+00,88
16,4.13940e+01,2.44576e+00,90
17,4.13908e+01,2.44759e+00,92
18,4.13874e+01,2.44955e+00,95
19,4.13833e+01,2.45162e+00,97
20,4.13786e+01,2.45415e+00,99
21,4.13735e+01,2.45708e+00,102
22,4.13682e+01,2.46033e+00,104
23,4.13624e+01,2.46337e+00,106
24,4.13567e+01,2.46630e+00,108
25,4.13509e+01,2.46905e+00,111
26,4.13452e+01,2.47223e+00,113
27,4.13391e+01,2.47549e+00,115
28,4.13328e+01,2.47915e+00,118
29,4.13267e+01,2.48175e+00,120
30,4.13210e+01,2.48387e+00,122
31,4.13158e+01,2.48510e+00,125
32,4.13108e+01,2.48637e+00,127
33,4.13058e+01,2.48722e+00,129
34,4.13013e+01,2.48838e+00,131
35,4.12969e+01,2.48943e+00,134
36,4.12925e+01,2.49059e+00,136
37,4.12899e+01,2.49227e+00,138
38,4.12870e+01,2.49329e+00,141
39,4.12839e+01,2.49416e+00,143
40,4.12807e+01,2.49565e+00,145
41,4.12771e+01,2.49705e+00,148
42,4.12729e+01,2.49781e+00,150
43,4.12687e+01,2.49789e+00,152
44,4.12649e+01,2.49861e+00,154
45,4.12606e+01,2.49963e+00,157
46,4.12566e+01,2.49938e+00,159
47,4.12532e+01,2.49918e+00,161
48,4.12494e+01,2.49910e+00,164
49,4.12452e+01,2.49902e+00,166
50,4.12414e+01,2.49958e+00,168
51,4.12366e+01,2.50037e+00,170
52,4.12319e+01,2.50186e+00,173
53,4.12281e+01,2.50230e+00,175
54,4.12238e+01,2.50279e+00,177
55,4.12181e+01,2.50348e+00,179
56,4.12128e+01,2.50439e+00,182
57,4.12080e+01,2.50477e+00,184
58,4.12031e+01,2.50458e+00,186
59,4.11987e+01,2.50416e+00,188
60,4.11949e+01,2.50416e+00,191
61,4.11908e+01,2.50430e+00,193
62,4.11869e+01,2.50395e+00,195
63,4.11833e+01,2.50432e+00,197
64,4.11799e+01,2.50454e+00,200
65,4.11769e+01,2.50391e+00,202
66,4.11747e+01,2.50408e+00,204
67,4.11716e+01,2.50437e+00,206
68,4.11687e+01,2.50372e+00,209
69,4.11645e+01,2.50221e+00,211
70,4.11610e+01,2.50108e+00,213
71,4.11577e+01,2.50019e+00,215
72,4.11543e+01,2.49968e+00,218
73,4.11505e+01,2.49953e+00,220
74,4.11474e+01,2.49976e+00,222
75,4.11445e+01,2.49979e+00,224
76,4.11411e+01,2.50012e+00,227
77,4.11379e+01,2.50022e+00,229
78,4.11344e+01,2.50091e+00,231
79,4.11305e+01,2.50086e+00,233
80,4.11262e+01,2.50080e+00,236
81,4.11220e+01,2.50003e+00,238
82,4.11180e+01,2.49944e+00,240
83,4.11138e+01,2.49872e+00,242
84,4.11096e+01,2.49849e+00,245
85,4.11049e+01,2.49801e+00,247
86,4.11004e+01,2.49815e+00,249
87,4.10963e+01,2.49832e+00,251
88,4.10923e+01,2.49787e+00,254
89,4.10884e+01,2.49714e+00,256
90,4.10838e+01,2.49607e+00,258
91,4.10791e+01,2.49424e+00,260
92,4.10746e+01,2.49308e+00,262
93,4.10694e+01,2.49189e+00,265
94,4.10640e+01,2.49093e+00,267
95,4.10591e+01,2.48979e+00,269
96,4.10540e+01,2.48898e+00,271
97,4.10496e+01,2.48867e+00,274
98,4.10453e+01,2.48814e+00,276
99,4.10413e+01,2.48739e+00,278
100,4.10374e+01,2.48659e+00,280
101,4.10330e+01,2.48616e+00,283
102,4.10285e+01,2.48631e+00,285
103,4.10249e+01,2.48685e+00,287
104,4.10216e+01,2.48791e+00,289
105,4.10180e+01,2.48959e+00,292
106,4.10154e+01,2.49092e+00,294
107,4.10123e+01,2.49179e+00,296
108,4.10090e+01,2.49241e+00,298
109,4.10057e+01,2.49291e+00,300
110,4.10026e+01,2.49397e+00,303
111,4.09995e+01,2.49509e+00,305
112,4.09968e+01,2.49607e+00,307
113,4.09935e+01,2.49728e+00,309
114,4.09903e+01,2.49895e+00,312
115,4.09885e+01,2.50063e+00,314
116,4.09865e+01,2.50186e+00,316
117,4.09837e+01,2.50290e+00,318
118,4.09804e+01,2.50397e+00,321
119,4.09777e+01,2.50543e+00,323
120,4.09752e+01,2.50694e+00,325
121,4.09712e+01,2.50887e+00,327
122,4.09660e+01,2.50990e+00,329
123,4.09608e+01,2.51145e+00,332
124,4.09570e+01,2.51265e+00,334
125,4.09516e+01,2.51304e+00,336
126,4.09459e+01,2.51309e+00,338
127,4.09408e+01,2.51317e+00,341
128,4.09362e+01,2.51339e+00,343
129,4.09317e+01,2.51379e+00,345
130,4.09275e+01,2.51393e+00,347
131,4.09230e+01,2.51382e+00,350
132,4.09182e+01,2.51359e+00,352
133,4.09129e+01,2.51294e+00,354
134,4.09070e+01,2.51262e+00,356
135,4.09024e+01,2.51178e+00,358
136,4.08973e+01,2.50986e+00,361
137,4.08922e+01,2.50770e+00,363
138,4.08880e+01,2.50595e+00,365
139,4.08839e+01,2.50463e+00,367
140,4.08796e+01,2.50290e+00,370
141,4.08753e+01,2.50071e+00,372
142,4.08707e+01,2.49868e+00,374
143,4.08660e+01,2.49649e+00,376
144,4.08621e+01,2.49390e+00,379
145,4.08581e+01,2.49144e+00,381
146,4.08541e+01,2.48907e+00,383
147,4.08505e+01,2.48726e+00,385
148,4.08456e+01,2.48484e+00,388
149,4.08405e+01,2.48258e+00,390
