step,loss_function,target_value,elapsed_time
0,7.99851e+01,2.53753e+00,18
1,6.80994e+01,2.53253e+00,26
2,6.80911e+01,2.53034e+00,27
3,6.80829e+01,2.52673e+00,29
4,6.80726e+01,2.52259e+00,31
5,6.80620e+01,2.52038e+00,32
6,6.80495e+01,2.51848e+00,34
7,6.80367e+01,2.51656e+00,35
8,6.80247e+01,2.51356e+00,37
9,6.80134e+01,2.51038e+00,39
10,6.80043e+01,2.50727e+00,40
11,6.79968e+01,2.50434e+00,42
12,6.79897e+01,2.50137e+00,44
13,6.79834e+01,2.50021e+00,45
14,6.79766e+01,2.49955e+00,47
15,6.79701e+01,2.49927e+00,49
16,6.79635e+01,2.49939e+00,50
17,6.79560e+01,2.49950e+00,52
18,6.79485e+01,2.49852e+00,54
19,6.79401e+01,2.49794e+00,55
20,6.79310e+01,2.49723e+00,57
21,6.79219e+01,2.49596e+00,59
22,6.79140e+01,2.49412e+00,60
23,6.79051e+01,2.49280e+00,62
24,6.78963e+01,2.49116e+00,63
25,6.78877e+01,2.49014e+00,65
26,6.78796e+01,2.48857e+00,67
27,6.78713e+01,2.48762e+00,68
28,6.78627e+01,2.48658e+00,70
29,6.78548e+01,2.48655e+00,72
30,6.78456e+01,2.48679e+00,73
31,6.78368e+01,2.48618e+00,75
32,6.78279e+01,2.48638e+00,77
33,6.78201e+01,2.48718e+00,78
34,6.78132e+01,2.48837e+00,80
35,6.78067e+01,2.48935e+00,82
36,6.78003e+01,2.49033e+00,83
37,6.77932e+01,2.49091e+00,85
38,6.77863e+01,2.49103e+00,86
39,6.77795e+01,2.49041e+00,88
40,6.77730e+01,2.48954e+00,90
41,6.77663e+01,2.48840e+00,91
42,6.77596e+01,2.48766e+00,93
43,6.77528e+01,2.48748e+00,95
44,6.77456e+01,2.48774e+00,96
45,6.77374e+01,2.48911e+00,98
46,6.77301e+01,2.49098e+00,100
47,6.77234e+01,2.49307e+00,101
48,6.77175e+01,2.49562e+00,103
49,6.77110e+01,2.49699e+00,105
50,6.77031e+01,2.49850e+00,106
51,6.76950e+01,2.49959e+00,108
52,6.76884e+01,2.50077e+00,110
53,6.76811e+01,2.50221e+00,111
54,6.76728e+01,2.50353e+00,113
55,6.76646e+01,2.50561e+00,115
56,6.76555e+01,2.50688e+00,116
57,6.76473e+01,2.50820e+00,118
58,6.76385e+01,2.50976e+00,119
59,6.76307e+01,2.51194e+00,121
60,6.76225e+01,2.51370e+00,123
61,6.76142e+01,2.51446e+00,124
62,6.76049e+01,2.51454e+00,126
63,6.75949e+01,2.51437e+00,128
64,6.75843e+01,2.51371e+00,129
65,6.75738e+01,2.51292e+00,131
66,6.75623e+01,2.51212e+00,133
67,6.75507e+01,2.51132e+00,134
68,6.75389e+01,2.50989e+00,136
69,6.75275e+01,2.50830e+00,138
70,6.75171e+01,2.50758e+00,139
71,6.75077e+01,2.50659e+00,141
72,6.74997e+01,2.50652e+00,143
73,6.74912e+01,2.50671e+00,144
74,6.74826e+01,2.50718e+00,146
75,6.74740e+01,2.50746e+00,147
76,6.74653e+01,2.50706e+00,149
77,6.74573e+01,2.50669e+00,151
78,6.74497e+01,2.50555e+00,152
79,6.74423e+01,2.50430e+00,154
80,6.74346e+01,2.50273e+00,156
81,6.74268e+01,2.50112e+00,157
82,6.74192e+01,2.49917e+00,159
83,6.74111e+01,2.49739e+00,161
84,6.74026e+01,2.49552e+00,162
85,6.73934e+01,2.49311e+00,164
86,6.73857e+01,2.49198e+00,166
87,6.73769e+01,2.49090e+00,167
88,6.73682e+01,2.48918e+00,169
89,6.73594e+01,2.48805e+00,171
90,6.73509e+01,2.48751e+00,172
91,6.73426e+01,2.48717e+00,174
92,6.73335e+01,2.48589e+00,175
93,6.73247e+01,2.48413e+00,177
94,6.73168e+01,2.48278e+00,179
95,6.73097e+01,2.48072e+00,180
96,6.73027e+01,2.47924e+00,182
97,6.72954e+01,2.47755e+00,184
98,6.72881e+01,2.47719e+00,185
99,6.72806e+01,2.47649e+00,187
100,6.72725e+01,2.47539e+00,189
101,6.72644e+01,2.47458e+00,190
102,6.72566e+01,2.47357e+00,192
103,6.72492e+01,2.47333e+00,194
104,6.72413e+01,2.47353e+00,195
105,6.72337e+01,2.47410e+00,197
106,6.72254e+01,2.47524e+00,199
107,6.72180e+01,2.47735e+00,200
108,6.72102e+01,2.47889e+00,202
109,6.72019e+01,2.47963e+00,203
110,6.71943e+01,2.48058e+00,205
111,6.71872e+01,2.48071e+00,207
112,6.71809e+01,2.48087e+00,208
113,6.71741e+01,2.48034e+00,210
114,6.71677e+01,2.47955e+00,212
115,6.71611e+01,2.47848e+00,213
116,6.71544e+01,2.47715e+00,215
117,6.71471e+01,2.47613e+00,217
118,6.71395e+01,2.47576e+00,218
119,6.71322e+01,2.47545e+00,220
120,6.71253e+01,2.47564e+00,222
121,6.71182e+01,2.47589e+00,223
122,6.71108e+01,2.47718e+00,225
123,6.71036e+01,2.47740e+00,227
124,6.70958e+01,2.47724e+00,228
125,6.70879e+01,2.47622e+00,230
126,6.70805e+01,2.47461e+00,231
127,6.70723e+01,2.47370e+00,233
128,6.70639e+01,2.47266e+00,235
129,6.70549e+01,2.47049e+00,236
130,6.70451e+01,2.46807e+00,238
131,6.70346e+01,2.46656e+00,240
132,6.70243e+01,2.46467e+00,241
133,6.70140e+01,2.46388e+00,243
134,6.70033e+01,2.46349e+00,245
135,6.69929e+01,2.46361e+00,246
136,6.69831e+01,2.46396e+00,248
137,6.69734e+01,2.46490e+00,250
138,6.69639e+01,2.46578e+00,251
