PL,,Mean:,-0.39742666,,,-30 Case
-3.93332,,STDEV:,12.1256154,,,
-0.632568,,,,,,
-4.826815,,Lower:,-40,,,
3.978484,,Upper:,40,,,
3.383265,,Num,40,,,
-6.185901,,,,,,
1.685692,,-40,,Bin,Frequency,
4.018876,,-38,,-40,0,0
-9.753793,,-36,,-38,0,0
-8.967258,,-34,,-36,0,0
4.093204,,-32,,-34,0,0
4.518437,,-30,,-32,0,0
-4.187507,,-28,,-30,0,0
4.838429,,-26,,-28,0,0
2.006142,,-24,,-26,0,0
-0.935128,,-22,,-24,0,0
0.743435,,-20,,-22,0,0
0.292456,,-18,,-20,0,0
-1.648383,,-16,,-18,0,0
-8.972576,,-14,,-16,1,0.005
-3.988826,,-12,,-14,2,0.01
1.956355,,-10,,-12,0,0
-15.17417,,-8,,-10,1,0.005
-3.917539,,-6,,-8,10,0.05
-5.658623,,-4,,-6,6,0.03
2.723795,,-2,,-4,13,0.065
-0.826904,,0,,-2,26,0.13
1.686626,,2,,0,41,0.205
-8.644572,,4,,2,44,0.22
1.509744,,6,,4,28,0.14
-2.349235,,8,,6,17,0.085
2.619947,,10,,8,9,0.045
-16.186292,,12,,10,1,0.005
5.151024,,14,,12,0,0
2.245909,,16,,14,1,0.005
-1.677938,,18,,16,0,0
-1.98544,,20,,18,0,0
4.77402,,22,,20,0,0
-1.566439,,24,,22,0,0
-8.877056,,26,,24,0,0
-3.563336,,28,,26,0,0
-4.963937,,30,,28,0,0
-1.810026,,32,,30,0,0
9.000071,,34,,32,0,0
-0.010073,,36,,34,0,0
-3.434968,,38,,36,0,0
3.112515,,40,,38,0,0
3.68588,,,,40,0,0
-8.405776,,,,More,0,200
6.864414,,,,,,
-4.0505,,,,,,
-1.690777,,,,,,
2.464467,,,,,,
4.753564,,,,,,
0.805564,,,,,,
1.775473,,,,,,
2.133785,,,,,,
0.253963,,,,,,
7.358523,,,,,,
7.641891,,,,,,
-1.100316,,,,,,
-0.458617,,,,,,
5.456323,,,,,,
-2.643503,,,,,,
-0.207322,,,,,,
-5.278667,,,,,,
-0.909876,,,,,,
-1.091171,,,,,,
-3.08354,,,,,,
2.770879,,,,,,
3.260086,,,,,,
0.9928,,,,,,
1.707046,,,,,,
2.453682,,,,,,
-6.349961,,,,,,
4.265528,,,,,,
1.114735,,,,,,
-1.608081,,,,,,
-3.668196,,,,,,
-4.052703,,,,,,
7.827739,,,,,,
2.018277,,,,,,
3.524809,,,,,,
-0.534175,,,,,,
6.556926,,,,,,
-1.043376,,,,,,
0.068718,,,,,,
0.078092,,,,,,
-3.484938,,,,,,
6.104348,,,,,,
-1.162249,,,,,,
-2.037001,,,,,,
-1.930292,,,,,,
4.647346,,,,,,
-1.833903,,,,,,
3.752967,,,,,,
-1.659514,,,,,,
3.559489,,,,,,
0.563434,,,,,,
-4.186992,,,,,,
-1.016639,,,,,,
0.674833,,,,,,
3.381075,,,,,,
1.806149,,,,,,
2.979542,,,,,,
-2.666202,,,,,,
1.487956,,,,,,
0.99818,,,,,,
-2.747742,,,,,,
-0.606087,,,,,,
6.226913,,,,,,
-7.40566,,,,,,
5.520914,,,,,,
6.237334,,,,,,
5.454534,,,,,,
0.814191,,,,,,
3.989745,,,,,,
4.428751,,,,,,
-1.346351,,,,,,
1.431263,,,,,,
-6.441207,,,,,,
-0.15144,,,,,,
1.895976,,,,,,
3.355521,,,,,,
-2.62083,,,,,,
-11.819954,,,,,,
4.60705,,,,,,
6.245632,,,,,,
1.039534,,,,,,
1.130024,,,,,,
1.276814,,,,,,
-5.272018,,,,,,
1.566276,,,,,,
-6.304761,,,,,,
-1.279842,,,,,,
0.47162,,,,,,
1.085747,,,,,,
-5.092711,,,,,,
-9.750855,,,,,,
-3.01426,,,,,,
0.27879,,,,,,
1.641769,,,,,,
1.890083,,,,,,
-2.164678,,,,,,
1.869116,,,,,,
1.726007,,,,,,
-5.330828,,,,,,
1.626107,,,,,,
-0.630264,,,,,,
-3.008245,,,,,,
-1.095512,,,,,,
0.866534,,,,,,
-8.572352,,,,,,
1.797671,,,,,,
-0.210923,,,,,,
3.035584,,,,,,
4.396908,,,,,,
-0.789846,,,,,,
-2.21869,,,,,,
-0.203329,,,,,,
-2.706087,,,,,,
-2.535262,,,,,,
2.008991,,,,,,
-1.638107,,,,,,
4.086549,,,,,,
-8.005988,,,,,,
-8.262687,,,,,,
4.763988,,,,,,
2.125588,,,,,,
-1.012361,,,,,,
1.219992,,,,,,
-2.906666,,,,,,
3.22061,,,,,,
0.310907,,,,,,
0.080638,,,,,,
-0.142402,,,,,,
3.181331,,,,,,
-1.271677,,,,,,
-3.989263,,,,,,
-6.320502,,,,,,
-3.891214,,,,,,
-4.66474,,,,,,
-14.378411,,,,,,
-1.243964,,,,,,
-0.777387,,,,,,
12.146664,,,,,,
-3.287149,,,,,,
0.178162,,,,,,
1.213858,,,,,,
-1.150228,,,,,,
-1.068504,,,,,,
-1.992517,,,,,,
-5.954267,,,,,,
-2.257374,,,,,,
0.286823,,,,,,
2.334916,,,,,,
-2.502445,,,,,,
1.957746,,,,,,
0.172678,,,,,,
2.062407,,,,,,
160,,,,,,
