PL,,Mean:,-0.272169905,-20 case,,
0.369766,,STDEV:,12.44952388,,,
-1.702512,,,,,,
5.887795,,Lower:,-40,,,
0.557527,,Upper:,40,,,
-1.790891,,Num,40,,,
1.30736,,,,,,
-9.832732,,-40,,Bin,Frequency,
0.99452,,-38,,-40,0,0
0.033713,,-36,,-38,0,0
-9.775493,,-34,,-36,0,0
0.54164,,-32,,-34,0,0
5.722914,,-30,,-32,0,0
1.601425,,-28,,-30,0,0
2.767912,,-26,,-28,0,0
-10.716554,,-24,,-26,0,0
-7.84333,,-22,,-24,1,0.005
3.73846,,-20,,-22,1,0.005
0.22998,,-18,,-20,0,0
5.212845,,-16,,-18,0,0
5.277303,,-14,,-16,1,0.005
2.681975,,-12,,-14,1,0.005
-1.479334,,-10,,-12,2,0.01
-0.719025,,-8,,-10,1,0.005
-2.359566,,-6,,-8,8,0.04
-4.707931,,-4,,-6,8,0.04
-8.715101,,-2,,-4,15,0.075
-0.404985,,0,,-2,14,0.07
-3.149042,,2,,0,40,0.2
7.910226,,4,,2,38,0.19
-2.679261,,6,,4,32,0.16
1.110012,,8,,6,27,0.135
2.960244,,10,,8,8,0.04
-25.583064,,12,,10,2,0.01
1.475912,,14,,12,1,0.005
-1.159002,,16,,14,0,0
3.227423,,18,,16,0,0
-2.109239,,20,,18,0,0
-1.00731,,22,,20,0,0
-9.419774,,24,,22,0,0
-5.61257,,26,,24,0,0
5.644212,,28,,26,0,0
7.407019,,30,,28,0,0
4.567953,,32,,30,0,0
3.558869,,34,,32,0,0
-1.345778,,36,,34,0,0
-8.748493,,38,,36,0,0
-1.711645,,40,,38,0,0
4.948022,,,,40,0,0
-1.888956,,,,More,0,200
6.972183,,,,,,
-0.584083,,,,,,
-5.097903,,,,,,
-3.189566,,,,,,
2.944413,,,,,,
0.652029,,,,,,
4.784476,,,,,,
3.512791,,,,,,
-3.523917,,,,,,
4.095563,,,,,,
5.856717,,,,,,
-0.495719,,,,,,
-3.346717,,,,,,
4.474251,,,,,,
-0.059168,,,,,,
4.545823,,,,,,
-2.025337,,,,,,
-0.357332,,,,,,
-0.701834,,,,,,
-1.39523,,,,,,
-1.708306,,,,,,
-0.88622,,,,,,
-9.947533,,,,,,
2.668969,,,,,,
-6.640982,,,,,,
3.442311,,,,,,
-4.293898,,,,,,
1.472784,,,,,,
-1.359945,,,,,,
4.003997,,,,,,
0.069622,,,,,,
3.373299,,,,,,
0.315161,,,,,,
-2.172065,,,,,,
3.999859,,,,,,
-1.201298,,,,,,
1.907235,,,,,,
4.297145,,,,,,
1.377573,,,,,,
7.690846,,,,,,
-5.746547,,,,,,
4.686007,,,,,,
-7.40457,,,,,,
-1.137778,,,,,,
-1.765016,,,,,,
-8.463849,,,,,,
8.902469,,,,,,
1.536553,,,,,,
10.071796,,,,,,
3.45061,,,,,,
5.853979,,,,,,
4.661489,,,,,,
-6.468089,,,,,,
-5.304105,,,,,,
-7.508771,,,,,,
3.68195,,,,,,
4.004918,,,,,,
-0.797349,,,,,,
4.282612,,,,,,
-1.005776,,,,,,
-3.376589,,,,,,
0.938549,,,,,,
0.233703,,,,,,
-4.098072,,,,,,
6.443436,,,,,,
-5.333114,,,,,,
0.561266,,,,,,
4.227575,,,,,,
1.976306,,,,,,
-0.579675,,,,,,
2.291915,,,,,,
5.540321,,,,,,
-0.394474,,,,,,
6.123428,,,,,,
3.552166,,,,,,
4.06432,,,,,,
2.724701,,,,,,
1.441772,,,,,,
8.166989,,,,,,
2.361341,,,,,,
-5.53855,,,,,,
3.396389,,,,,,
4.964879,,,,,,
-0.835418,,,,,,
0.05474,,,,,,
-1.844194,,,,,,
-1.583307,,,,,,
-13.539894,,,,,,
-1.026903,,,,,,
-5.309231,,,,,,
-0.429915,,,,,,
0.926512,,,,,,
-1.339627,,,,,,
-13.297633,,,,,,
2.78669,,,,,,
0.670948,,,,,,
5.722652,,,,,,
-4.653596,,,,,,
-0.524649,,,,,,
-0.409057,,,,,,
2.098539,,,,,,
-0.230581,,,,,,
-2.484287,,,,,,
-16.057085,,,,,,
0.610809,,,,,,
0.796003,,,,,,
3.920253,,,,,,
-5.763283,,,,,,
0.391934,,,,,,
-2.768343,,,,,,
-6.934035,,,,,,
6.397713,,,,,,
-1.42573,,,,,,
-7.210983,,,,,,
0.938514,,,,,,
0.010618,,,,,,
-4.809209,,,,,,
4.699709,,,,,,
2.281606,,,,,,
-3.149218,,,,,,
-14.492963,,,,,,
2.321405,,,,,,
3.56186,,,,,,
3.635609,,,,,,
1.005006,,,,,,
1.929976,,,,,,
-5.662742,,,,,,
3.45808,,,,,,
0.294146,,,,,,
1.22144,,,,,,
-8.41988,,,,,,
1.244362,,,,,,
3.143574,,,,,,
-23.972365,,,,,,
3.775515,,,,,,
3.243998,,,,,,
5.533457,,,,,,
2.669517,,,,,,
-0.689534,,,,,,
-6.047721,,,,,,
0.914432,,,,,,
-0.040615,,,,,,
-5.200487,,,,,,
4.457453,,,,,,
6.108869,,,,,,
-1.36325,,,,,,
0.56823,,,,,,
-2.36415,,,,,,
2.714622,,,,,,
-0.252746,,,,,,
1.627311,,,,,,
160,,,,,,
