PL,,Mean:,-0.096,,,
-6.972683,,STDEV:,12.171,,,
0.474591,,,,,,
12.730465,,Lower:,-40,,,
-4.238662,,Upper:,40,,,
-0.284815,,Num,40,,,
1.575285,,,,,,
4.136645,,-40,,Bin,Frequency,
-4.510996,,-38,,-40,0,0
-5.144243,,-36,,-38,0,0
4.100981,,-34,,-36,0,0
20.046596,,-32,,-34,0,0
2.121224,,-30,,-32,0,0
-1.240443,,-28,,-30,0,0
7.558743,,-26,,-28,1,0.005
-5.119868,,-24,,-26,1,0.005
-8.094957,,-22,,-24,0,0
9.575303,,-20,,-22,4,0.02
11.566175,,-18,,-20,4,0.02
26.00281,,-16,,-18,5,0.025
7.945608,,-14,,-16,5,0.025
4.930935,,-12,,-14,7,0.035
-27.35242,,-10,,-12,11,0.055
11.760793,,-8,,-10,8,0.04
-12.711566,,-6,,-8,9,0.045
25.087064,,-4,,-6,12,0.06
-8.476345,,-2,,-4,11,0.055
12.660124,,0,,-2,9,0.045
21.891847,,2,,0,12,0.06
-3.447067,,4,,2,11,0.055
0.070651,,6,,4,13,0.065
-3.057464,,8,,6,10,0.05
-18.784282,,10,,8,13,0.065
19.222073,,12,,10,11,0.055
-1.449867,,14,,12,11,0.055
-8.74933,,16,,14,12,0.06
-7.459921,,18,,16,1,0.005
3.529835,,20,,18,2,0.01
-1.886207,,22,,20,3,0.015
-21.074715,,24,,22,8,0.04
-21.142187,,26,,24,0,0
1.067695,,28,,26,4,0.02
-2.787219,,30,,28,2,0.01
-6.769484,,32,,30,0,0
12.993063,,34,,32,0,0
-12.33152,,36,,34,0,0
-17.644807,,38,,36,0,0
-20.795937,,40,,38,0,0
-12.931165,,,,40,0,0
-1.295268,,,,More,0,200
19.373323,,,,,,
12.666785,,,,,,
8.531218,,,,,,
0.832238,,,,,,
2.754201,,,,,,
-10.708592,,,,,,
-14.59226,,,,,,
-4.64449,,,,,,
10.561652,,,,,,
-0.411409,,,,,,
12.901796,,,,,,
-2.287744,,,,,,
12.991955,,,,,,
16.214203,,,,,,
-4.4745,,,,,,
1.296345,,,,,,
-11.919693,,,,,,
-19.511007,,,,,,
2.532351,,,,,,
26.846134,,,,,,
0.254446,,,,,,
-15.762487,,,,,,
-12.369196,,,,,,
11.69257,,,,,,
7.335335,,,,,,
25.908837,,,,,,
5.488651,,,,,,
11.114419,,,,,,
-16.660472,,,,,,
21.77521,,,,,,
-2.721849,,,,,,
10.092781,,,,,,
-10.078097,,,,,,
0.154056,,,,,,
9.129123,,,,,,
-6.731759,,,,,,
0.956333,,,,,,
-18.450698,,,,,,
8.401968,,,,,,
0.703498,,,,,,
-12.584011,,,,,,
-3.728877,,,,,,
-22.627059,,,,,,
-14.247181,,,,,,
7.898085,,,,,,
2.868685,,,,,,
-9.335156,,,,,,
-7.957099,,,,,,
-15.426275,,,,,,
-8.656373,,,,,,
-10.145158,,,,,,
-19.491869,,,,,,
16.467388,,,,,,
1.805073,,,,,,
-8.604094,,,,,,
13.548913,,,,,,
21.18661,,,,,,
6.406206,,,,,,
21.099657,,,,,,
-13.768561,,,,,,
-2.483495,,,,,,
5.223424,,,,,,
-19.697709,,,,,,
-17.265654,,,,,,
12.668407,,,,,,
18.628344,,,,,,
-4.028239,,,,,,
8.891394,,,,,,
5.030862,,,,,,
-13.429018,,,,,,
-7.423936,,,,,,
-17.147109,,,,,,
-15.797228,,,,,,
-1.358898,,,,,,
-15.458434,,,,,,
9.314108,,,,,,
-10.16551,,,,,,
-13.328671,,,,,,
-3.234817,,,,,,
20.849631,,,,,,
9.791166,,,,,,
-6.308564,,,,,,
-5.485676,,,,,,
3.389378,,,,,,
-28.403721,,,,,,
-7.748836,,,,,,
11.20574,,,,,,
2.322419,,,,,,
6.710352,,,,,,
-11.507859,,,,,,
13.921216,,,,,,
-10.747246,,,,,,
7.173345,,,,,,
12.669184,,,,,,
-4.649245,,,,,,
3.773866,,,,,,
11.26211,,,,,,
-23.819072,,,,,,
-9.730302,,,,,,
3.127694,,,,,,
-14.025322,,,,,,
14.37851,,,,,,
11.881958,,,,,,
-13.304667,,,,,,
7.998028,,,,,,
-1.933241,,,,,,
-8.576734,,,,,,
6.42213,,,,,,
-3.625456,,,,,,
-0.907801,,,,,,
5.049178,,,,,,
12.425132,,,,,,
-1.217142,,,,,,
-7.071466,,,,,,
8.214819,,,,,,
-5.828907,,,,,,
20.879535,,,,,,
3.876949,,,,,,
25.221952,,,,,,
-13.284165,,,,,,
-13.910509,,,,,,
8.932013,,,,,,
-22.743493,,,,,,
4.019905,,,,,,
6.888058,,,,,,
9.676829,,,,,,
-22.742635,,,,,,
-5.741074,,,,,,
2.18343,,,,,,
-11.99814,,,,,,
2.721152,,,,,,
6.150094,,,,,,
-1.386632,,,,,,
-20.845637,,,,,,
3.947049,,,,,,
5.269242,,,,,,
11.928688,,,,,,
-7.800858,,,,,,
6.101813,,,,,,
9.126786,,,,,,
-1.796718,,,,,,
10.684514,,,,,,
-6.217299,,,,,,
-9.068043,,,,,,
4.304738,,,,,,
-17.12674,,,,,,
21.012656,,,,,,
6.881321,,,,,,
25.133842,,,,,,
-7.412895,,,,,,
12.174836,,,,,,
10,,,,,,
