PL,,Mean:,0.021,,,
8.230638,,STDEV:,6.538,,,
4.708795,,,,,,
8.61712,,Lower:,-40,,,
6.320309,,Upper:,40,,,
5.832072,,Num,40,,,
-10.588489,,,,,,
6.317868,,-40,,Bin,Frequency,
-8.640472,,-38,,-40,0,0
-2.545246,,-36,,-38,0,0
3.967993,,-34,,-36,0,0
1.950268,,-32,,-34,0,0
-10.542065,,-30,,-32,0,0
-2.966372,,-28,,-30,0,0
-10.537116,,-26,,-28,0,0
-7.807692,,-24,,-26,0,0
8.229122,,-22,,-24,0,0
3.943766,,-20,,-22,0,0
14.383505,,-18,,-20,0,0
-3.758856,,-16,,-18,0,0
-3.511208,,-14,,-16,1,0.005
1.863601,,-12,,-14,1,0.005
-2.287884,,-10,,-12,6,0.03
-9.400041,,-8,,-10,6,0.03
-0.866169,,-6,,-8,14,0.07
-4.175857,,-4,,-6,9,0.045
-0.253957,,-2,,-4,15,0.075
5.425951,,0,,-2,21,0.105
5.198781,,2,,0,22,0.11
-4.020254,,4,,2,28,0.14
-2.73318,,6,,4,27,0.135
6.381142,,8,,6,13,0.065
4.624799,,10,,8,12,0.06
10.019918,,12,,10,14,0.07
-5.512322,,14,,12,6,0.03
3.345704,,16,,14,1,0.005
-0.176079,,18,,16,2,0.01
14.077911,,20,,18,2,0.01
-2.305399,,22,,20,0,0
-8.451371,,24,,22,0,0
-3.949976,,26,,24,0,0
-5.523118,,28,,26,0,0
8.970078,,30,,28,0,0
-0.730918,,32,,30,0,0
1.085557,,34,,32,0,0
-6.293978,,36,,34,0,0
3.54693,,38,,36,0,0
-9.722976,,40,,38,0,0
-2.225939,,,,40,0,0
4.834455,,,,More,0,200
1.256817,,,,,,
0.078199,,,,,,
0.354657,,,,,,
-0.191285,,,,,,
6.476299,,,,,,
8.436065,,,,,,
-14.262164,,,,,,
-9.72149,,,,,,
-2.941431,,,,,,
17.519436,,,,,,
0.79465,,,,,,
-12.43176,,,,,,
16.018933,,,,,,
-1.529811,,,,,,
-8.262082,,,,,,
3.003485,,,,,,
1.373897,,,,,,
-4.40654,,,,,,
4.25583,,,,,,
0.890775,,,,,,
-2.190371,,,,,,
-13.849242,,,,,,
10.804391,,,,,,
5.749648,,,,,,
1.238376,,,,,,
-9.606785,,,,,,
4.27587,,,,,,
5.049882,,,,,,
-2.265357,,,,,,
2.027781,,,,,,
10.707406,,,,,,
-0.533387,,,,,,
-13.208691,,,,,,
-1.602909,,,,,,
0.691736,,,,,,
2.035817,,,,,,
3.346376,,,,,,
-2.818857,,,,,,
-3.854204,,,,,,
-5.531456,,,,,,
0.600455,,,,,,
-13.753178,,,,,,
11.273147,,,,,,
-9.381856,,,,,,
-0.428357,,,,,,
2.370559,,,,,,
6.728265,,,,,,
-7.818861,,,,,,
10.901224,,,,,,
3.800147,,,,,,
-2.980976,,,,,,
-0.150239,,,,,,
0.044379,,,,,,
13.705279,,,,,,
-7.258562,,,,,,
-0.412766,,,,,,
7.008903,,,,,,
3.601697,,,,,,
-4.178493,,,,,,
2.551801,,,,,,
-5.012754,,,,,,
1.947228,,,,,,
2.746202,,,,,,
-1.47069,,,,,,
0.133184,,,,,,
7.410246,,,,,,
-1.144501,,,,,,
-10.072982,,,,,,
9.865315,,,,,,
-1.175553,,,,,,
1.071905,,,,,,
-9.234765,,,,,,
8.258361,,,,,,
0.68209,,,,,,
-17.801641,,,,,,
-6.339645,,,,,,
-3.482925,,,,,,
-1.688927,,,,,,
-8.024898,,,,,,
-1.73228,,,,,,
9.052431,,,,,,
-0.258264,,,,,,
-4.144703,,,,,,
2.795213,,,,,,
2.489178,,,,,,
-6.136214,,,,,,
0.6238,,,,,,
10.933386,,,,,,
-0.543179,,,,,,
-0.987596,,,,,,
-10.049327,,,,,,
9.08781,,,,,,
-4.516767,,,,,,
-13.580819,,,,,,
2.647164,,,,,,
4.281955,,,,,,
1.151953,,,,,,
1.910507,,,,,,
0.573416,,,,,,
-8.298342,,,,,,
-4.109156,,,,,,
8.138378,,,,,,
-3.347149,,,,,,
2.526266,,,,,,
3.559342,,,,,,
1.530459,,,,,,
0.311221,,,,,,
-4.320661,,,,,,
0.479005,,,,,,
-1.814223,,,,,,
-13.976553,,,,,,
2.807226,,,,,,
-0.743589,,,,,,
-4.643181,,,,,,
3.956,,,,,,
4.401838,,,,,,
6.74677,,,,,,
-2.362519,,,,,,
-5.287548,,,,,,
-1.306009,,,,,,
6.987247,,,,,,
9.724554,,,,,,
9.296612,,,,,,
3.145222,,,,,,
7.824945,,,,,,
2.270395,,,,,,
2.85727,,,,,,
-8.778656,,,,,,
-5.662448,,,,,,
-6.392008,,,,,,
-11.558368,,,,,,
-3.548311,,,,,,
-2.109752,,,,,,
3.284723,,,,,,
2.8869,,,,,,
-3.216842,,,,,,
3.736128,,,,,,
1.949926,,,,,,
0.623109,,,,,,
-7.500855,,,,,,
2.753933,,,,,,
7.199679,,,,,,
0.343823,,,,,,
5.175325,,,,,,
-6.206002,,,,,,
1.623608,,,,,,
8.198002,,,,,,
7.761001,,,,,,
8.693099,,,,,,
-8.708455,,,,,,
-8.650815,,,,,,
40,,,,,,
