step,loss_function,target_value,elapsed_time
0,7.74498e+01,2.30921e+00,76
1,3.76195e+01,2.31421e+00,120
2,3.76065e+01,2.31888e+00,125
3,3.76044e+01,2.32241e+00,131
4,3.76049e+01,2.32647e+00,136
5,3.76061e+01,2.33070e+00,142
6,3.76071e+01,2.33367e+00,148
7,3.76060e+01,2.33728e+00,154
8,3.76055e+01,2.34045e+00,160
9,3.76023e+01,2.34389e+00,166
10,3.75978e+01,2.34777e+00,172
11,3.75924e+01,2.35164e+00,178
12,3.75872e+01,2.35583e+00,183
13,3.75829e+01,2.36008e+00,189
14,3.75777e+01,2.36432e+00,195
15,3.75697e+01,2.36865e+00,200
16,3.75670e+01,2.37305e+00,206
17,3.75650e+01,2.37761e+00,212
18,3.75647e+01,2.38227e+00,218
19,3.75604e+01,2.38691e+00,223
20,3.75550e+01,2.39166e+00,229
21,3.75476e+01,2.39644e+00,233
22,3.75438e+01,2.40119e+00,239
23,3.75389e+01,2.40569e+00,244
24,3.75361e+01,2.41020e+00,250
25,3.75319e+01,2.41456e+00,255
26,3.75292e+01,2.41893e+00,259
27,3.75253e+01,2.42311e+00,265
28,3.75209e+01,2.42723e+00,269
29,3.75195e+01,2.43142e+00,275
30,3.75175e+01,2.43556e+00,279
31,3.75180e+01,2.43914e+00,285
32,3.75217e+01,2.44232e+00,290
33,3.75289e+01,2.44542e+00,294
34,3.75384e+01,2.44821e+00,299
35,3.75454e+01,2.45086e+00,304
36,3.75497e+01,2.45269e+00,309
37,3.75628e+01,2.45492e+00,314
38,3.75707e+01,2.45657e+00,319
39,3.75831e+01,2.45773e+00,324
40,3.75823e+01,2.45904e+00,329
41,3.75793e+01,2.46021e+00,334
42,3.75784e+01,2.46153e+00,339
43,3.75858e+01,2.46297e+00,344
44,3.75900e+01,2.46478e+00,348
45,3.75987e+01,2.46624e+00,354
46,3.76002e+01,2.46752e+00,358
47,3.75992e+01,2.46866e+00,363
48,3.75959e+01,2.46956e+00,368
49,3.75981e+01,2.47080e+00,373
50,3.75955e+01,2.47232e+00,378
51,3.75948e+01,2.47329e+00,383
52,3.75990e+01,2.47336e+00,388
53,3.76049e+01,2.47339e+00,393
54,3.76111e+01,2.47349e+00,397
55,3.76128e+01,2.47402e+00,402
56,3.76100e+01,2.47497e+00,407
57,3.76079e+01,2.47628e+00,412
58,3.76026e+01,2.47705e+00,417
59,3.76011e+01,2.47758e+00,422
60,3.75972e+01,2.47774e+00,427
61,3.75928e+01,2.47788e+00,431
62,3.75824e+01,2.47789e+00,437
63,3.75743e+01,2.47833e+00,442
64,3.75640e+01,2.47849e+00,446
65,3.75538e+01,2.47890e+00,451
66,3.75403e+01,2.47937e+00,456
67,3.75347e+01,2.47972e+00,461
68,3.75352e+01,2.48010e+00,466
69,3.75341e+01,2.48043e+00,471
70,3.75230e+01,2.48029e+00,476
71,3.75137e+01,2.47988e+00,481
72,3.75035e+01,2.47949e+00,485
73,3.74873e+01,2.47916e+00,490
74,3.74688e+01,2.47856e+00,495
75,3.74513e+01,2.47774e+00,500
76,3.74359e+01,2.47657e+00,505
77,3.74218e+01,2.47569e+00,510
78,3.74045e+01,2.47507e+00,515
79,3.73943e+01,2.47452e+00,520
80,3.73852e+01,2.47434e+00,525
81,3.73769e+01,2.47464e+00,530
82,3.73686e+01,2.47559e+00,535
83,3.73629e+01,2.47634e+00,540
84,3.73582e+01,2.47740e+00,544
85,3.73528e+01,2.47828e+00,550
86,3.73488e+01,2.47855e+00,554
87,3.73457e+01,2.47879e+00,560
88,3.73443e+01,2.47882e+00,564
89,3.73461e+01,2.47928e+00,569
90,3.73462e+01,2.47918e+00,574
91,3.73435e+01,2.47980e+00,579
92,3.73390e+01,2.48024e+00,584
93,3.73357e+01,2.48113e+00,589
94,3.73313e+01,2.48228e+00,595
95,3.73262e+01,2.48302e+00,599
96,3.73243e+01,2.48369e+00,604
97,3.73233e+01,2.48420e+00,609
98,3.73211e+01,2.48482e+00,614
99,3.73186e+01,2.48578e+00,619
100,3.73153e+01,2.48664e+00,624
101,3.73124e+01,2.48789e+00,628
102,3.73086e+01,2.48921e+00,634
103,3.73051e+01,2.49022e+00,638
104,3.73015e+01,2.49124e+00,643
105,3.72982e+01,2.49158e+00,648
106,3.72954e+01,2.49198e+00,654
107,3.72930e+01,2.49207e+00,658
108,3.72918e+01,2.49234e+00,663
109,3.72906e+01,2.49261e+00,668
110,3.72887e+01,2.49302e+00,673
111,3.72861e+01,2.49330e+00,678
112,3.72846e+01,2.49246e+00,683
113,3.72814e+01,2.49168e+00,688
114,3.72784e+01,2.49010e+00,693
115,3.72750e+01,2.48864e+00,697
116,3.72713e+01,2.48796e+00,703
117,3.72684e+01,2.48720e+00,707
118,3.72662e+01,2.48642e+00,712
119,3.72638e+01,2.48545e+00,717
120,3.72623e+01,2.48439e+00,722
121,3.72604e+01,2.48339e+00,727
122,3.72590e+01,2.48306e+00,732
123,3.72581e+01,2.48344e+00,736
124,3.72570e+01,2.48427e+00,741
125,3.72550e+01,2.48505e+00,746
126,3.72529e+01,2.48580e+00,751
127,3.72501e+01,2.48678e+00,756
128,3.72464e+01,2.48730e+00,761
129,3.72428e+01,2.48735e+00,766
130,3.72397e+01,2.48686e+00,770
131,3.72372e+01,2.48629e+00,775
132,3.72343e+01,2.48630e+00,780
133,3.72314e+01,2.48637e+00,786
134,3.72286e+01,2.48669e+00,790
135,3.72260e+01,2.48674e+00,795
136,3.72224e+01,2.48719e+00,800
137,3.72185e+01,2.48804e+00,805
138,3.72153e+01,2.48892e+00,810
139,3.72126e+01,2.48897e+00,816
140,3.72103e+01,2.48893e+00,820
141,3.72088e+01,2.48890e+00,826
142,3.72069e+01,2.48883e+00,830
143,3.72056e+01,2.48849e+00,835
144,3.72044e+01,2.48772e+00,840
145,3.72029e+01,2.48701e+00,845
146,3.72012e+01,2.48601e+00,850
147,3.71988e+01,2.48525e+00,854
148,3.71956e+01,2.48381e+00,860
149,3.71931e+01,2.48267e+00,864
