PL,,Mean:,0.591,,,
0.417643,,STDEV:,4.029,,,
4.430543,,,,,,
-1.916013,,Lower:,-40,,,
2.676358,,Upper:,40,,,
3.838706,,Num,40,,,
0.374587,,,,,,
-3.53455,,-40,,Bin,Frequency,
5.423204,,-38,,-40,0,0
2.122832,,-36,,-38,0,0
1.710843,,-34,,-36,0,0
-2.646764,,-32,,-34,0,0
0.908649,,-30,,-32,0,0
-5.421118,,-28,,-30,0,0
2.670331,,-26,,-28,0,0
3.63009,,-24,,-26,0,0
3.356737,,-22,,-24,0,0
2.551093,,-20,,-22,0,0
6.398257,,-18,,-20,0,0
-9.448197,,-16,,-18,0,0
0.168382,,-14,,-16,1,0.005
-4.336234,,-12,,-14,0,0
4.52291,,-10,,-12,0,0
0.163796,,-8,,-10,5,0.025
-0.338806,,-6,,-8,2,0.01
1.890432,,-4,,-6,4,0.02
3.322085,,-2,,-4,11,0.055
2.538,,0,,-2,16,0.08
-2.651251,,2,,0,38,0.19
0.41751,,4,,2,45,0.225
2.249174,,6,,4,39,0.195
-2.261649,,8,,6,29,0.145
-0.926764,,10,,8,6,0.03
-3.975691,,12,,10,4,0.02
2.373152,,14,,12,0,0
-1.394402,,16,,14,0,0
1.060912,,18,,16,0,0
-16.227635,,20,,18,0,0
-6.210918,,22,,20,0,0
-0.240703,,24,,22,0,0
1.920466,,26,,24,0,0
-0.332129,,28,,26,0,0
1.016376,,30,,28,0,0
-5.436147,,32,,30,0,0
4.853763,,34,,32,0,0
4.152839,,36,,34,0,0
-2.368067,,38,,36,0,0
5.466817,,40,,38,0,0
7.141238,,,,40,0,0
-2.854452,,,,More,0,200
0.736667,,,,,,
4.808974,,,,,,
-0.932958,,,,,,
1.195288,,,,,,
-1.93535,,,,,,
5.181516,,,,,,
1.129425,,,,,,
-6.728624,,,,,,
3.887007,,,,,,
1.436835,,,,,,
0.42587,,,,,,
4.978192,,,,,,
4.437889,,,,,,
-6.12025,,,,,,
1.947877,,,,,,
2.110963,,,,,,
1.29754,,,,,,
5.667956,,,,,,
-1.952781,,,,,,
5.059419,,,,,,
0.383264,,,,,,
-0.378628,,,,,,
2.345587,,,,,,
3.468569,,,,,,
-0.137846,,,,,,
-1.844905,,,,,,
-0.124535,,,,,,
0.629955,,,,,,
-3.550355,,,,,,
4.586549,,,,,,
-4.553455,,,,,,
4.029186,,,,,,
2.013141,,,,,,
0.225397,,,,,,
3.617905,,,,,,
-10.48701,,,,,,
-2.003983,,,,,,
3.919443,,,,,,
-3.877911,,,,,,
-3.06825,,,,,,
-10.277761,,,,,,
0.669442,,,,,,
0.008072,,,,,,
7.978564,,,,,,
-4.865514,,,,,,
-6.073211,,,,,,
2.904562,,,,,,
-0.951175,,,,,,
-0.031037,,,,,,
2.596753,,,,,,
-0.954501,,,,,,
-10.996783,,,,,,
0.623184,,,,,,
-0.445161,,,,,,
2.88787,,,,,,
8.503888,,,,,,
4.275151,,,,,,
2.868985,,,,,,
2.369623,,,,,,
-8.963176,,,,,,
5.314448,,,,,,
1.715943,,,,,,
0.69912,,,,,,
3.668049,,,,,,
3.031102,,,,,,
-1.856239,,,,,,
2.833843,,,,,,
1.034539,,,,,,
-10.840642,,,,,,
-4.013852,,,,,,
4.72831,,,,,,
-1.763709,,,,,,
6.219588,,,,,,
0.20469,,,,,,
-0.496921,,,,,,
0.740246,,,,,,
4.136026,,,,,,
3.166593,,,,,,
1.039246,,,,,,
-5.402949,,,,,,
0.530188,,,,,,
-3.775603,,,,,,
0.699914,,,,,,
3.279849,,,,,,
-3.04541,,,,,,
-1.352429,,,,,,
-4.990515,,,,,,
8.820558,,,,,,
1.164216,,,,,,
5.743075,,,,,,
1.603717,,,,,,
5.557953,,,,,,
-1.496099,,,,,,
-0.676378,,,,,,
-4.768171,,,,,,
-1.121096,,,,,,
-0.322127,,,,,,
4.057232,,,,,,
-3.988914,,,,,,
4.523242,,,,,,
-0.723166,,,,,,
-0.674195,,,,,,
4.14477,,,,,,
-1.746892,,,,,,
2.462133,,,,,,
5.099116,,,,,,
0.808522,,,,,,
5.816035,,,,,,
6.100724,,,,,,
8.603777,,,,,,
-1.418119,,,,,,
-1.232138,,,,,,
2.994057,,,,,,
-4.017752,,,,,,
8.188576,,,,,,
3.000222,,,,,,
-0.284105,,,,,,
5.107687,,,,,,
-3.342859,,,,,,
5.362553,,,,,,
3.037708,,,,,,
1.217851,,,,,,
-4.310241,,,,,,
1.547088,,,,,,
-1.356138,,,,,,
3.945631,,,,,,
2.686232,,,,,,
0.186198,,,,,,
-1.057347,,,,,,
1.848073,,,,,,
-0.082242,,,,,,
4.589283,,,,,,
1.127987,,,,,,
2.240274,,,,,,
4.13519,,,,,,
-3.929407,,,,,,
2.852775,,,,,,
3.553802,,,,,,
-1.867392,,,,,,
2.852574,,,,,,
-1.797805,,,,,,
1.110854,,,,,,
0.999769,,,,,,
-10.958551,,,,,,
6.986471,,,,,,
-0.78052,,,,,,
-1.818892,,,,,,
1.180062,,,,,,
1.612627,,,,,,
3.002357,,,,,,
1.307717,,,,,,
160,,,,,,
