step,loss_function,target_value,elapsed_time
0,2.08596e+02,2.55775e+00,9
1,2.04038e+02,2.56275e+00,12
2,2.04012e+02,2.56739e+00,13
3,2.03988e+02,2.56706e+00,14
4,2.03966e+02,2.56584e+00,15
5,2.03943e+02,2.56311e+00,16
6,2.03921e+02,2.56162e+00,17
7,2.03901e+02,2.55964e+00,18
8,2.03877e+02,2.55791e+00,19
9,2.03852e+02,2.55538e+00,20
10,2.03824e+02,2.55211e+00,21
11,2.03798e+02,2.54923e+00,22
12,2.03772e+02,2.54789e+00,23
13,2.03746e+02,2.54730e+00,24
14,2.03717e+02,2.54742e+00,25
15,2.03691e+02,2.54698e+00,26
16,2.03665e+02,2.54727e+00,27
17,2.03641e+02,2.54735e+00,28
18,2.03620e+02,2.54660e+00,29
19,2.03597e+02,2.54640e+00,29
20,2.03575e+02,2.54564e+00,30
21,2.03552e+02,2.54451e+00,31
22,2.03528e+02,2.54329e+00,32
23,2.03504e+02,2.54155e+00,33
24,2.03481e+02,2.53976e+00,34
25,2.03457e+02,2.53843e+00,35
26,2.03433e+02,2.53760e+00,36
27,2.03408e+02,2.53674e+00,37
28,2.03384e+02,2.53575e+00,38
29,2.03361e+02,2.53509e+00,39
30,2.03338e+02,2.53445e+00,40
31,2.03315e+02,2.53359e+00,41
32,2.03294e+02,2.53272e+00,42
33,2.03271e+02,2.53144e+00,43
34,2.03247e+02,2.52967e+00,44
35,2.03224e+02,2.52778e+00,45
36,2.03200e+02,2.52541e+00,46
37,2.03177e+02,2.52444e+00,47
38,2.03152e+02,2.52350e+00,48
39,2.03129e+02,2.52161e+00,48
40,2.03105e+02,2.52091e+00,49
41,2.03085e+02,2.52030e+00,50
42,2.03066e+02,2.51994e+00,51
43,2.03048e+02,2.51971e+00,52
44,2.03026e+02,2.51936e+00,53
45,2.03004e+02,2.51955e+00,54
46,2.02979e+02,2.51932e+00,55
47,2.02953e+02,2.51978e+00,56
48,2.02925e+02,2.52070e+00,57
49,2.02901e+02,2.52094e+00,58
50,2.02876e+02,2.52088e+00,59
51,2.02853e+02,2.52052e+00,60
52,2.02830e+02,2.51964e+00,61
53,2.02811e+02,2.51881e+00,62
54,2.02790e+02,2.51819e+00,63
55,2.02766e+02,2.51751e+00,64
56,2.02744e+02,2.51643e+00,65
57,2.02723e+02,2.51521e+00,65
58,2.02703e+02,2.51409e+00,66
59,2.02682e+02,2.51283e+00,67
60,2.02659e+02,2.51126e+00,68
61,2.02637e+02,2.51010e+00,69
62,2.02615e+02,2.50904e+00,70
63,2.02591e+02,2.50756e+00,71
64,2.02570e+02,2.50657e+00,72
65,2.02547e+02,2.50512e+00,73
66,2.02524e+02,2.50366e+00,74
67,2.02501e+02,2.50222e+00,75
68,2.02478e+02,2.50019e+00,76
69,2.02455e+02,2.49902e+00,77
70,2.02434e+02,2.49814e+00,78
71,2.02412e+02,2.49657e+00,79
72,2.02391e+02,2.49567e+00,80
