step,loss_function,target_value,elapsed_time
0,6.35803e+01,2.23950e+00,70
1,2.72652e+01,2.24450e+00,110
2,2.72555e+01,2.24927e+00,115
3,2.72505e+01,2.25393e+00,120
4,2.72454e+01,2.25870e+00,125
5,2.72405e+01,2.26356e+00,131
6,2.72374e+01,2.26802e+00,136
7,2.72338e+01,2.27237e+00,141
8,2.72321e+01,2.27679e+00,146
9,2.72280e+01,2.28116e+00,151
10,2.72221e+01,2.28563e+00,156
11,2.72158e+01,2.29019e+00,162
12,2.72099e+01,2.29487e+00,167
13,2.72052e+01,2.29948e+00,172
14,2.72023e+01,2.30416e+00,177
15,2.71975e+01,2.30861e+00,182
16,2.71917e+01,2.31303e+00,188
17,2.71847e+01,2.31743e+00,193
18,2.71782e+01,2.32191e+00,198
19,2.71722e+01,2.32646e+00,203
20,2.71665e+01,2.33101e+00,208
21,2.71615e+01,2.33561e+00,213
22,2.71570e+01,2.34001e+00,219
23,2.71528e+01,2.34453e+00,224
24,2.71490e+01,2.34919e+00,229
25,2.71443e+01,2.35394e+00,234
26,2.71390e+01,2.35870e+00,239
27,2.71326e+01,2.36356e+00,244
28,2.71269e+01,2.36859e+00,250
29,2.71216e+01,2.37349e+00,254
30,2.71166e+01,2.37825e+00,260
31,2.71122e+01,2.38318e+00,265
32,2.71080e+01,2.38787e+00,270
33,2.71038e+01,2.39262e+00,275
34,2.70992e+01,2.39727e+00,280
35,2.70950e+01,2.40166e+00,285
36,2.70913e+01,2.40610e+00,291
37,2.70874e+01,2.41004e+00,296
38,2.70841e+01,2.41393e+00,301
39,2.70809e+01,2.41742e+00,306
40,2.70788e+01,2.42076e+00,311
41,2.70775e+01,2.42381e+00,316
42,2.70766e+01,2.42660e+00,322
43,2.70763e+01,2.42946e+00,327
44,2.70757e+01,2.43229e+00,332
45,2.70767e+01,2.43486e+00,337
46,2.70788e+01,2.43737e+00,342
47,2.70787e+01,2.43982e+00,347
48,2.70777e+01,2.44204e+00,352
49,2.70770e+01,2.44437e+00,357
50,2.70758e+01,2.44663e+00,362
51,2.70744e+01,2.44890e+00,368
52,2.70721e+01,2.45053e+00,373
53,2.70694e+01,2.45231e+00,378
54,2.70675e+01,2.45363e+00,383
55,2.70667e+01,2.45519e+00,388
56,2.70658e+01,2.45668e+00,394
57,2.70650e+01,2.45804e+00,399
58,2.70637e+01,2.45960e+00,404
59,2.70627e+01,2.46140e+00,409
60,2.70615e+01,2.46284e+00,414
61,2.70629e+01,2.46390e+00,419
62,2.70645e+01,2.46512e+00,423
63,2.70663e+01,2.46624e+00,428
64,2.70652e+01,2.46740e+00,433
65,2.70662e+01,2.46873e+00,437
66,2.70686e+01,2.46980e+00,442
67,2.70738e+01,2.47107e+00,447
68,2.70779e+01,2.47233e+00,451
69,2.70798e+01,2.47373e+00,456
70,2.70806e+01,2.47523e+00,461
71,2.70785e+01,2.47668e+00,466
72,2.70752e+01,2.47809e+00,471
73,2.70734e+01,2.47945e+00,475
74,2.70719e+01,2.48065e+00,480
75,2.70672e+01,2.48173e+00,485
76,2.70586e+01,2.48289e+00,490
77,2.70522e+01,2.48335e+00,494
78,2.70463e+01,2.48354e+00,498
79,2.70398e+01,2.48355e+00,503
80,2.70321e+01,2.48379e+00,508
81,2.70277e+01,2.48356e+00,512
82,2.70260e+01,2.48334e+00,517
83,2.70261e+01,2.48350e+00,522
84,2.70274e+01,2.48399e+00,527
85,2.70284e+01,2.48423e+00,531
86,2.70328e+01,2.48425e+00,536
87,2.70357e+01,2.48455e+00,541
88,2.70407e+01,2.48494e+00,545
89,2.70425e+01,2.48503e+00,550
90,2.70438e+01,2.48511e+00,555
91,2.70465e+01,2.48528e+00,560
92,2.70490e+01,2.48571e+00,565
93,2.70566e+01,2.48630e+00,570
94,2.70661e+01,2.48690e+00,574
95,2.70770e+01,2.48747e+00,578
96,2.70854e+01,2.48820e+00,583
97,2.70913e+01,2.48849e+00,588
98,2.70962e+01,2.48898e+00,592
99,2.70933e+01,2.48956e+00,597
100,2.70878e+01,2.49018e+00,601
101,2.70845e+01,2.49079e+00,606
102,2.70746e+01,2.49116e+00,610
103,2.70618e+01,2.49134e+00,615
104,2.70577e+01,2.49169e+00,619
105,2.70556e+01,2.49171e+00,624
106,2.70550e+01,2.49157e+00,628
107,2.70530e+01,2.49160e+00,633
108,2.70523e+01,2.49143e+00,637
109,2.70501e+01,2.49097e+00,642
110,2.70474e+01,2.49015e+00,647
111,2.70490e+01,2.48927e+00,651
112,2.70499e+01,2.48883e+00,656
113,2.70569e+01,2.48824e+00,661
114,2.70626e+01,2.48789e+00,666
115,2.70667e+01,2.48745e+00,671
116,2.70765e+01,2.48691e+00,676
117,2.70900e+01,2.48617e+00,680
118,2.71043e+01,2.48563e+00,685
119,2.71139e+01,2.48507e+00,689
120,2.71213e+01,2.48497e+00,694
121,2.71272e+01,2.48507e+00,699
122,2.71301e+01,2.48474e+00,703
123,2.71382e+01,2.48490e+00,708
124,2.71452e+01,2.48503e+00,713
125,2.71414e+01,2.48598e+00,717
126,2.71370e+01,2.48669e+00,722
127,2.71330e+01,2.48741e+00,726
128,2.71295e+01,2.48844e+00,731
129,2.71269e+01,2.48892e+00,736
130,2.71247e+01,2.48948e+00,741
131,2.71318e+01,2.48972e+00,746
132,2.71349e+01,2.49023e+00,751
133,2.71381e+01,2.49077e+00,756
134,2.71345e+01,2.49106e+00,761
135,2.71301e+01,2.49133e+00,765
136,2.71236e+01,2.49213e+00,770
137,2.71197e+01,2.49246e+00,774
138,2.71128e+01,2.49309e+00,779
139,2.70994e+01,2.49354e+00,784
140,2.70858e+01,2.49398e+00,789
141,2.70687e+01,2.49445e+00,794
142,2.70558e+01,2.49427e+00,799
143,2.70398e+01,2.49348e+00,804
144,2.70219e+01,2.49278e+00,809
145,2.70026e+01,2.49243e+00,813
146,2.69826e+01,2.49266e+00,817
