step,loss_function,target_value,elapsed_time
0,7.83686e+01,2.44029e+00,77
1,2.61622e+01,2.44529e+00,121
2,2.61627e+01,2.44936e+00,126
3,2.61620e+01,2.45045e+00,132
4,2.61601e+01,2.45186e+00,138
5,2.61579e+01,2.45265e+00,144
6,2.61561e+01,2.45346e+00,149
7,2.61539e+01,2.45541e+00,155
8,2.61512e+01,2.45603e+00,161
9,2.61479e+01,2.45516e+00,167
10,2.61453e+01,2.45429e+00,173
11,2.61421e+01,2.45442e+00,179
12,2.61396e+01,2.45399e+00,185
13,2.61374e+01,2.45474e+00,190
14,2.61355e+01,2.45599e+00,196
15,2.61341e+01,2.45685e+00,202
16,2.61323e+01,2.45727e+00,208
17,2.61299e+01,2.45810e+00,214
18,2.61283e+01,2.45892e+00,220
19,2.61262e+01,2.45944e+00,226
20,2.61243e+01,2.45994e+00,231
21,2.61211e+01,2.46092e+00,235
22,2.61195e+01,2.46204e+00,240
23,2.61175e+01,2.46324e+00,245
24,2.61160e+01,2.46506e+00,250
25,2.61138e+01,2.46650e+00,255
26,2.61122e+01,2.46749e+00,261
27,2.61104e+01,2.46851e+00,265
28,2.61090e+01,2.46976e+00,271
29,2.61075e+01,2.47113e+00,275
30,2.61056e+01,2.47174e+00,280
31,2.61031e+01,2.47276e+00,284
32,2.61001e+01,2.47392e+00,289
33,2.60977e+01,2.47465e+00,293
34,2.60949e+01,2.47544e+00,298
35,2.60930e+01,2.47580e+00,303
36,2.60917e+01,2.47542e+00,307
37,2.60913e+01,2.47457e+00,312
38,2.60911e+01,2.47456e+00,317
39,2.60901e+01,2.47426e+00,321
40,2.60885e+01,2.47350e+00,326
41,2.60863e+01,2.47193e+00,331
42,2.60847e+01,2.46958e+00,335
43,2.60827e+01,2.46780e+00,340
44,2.60806e+01,2.46620e+00,344
45,2.60786e+01,2.46388e+00,349
46,2.60767e+01,2.46211e+00,353
47,2.60752e+01,2.46028e+00,358
48,2.60737e+01,2.45935e+00,363
49,2.60724e+01,2.45867e+00,367
50,2.60711e+01,2.45848e+00,372
51,2.60689e+01,2.45814e+00,377
52,2.60674e+01,2.45719e+00,381
53,2.60671e+01,2.45624e+00,386
54,2.60654e+01,2.45551e+00,391
55,2.60637e+01,2.45510e+00,395
56,2.60622e+01,2.45443e+00,400
57,2.60606e+01,2.45428e+00,404
58,2.60595e+01,2.45346e+00,409
59,2.60600e+01,2.45289e+00,414
60,2.60613e+01,2.45284e+00,418
61,2.60615e+01,2.45382e+00,423
62,2.60593e+01,2.45578e+00,427
63,2.60546e+01,2.45753e+00,433
64,2.60505e+01,2.46020e+00,438
65,2.60465e+01,2.46328e+00,442
66,2.60439e+01,2.46692e+00,447
67,2.60428e+01,2.47052e+00,452
68,2.60421e+01,2.47417e+00,456
69,2.60413e+01,2.47713e+00,461
70,2.60397e+01,2.48009e+00,465
71,2.60381e+01,2.48335e+00,470
72,2.60367e+01,2.48621e+00,474
73,2.60352e+01,2.48921e+00,479
74,2.60347e+01,2.49228e+00,484
75,2.60331e+01,2.49549e+00,488
76,2.60318e+01,2.49811e+00,493
77,2.60307e+01,2.50089e+00,497
78,2.60298e+01,2.50304e+00,502
79,2.60278e+01,2.50491e+00,507
80,2.60255e+01,2.50670e+00,511
81,2.60229e+01,2.50753e+00,516
82,2.60188e+01,2.50713e+00,521
83,2.60151e+01,2.50636e+00,525
84,2.60116e+01,2.50517e+00,530
85,2.60085e+01,2.50383e+00,535
86,2.60066e+01,2.50226e+00,539
87,2.60045e+01,2.50018e+00,544
88,2.60031e+01,2.49785e+00,548
89,2.60014e+01,2.49612e+00,553
90,2.59987e+01,2.49453e+00,557
91,2.59949e+01,2.49244e+00,562
92,2.59915e+01,2.49083e+00,566
93,2.59883e+01,2.48961e+00,571
94,2.59864e+01,2.48726e+00,575
95,2.59839e+01,2.48522e+00,580
96,2.59818e+01,2.48377e+00,584
97,2.59793e+01,2.48271e+00,589
98,2.59767e+01,2.48179e+00,593
99,2.59735e+01,2.48134e+00,598
100,2.59711e+01,2.48064e+00,602
101,2.59689e+01,2.47983e+00,607
102,2.59676e+01,2.47939e+00,611
103,2.59658e+01,2.47848e+00,616
104,2.59636e+01,2.47777e+00,620
105,2.59606e+01,2.47753e+00,625
106,2.59588e+01,2.47676e+00,629
107,2.59572e+01,2.47639e+00,634
108,2.59547e+01,2.47657e+00,638
109,2.59522e+01,2.47667e+00,643
110,2.59497e+01,2.47711e+00,647
111,2.59475e+01,2.47852e+00,652
112,2.59459e+01,2.47954e+00,656
113,2.59437e+01,2.48017e+00,661
114,2.59415e+01,2.48063e+00,665
115,2.59402e+01,2.48082e+00,670
116,2.59388e+01,2.48205e+00,674
117,2.59384e+01,2.48313e+00,679
118,2.59378e+01,2.48509e+00,683
119,2.59380e+01,2.48670e+00,688
120,2.59382e+01,2.48817e+00,692
121,2.59379e+01,2.48899e+00,697
122,2.59367e+01,2.48857e+00,701
123,2.59357e+01,2.48845e+00,706
124,2.59348e+01,2.48803e+00,710
125,2.59337e+01,2.48800e+00,715
126,2.59322e+01,2.48724e+00,719
127,2.59314e+01,2.48581e+00,723
128,2.59311e+01,2.48389e+00,728
129,2.59309e+01,2.48291e+00,732
130,2.59296e+01,2.48254e+00,737
131,2.59288e+01,2.48184e+00,741
132,2.59280e+01,2.48109e+00,746
133,2.59271e+01,2.48008e+00,750
134,2.59269e+01,2.47848e+00,755
135,2.59276e+01,2.47768e+00,759
136,2.59269e+01,2.47678e+00,764
137,2.59255e+01,2.47584e+00,768
138,2.59240e+01,2.47498e+00,773
139,2.59220e+01,2.47469e+00,777
140,2.59200e+01,2.47452e+00,782
141,2.59171e+01,2.47411e+00,786
142,2.59144e+01,2.47382e+00,791
143,2.59121e+01,2.47407e+00,796
144,2.59098e+01,2.47519e+00,800
145,2.59077e+01,2.47550e+00,805
146,2.59047e+01,2.47536e+00,809
147,2.59026e+01,2.47517e+00,814
148,2.58990e+01,2.47563e+00,818
149,2.58935e+01,2.47581e+00,823
