PL,,Mean:,-0.742,,,
-6.500016,,STDEV:,7.265,,,
-2.202114,,,,,,
-3.43334,,Lower:,-30,,,
-0.546703,,Upper:,30,,,
-8.187834,,Num,60,,,
1.394422,,,,,,
8.307406,,-30,,Bin,Frequency,
2.275584,,-29,,-30,0,0
-7.687528,,-28,,-29,0,0
-11.650776,,-27,,-28,0,0
2.571015,,-26,,-27,0,0
12.243142,,-25,,-26,0,0
-7.259773,,-24,,-25,0,0
-8.484182,,-23,,-24,0,0
0.14118,,-22,,-23,0,0
0.456976,,-21,,-22,1,0.005
2.767368,,-20,,-21,1,0.005
-3.76938,,-19,,-20,0,0
-6.776769,,-18,,-19,0,0
-5.81681,,-17,,-18,0,0
8.700835,,-16,,-17,0,0
-3.052859,,-15,,-16,0,0
-4.414152,,-14,,-15,3,0.015
-5.563274,,-13,,-14,3,0.015
3.174189,,-12,,-13,1,0.005
3.046115,,-11,,-12,2,0.01
-0.869271,,-10,,-11,3,0.015
2.107889,,-9,,-10,6,0.03
-11.032555,,-8,,-9,4,0.02
-2.292699,,-7,,-8,6,0.03
-4.636523,,-6,,-7,6,0.03
1.4236,,-5,,-6,7,0.035
-1.66902,,-4,,-5,10,0.05
-0.39405,,-3,,-4,13,0.065
-6.154972,,-2,,-3,15,0.075
-10.070723,,-1,,-2,11,0.055
-10.700526,,0,,-1,7,0.035
-14.513831,,1,,0,9,0.045
12.173795,,2,,1,8,0.04
-9.500921,,3,,2,8,0.04
-3.40582,,4,,3,16,0.08
-6.402401,,5,,4,10,0.05
-3.841906,,6,,5,5,0.025
6.187119,,7,,6,8,0.04
1.089303,,8,,7,13,0.065
-4.868833,,9,,8,3,0.015
-7.209649,,10,,9,7,0.035
-4.721751,,11,,10,3,0.015
-9.447333,,12,,11,2,0.01
-2.72007,,13,,12,2,0.01
4.059654,,14,,13,4,0.02
-1.798314,,15,,14,0,0
12.33513,,16,,15,0,0
-5.220304,,17,,16,0,0
6.020078,,18,,17,0,0
0.025493,,19,,18,1,0.005
1.603574,,20,,19,0,0
6.883764,,21,,20,0,0
-21.638924,,22,,21,0,0
-4.028219,,23,,22,1,0.005
6.870985,,24,,23,0,0
7.148537,,25,,24,0,0
-8.954542,,26,,25,1,0.005
-3.2672,,27,,26,0,0
9.548528,,28,,27,0,0
17.997493,,29,,28,0,0
-2.641728,,30,,29,0,0
-4.749736,,,,30,0,0
4.490959,,,,More,0,200
-2.786773,,,,,,
6.753228,,,,,,
1.982094,,,,,,
3.691365,,,,,,
-8.649448,,,,,,
1.014989,,,,,,
-12.387039,,,,,,
0.503223,,,,,,
2.230091,,,,,,
-11.093674,,,,,,
6.046528,,,,,,
2.510281,,,,,,
24.958712,,,,,,
2.234663,,,,,,
2.261464,,,,,,
5.014398,,,,,,
3.199771,,,,,,
-2.040619,,,,,,
-14.306461,,,,,,
-3.021242,,,,,,
-5.390142,,,,,,
-0.365776,,,,,,
2.768724,,,,,,
2.988148,,,,,,
4.979435,,,,,,
6.2829,,,,,,
8.210877,,,,,,
-6.792999,,,,,,
0.926333,,,,,,
-6.526196,,,,,,
8.672837,,,,,,
8.955087,,,,,,
-7.969391,,,,,,
7.95533,,,,,,
-9.685639,,,,,,
1.169345,,,,,,
-1.51451,,,,,,
-3.424335,,,,,,
-10.868802,,,,,,
0.092104,,,,,,
5.435697,,,,,,
3.046036,,,,,,
-5.098142,,,,,,
-3.392843,,,,,,
-7.04458,,,,,,
11.027354,,,,,,
-5.031715,,,,,,
1.173671,,,,,,
-3.485599,,,,,,
-1.125463,,,,,,
-4.462624,,,,,,
3.61163,,,,,,
-15.296213,,,,,,
-3.720353,,,,,,
-13.058357,,,,,,
-2.646023,,,,,,
-2.585319,,,,,,
-3.880385,,,,,,
-4.867147,,,,,,
-0.403093,,,,,,
-9.403937,,,,,,
6.522558,,,,,,
-2.06528,,,,,,
-1.144398,,,,,,
3.033054,,,,,,
-1.501855,,,,,,
-0.384324,,,,,,
-12.184954,,,,,,
8.120494,,,,,,
-5.356388,,,,,,
11.437213,,,,,,
-4.493601,,,,,,
-3.226255,,,,,,
2.919903,,,,,,
-15.498167,,,,,,
-14.549007,,,,,,
-8.687433,,,,,,
6.026323,,,,,,
-4.050944,,,,,,
-15.373534,,,,,,
-10.193852,,,,,,
-6.319933,,,,,,
10.478767,,,,,,
9.226029,,,,,,
10.279569,,,,,,
21.313248,,,,,,
-5.542917,,,,,,
3.858871,,,,,,
0.561837,,,,,,
5.272488,,,,,,
12.221176,,,,,,
3.864883,,,,,,
5.649922,,,,,,
-22.173538,,,,,,
6.446187,,,,,,
6.537632,,,,,,
5.516869,,,,,,
5.979691,,,,,,
6.422267,,,,,,
-1.184144,,,,,,
0.059128,,,,,,
4.429044,,,,,,
-8.640747,,,,,,
-7.292303,,,,,,
-3.438193,,,,,,
-4.523022,,,,,,
9.844237,,,,,,
-10.759228,,,,,,
-2.035452,,,,,,
-5.781805,,,,,,
-2.909256,,,,,,
2.425158,,,,,,
-10.323283,,,,,,
2.929871,,,,,,
2.855418,,,,,,
7.959044,,,,,,
2.695886,,,,,,
3.383482,,,,,,
-4.701252,,,,,,
-3.807742,,,,,,
-0.617531,,,,,,
5.433277,,,,,,
5.065291,,,,,,
4.296562,,,,,,
-4.391432,,,,,,
-5.084144,,,,,,
-0.284227,,,,,,
-0.953966,,,,,,
8.732651,,,,,,
2.127936,,,,,,
6.861452,,,,,,
20,,,,,,
