PL,,Mean:,0.369,,,
-2.863833,,STDEV:,4.355,,,
2.998249,,,,,,
1.407578,,Lower:,-30,,,
-3.010474,,Upper:,30,,,
0.497363,,Num,60,,,
-0.766432,,,,,,
3.056958,,-30,,Bin,Frequency,
-8.779433,,-29,,-30,0,0
-1.413052,,-28,,-29,0,0
3.097825,,-27,,-28,0,0
-2.763694,,-26,,-27,0,0
-6.985412,,-25,,-26,0,0
-6.483141,,-24,,-25,0,0
-8.218878,,-23,,-24,0,0
-4.177073,,-22,,-23,0,0
-8.090065,,-21,,-22,0,0
-9.221537,,-20,,-21,0,0
8.875511,,-19,,-20,0,0
-2.00478,,-18,,-19,0,0
2.02255,,-17,,-18,0,0
5.39152,,-16,,-17,0,0
3.105251,,-15,,-16,0,0
-7.927925,,-14,,-15,0,0
7.650344,,-13,,-14,0,0
-0.660179,,-12,,-13,1,0.005
5.858785,,-11,,-12,0,0
0.209748,,-10,,-11,0,0
-1.221535,,-9,,-10,0,0
2.327613,,-8,,-9,1,0.005
5.278344,,-7,,-8,4,0.02
-2.336677,,-6,,-7,6,0.03
4.046321,,-5,,-6,7,0.035
0.328363,,-4,,-5,6,0.03
-3.260046,,-3,,-4,6,0.03
1.972731,,-2,,-3,13,0.065
5.704623,,-1,,-2,10,0.05
-5.045387,,0,,-1,16,0.08
-0.784251,,1,,0,16,0.08
0.473386,,2,,1,24,0.12
5.416142,,3,,2,17,0.085
-7.046713,,4,,3,20,0.1
-3.011478,,5,,4,13,0.065
0.706716,,6,,5,11,0.055
0.729913,,7,,6,14,0.07
3.798291,,8,,7,3,0.015
-1.401306,,9,,8,5,0.025
2.402982,,10,,9,3,0.015
-7.399055,,11,,10,2,0.01
-0.312223,,12,,11,1,0.005
7.214474,,13,,12,0,0
0.112936,,14,,13,1,0.005
1.408756,,15,,14,0,0
0.264142,,16,,15,0,0
-2.538821,,17,,16,0,0
-1.78845,,18,,17,0,0
1.207929,,19,,18,0,0
-6.976802,,20,,19,0,0
-2.656303,,21,,20,0,0
5.011359,,22,,21,0,0
0.219777,,23,,22,0,0
5.025316,,24,,23,0,0
3.760805,,25,,24,0,0
1.135301,,26,,25,0,0
1.341935,,27,,26,0,0
-3.111076,,28,,27,0,0
4.869798,,29,,28,0,0
0.962858,,30,,29,0,0
12.023483,,,,30,0,0
6.142782,,,,More,0,200
-2.540441,,,,,,
1.968696,,,,,,
7.256115,,,,,,
5.877061,,,,,,
3.417057,,,,,,
-5.507764,,,,,,
0.994606,,,,,,
-4.079981,,,,,,
-5.116181,,,,,,
1.776549,,,,,,
0.442449,,,,,,
-1.880413,,,,,,
4.293301,,,,,,
-4.431497,,,,,,
-6.607297,,,,,,
0.85238,,,,,,
-3.730682,,,,,,
2.932649,,,,,,
3.247908,,,,,,
-1.346438,,,,,,
2.109751,,,,,,
-4.957605,,,,,,
8.153161,,,,,,
5.818724,,,,,,
-6.236987,,,,,,
-3.67907,,,,,,
-0.198489,,,,,,
5.94462,,,,,,
3.666293,,,,,,
1.379487,,,,,,
7.850283,,,,,,
-0.798789,,,,,,
-0.253102,,,,,,
2.696774,,,,,,
5.173603,,,,,,
-4.765131,,,,,,
0.640355,,,,,,
2.683485,,,,,,
-6.913087,,,,,,
0.224021,,,,,,
-0.510873,,,,,,
-5.139218,,,,,,
0.314519,,,,,,
4.598813,,,,,,
6.482943,,,,,,
3.69169,,,,,,
-13.177294,,,,,,
1.294036,,,,,,
-1.741878,,,,,,
-1.963951,,,,,,
0.146221,,,,,,
2.434656,,,,,,
-3.986018,,,,,,
-0.159887,,,,,,
1.673055,,,,,,
9.870999,,,,,,
5.230249,,,,,,
2.82879,,,,,,
-7.253333,,,,,,
3.367691,,,,,,
-1.050317,,,,,,
3.850652,,,,,,
1.416368,,,,,,
-3.66337,,,,,,
2.444065,,,,,,
-1.179259,,,,,,
0.714575,,,,,,
-3.064146,,,,,,
5.418404,,,,,,
2.180825,,,,,,
-2.141553,,,,,,
-0.293352,,,,,,
4.559628,,,,,,
-1.036281,,,,,,
-8.919008,,,,,,
-1.757544,,,,,,
-7.719623,,,,,,
-4.987026,,,,,,
2.534182,,,,,,
1.433875,,,,,,
4.372967,,,,,,
6.441837,,,,,,
7.716055,,,,,,
2.926074,,,,,,
3.640589,,,,,,
0.868177,,,,,,
5.103229,,,,,,
-1.189745,,,,,,
-1.92651,,,,,,
0.590852,,,,,,
-3.504666,,,,,,
-7.626153,,,,,,
-5.911531,,,,,,
1.540224,,,,,,
3.227205,,,,,,
10.428642,,,,,,
-0.994057,,,,,,
-2.340345,,,,,,
-0.659222,,,,,,
0.796623,,,,,,
-1.522913,,,,,,
-0.025023,,,,,,
-3.949241,,,,,,
2.515549,,,,,,
4.980155,,,,,,
1.326461,,,,,,
-3.55251,,,,,,
-0.363559,,,,,,
4.167374,,,,,,
1.322611,,,,,,
-1.376354,,,,,,
2.884953,,,,,,
-5.972291,,,,,,
-0.851317,,,,,,
4.205773,,,,,,
-2.12807,,,,,,
2.681769,,,,,,
2.756463,,,,,,
0.32051,,,,,,
0.730077,,,,,,
2.639443,,,,,,
4.460791,,,,,,
-3.438243,,,,,,
8.535494,,,,,,
0.830144,,,,,,
1.289907,,,,,,
-0.615193,,,,,,
9.420017,,,,,,
-6.776031,,,,,,
4.396768,,,,,,
2.583172,,,,,,
80,,,,,,
