step,loss_function,target_value,elapsed_time
0,2.82957e+02,2.51203e+00,8
1,2.59435e+02,2.51703e+00,11
2,2.59398e+02,2.52133e+00,12
3,2.59365e+02,2.51941e+00,12
4,2.59335e+02,2.51650e+00,13
5,2.59307e+02,2.51563e+00,14
6,2.59273e+02,2.51332e+00,15
7,2.59244e+02,2.51114e+00,16
8,2.59213e+02,2.50961e+00,17
9,2.59176e+02,2.50962e+00,18
10,2.59139e+02,2.50933e+00,19
11,2.59104e+02,2.50862e+00,19
12,2.59073e+02,2.50772e+00,20
13,2.59046e+02,2.50620e+00,21
14,2.59020e+02,2.50465e+00,22
15,2.58989e+02,2.50394e+00,23
16,2.58961e+02,2.50379e+00,24
17,2.58932e+02,2.50404e+00,25
18,2.58904e+02,2.50452e+00,26
19,2.58875e+02,2.50561e+00,26
20,2.58843e+02,2.50632e+00,27
21,2.58808e+02,2.50718e+00,28
22,2.58770e+02,2.50840e+00,29
23,2.58734e+02,2.50961e+00,30
24,2.58707e+02,2.51052e+00,31
25,2.58688e+02,2.51032e+00,32
26,2.58674e+02,2.51070e+00,33
27,2.58660e+02,2.51181e+00,33
28,2.58636e+02,2.51314e+00,34
29,2.58617e+02,2.51496e+00,35
30,2.58602e+02,2.51632e+00,36
31,2.58580e+02,2.51664e+00,37
32,2.58561e+02,2.51744e+00,38
33,2.58538e+02,2.51800e+00,39
34,2.58515e+02,2.51823e+00,40
35,2.58494e+02,2.51850e+00,40
36,2.58474e+02,2.51932e+00,41
37,2.58454e+02,2.52069e+00,42
38,2.58434e+02,2.52171e+00,43
39,2.58408e+02,2.52257e+00,44
40,2.58385e+02,2.52386e+00,45
41,2.58361e+02,2.52512e+00,46
42,2.58335e+02,2.52634e+00,47
43,2.58308e+02,2.52678e+00,47
44,2.58276e+02,2.52770e+00,48
45,2.58249e+02,2.52760e+00,49
46,2.58225e+02,2.52777e+00,50
47,2.58199e+02,2.52871e+00,51
48,2.58170e+02,2.52879e+00,52
49,2.58138e+02,2.52922e+00,53
50,2.58109e+02,2.52966e+00,54
51,2.58077e+02,2.52987e+00,54
52,2.58043e+02,2.52962e+00,55
53,2.58009e+02,2.52965e+00,56
54,2.57969e+02,2.53042e+00,57
55,2.57930e+02,2.53106e+00,58
56,2.57893e+02,2.53238e+00,59
57,2.57858e+02,2.53490e+00,60
58,2.57823e+02,2.53686e+00,61
59,2.57786e+02,2.53748e+00,62
60,2.57753e+02,2.53829e+00,62
61,2.57723e+02,2.53974e+00,63
62,2.57693e+02,2.54057e+00,64
63,2.57663e+02,2.54038e+00,65
64,2.57634e+02,2.53955e+00,66
65,2.57604e+02,2.53872e+00,67
66,2.57575e+02,2.53703e+00,68
67,2.57547e+02,2.53570e+00,69
68,2.57521e+02,2.53431e+00,70
69,2.57499e+02,2.53342e+00,70
70,2.57477e+02,2.53262e+00,71
71,2.57453e+02,2.53221e+00,72
72,2.57425e+02,2.53167e+00,73
73,2.57397e+02,2.53163e+00,74
74,2.57370e+02,2.53137e+00,75
75,2.57339e+02,2.53106e+00,76
76,2.57308e+02,2.53121e+00,77
77,2.57276e+02,2.53170e+00,78
78,2.57245e+02,2.53323e+00,78
79,2.57215e+02,2.53493e+00,79
80,2.57179e+02,2.53654e+00,80
81,2.57146e+02,2.53804e+00,81
82,2.57112e+02,2.53969e+00,82
83,2.57080e+02,2.54193e+00,83
84,2.57049e+02,2.54456e+00,84
85,2.57017e+02,2.54670e+00,85
86,2.56983e+02,2.54877e+00,85
87,2.56953e+02,2.55093e+00,86
88,2.56924e+02,2.55289e+00,87
89,2.56894e+02,2.55445e+00,88
