step,loss_function,target_value,elapsed_time
0,1.06345e+02,2.47701e+00,172
1,2.55283e+01,2.47201e+00,293
2,2.55301e+01,2.46882e+00,310
3,2.55283e+01,2.46525e+00,328
4,2.55298e+01,2.46135e+00,346
5,2.55321e+01,2.45708e+00,366
6,2.55300e+01,2.45258e+00,384
7,2.55291e+01,2.44791e+00,403
8,2.55292e+01,2.44434e+00,421
9,2.55318e+01,2.44113e+00,440
10,2.55328e+01,2.43927e+00,455
11,2.55344e+01,2.43986e+00,471
12,2.55372e+01,2.43988e+00,488
13,2.55395e+01,2.44020e+00,504
14,2.55407e+01,2.44175e+00,519
15,2.55425e+01,2.44305e+00,536
16,2.55436e+01,2.44357e+00,552
17,2.55431e+01,2.44365e+00,570
18,2.55437e+01,2.44424e+00,586
19,2.55446e+01,2.44585e+00,601
20,2.55433e+01,2.44750e+00,618
21,2.55433e+01,2.44922e+00,637
22,2.55402e+01,2.45176e+00,652
23,2.55385e+01,2.45438e+00,668
24,2.55372e+01,2.45740e+00,685
25,2.55360e+01,2.46092e+00,700
26,2.55346e+01,2.46444e+00,719
27,2.55330e+01,2.46747e+00,734
28,2.55292e+01,2.47085e+00,753
29,2.55258e+01,2.47376e+00,768
30,2.55222e+01,2.47647e+00,787
31,2.55183e+01,2.47884e+00,802
32,2.55127e+01,2.48156e+00,820
33,2.55079e+01,2.48317e+00,836
34,2.55023e+01,2.48468e+00,854
35,2.54972e+01,2.48619e+00,870
36,2.54906e+01,2.48725e+00,888
37,2.54854e+01,2.48800e+00,903
38,2.54820e+01,2.48907e+00,922
39,2.54768e+01,2.49000e+00,937
40,2.54729e+01,2.49199e+00,955
41,2.54706e+01,2.49307e+00,970
42,2.54692e+01,2.49342e+00,989
43,2.54675e+01,2.49364e+00,1004
44,2.54664e+01,2.49350e+00,1022
45,2.54655e+01,2.49319e+00,1038
46,2.54644e+01,2.49325e+00,1056
47,2.54633e+01,2.49298e+00,1071
48,2.54625e+01,2.49255e+00,1089
49,2.54617e+01,2.49147e+00,1105
50,2.54617e+01,2.49101e+00,1123
51,2.54613e+01,2.49001e+00,1139
52,2.54605e+01,2.48893e+00,1157
53,2.54608e+01,2.48735e+00,1173
54,2.54612e+01,2.48531e+00,1191
55,2.54602e+01,2.48343e+00,1207
56,2.54598e+01,2.48090e+00,1225
57,2.54600e+01,2.47841e+00,1241
58,2.54609e+01,2.47720e+00,1259
59,2.54621e+01,2.47601e+00,1274
60,2.54626e+01,2.47408e+00,1292
61,2.54631e+01,2.47223e+00,1308
62,2.54630e+01,2.47046e+00,1326
63,2.54622e+01,2.46846e+00,1341
64,2.54615e+01,2.46647e+00,1359
65,2.54605e+01,2.46487e+00,1374
66,2.54603e+01,2.46362e+00,1393
67,2.54602e+01,2.46299e+00,1408
68,2.54586e+01,2.46220e+00,1426
69,2.54571e+01,2.46237e+00,1441
70,2.54558e+01,2.46254e+00,1460
71,2.54547e+01,2.46229e+00,1475
72,2.54528e+01,2.46271e+00,1493
73,2.54501e+01,2.46460e+00,1508
74,2.54459e+01,2.46697e+00,1526
75,2.54425e+01,2.46904e+00,1541
76,2.54395e+01,2.47184e+00,1560
77,2.54367e+01,2.47505e+00,1575
78,2.54349e+01,2.47828e+00,1590
79,2.54327e+01,2.48065e+00,1607
80,2.54310e+01,2.48240e+00,1625
81,2.54300e+01,2.48340e+00,1640
82,2.54305e+01,2.48451e+00,1656
83,2.54305e+01,2.48524e+00,1673
84,2.54295e+01,2.48524e+00,1691
85,2.54288e+01,2.48537e+00,1706
86,2.54277e+01,2.48607e+00,1725
87,2.54262e+01,2.48730e+00,1740
88,2.54246e+01,2.48827e+00,1758
89,2.54231e+01,2.48834e+00,1773
90,2.54232e+01,2.48760e+00,1791
91,2.54227e+01,2.48709e+00,1806
92,2.54230e+01,2.48624e+00,1824
93,2.54223e+01,2.48540e+00,1839
94,2.54199e+01,2.48486e+00,1858
95,2.54174e+01,2.48431e+00,1873
96,2.54146e+01,2.48404e+00,1891
97,2.54119e+01,2.48377e+00,1905
