step,loss_function,target_value,elapsed_time
0,1.12064e+02,2.40438e+00,163
1,2.59882e+01,2.40938e+00,285
2,2.59928e+01,2.41438e+00,305
3,2.59957e+01,2.41910e+00,326
4,2.59981e+01,2.42391e+00,347
5,2.59976e+01,2.42881e+00,367
6,2.59934e+01,2.43373e+00,388
7,2.59901e+01,2.43855e+00,409
8,2.59895e+01,2.44303e+00,430
9,2.59899e+01,2.44754e+00,451
10,2.59883e+01,2.45179e+00,471
11,2.59862e+01,2.45448e+00,492
12,2.59835e+01,2.45720e+00,513
13,2.59805e+01,2.45854e+00,534
14,2.59783e+01,2.46003e+00,555
15,2.59748e+01,2.46159e+00,576
16,2.59719e+01,2.46388e+00,597
17,2.59715e+01,2.46509e+00,618
18,2.59714e+01,2.46639e+00,638
19,2.59704e+01,2.46752e+00,659
20,2.59688e+01,2.46850e+00,680
21,2.59684e+01,2.46911e+00,701
22,2.59667e+01,2.47042e+00,722
23,2.59645e+01,2.47128e+00,743
24,2.59626e+01,2.47130e+00,764
25,2.59606e+01,2.47140e+00,784
26,2.59592e+01,2.47137e+00,805
27,2.59576e+01,2.47153e+00,826
28,2.59562e+01,2.47159e+00,847
29,2.59548e+01,2.47148e+00,868
30,2.59535e+01,2.47188e+00,889
31,2.59524e+01,2.47229e+00,909
32,2.59504e+01,2.47322e+00,930
33,2.59486e+01,2.47472e+00,950
34,2.59458e+01,2.47649e+00,971
35,2.59405e+01,2.47867e+00,992
36,2.59349e+01,2.48075e+00,1013
37,2.59307e+01,2.48301e+00,1034
38,2.59285e+01,2.48474e+00,1054
39,2.59269e+01,2.48614e+00,1075
40,2.59264e+01,2.48772e+00,1096
41,2.59262e+01,2.48953e+00,1117
42,2.59269e+01,2.49094e+00,1137
43,2.59281e+01,2.49136e+00,1158
44,2.59298e+01,2.49174e+00,1179
45,2.59297e+01,2.49274e+00,1199
46,2.59304e+01,2.49313e+00,1220
47,2.59308e+01,2.49406e+00,1241
48,2.59314e+01,2.49495e+00,1262
49,2.59315e+01,2.49570e+00,1282
50,2.59306e+01,2.49522e+00,1303
51,2.59293e+01,2.49508e+00,1323
52,2.59271e+01,2.49511e+00,1344
53,2.59249e+01,2.49495e+00,1365
54,2.59219e+01,2.49434e+00,1386
55,2.59187e+01,2.49490e+00,1407
56,2.59164e+01,2.49516e+00,1427
57,2.59143e+01,2.49507e+00,1447
58,2.59112e+01,2.49521e+00,1468
59,2.59085e+01,2.49542e+00,1488
60,2.59058e+01,2.49587e+00,1509
61,2.59032e+01,2.49619e+00,1529
62,2.59003e+01,2.49690e+00,1550
63,2.58983e+01,2.49796e+00,1570
64,2.58962e+01,2.49902e+00,1591
65,2.58943e+01,2.50010e+00,1611
66,2.58928e+01,2.50051e+00,1632
67,2.58916e+01,2.50119e+00,1653
68,2.58906e+01,2.50190e+00,1674
69,2.58903e+01,2.50314e+00,1695
70,2.58902e+01,2.50400e+00,1715
71,2.58905e+01,2.50487e+00,1736
72,2.58913e+01,2.50523e+00,1756
73,2.58923e+01,2.50547e+00,1777
74,2.58923e+01,2.50516e+00,1798
75,2.58928e+01,2.50462e+00,1818
76,2.58928e+01,2.50348e+00,1839
77,2.58924e+01,2.50169e+00,1859
78,2.58913e+01,2.49949e+00,1880
79,2.58902e+01,2.49732e+00,1900
80,2.58890e+01,2.49534e+00,1921
81,2.58886e+01,2.49342e+00,1942
82,2.58864e+01,2.49141e+00,1962
83,2.58846e+01,2.48934e+00,1983
84,2.58838e+01,2.48674e+00,2003
85,2.58835e+01,2.48409e+00,2024
86,2.58837e+01,2.48238e+00,2044
87,2.58833e+01,2.48072e+00,2065
88,2.58822e+01,2.47957e+00,2085
89,2.58819e+01,2.47822e+00,2106
90,2.58807e+01,2.47706e+00,2126
91,2.58800e+01,2.47620e+00,2147
92,2.58794e+01,2.47593e+00,2168
93,2.58786e+01,2.47585e+00,2188
94,2.58783e+01,2.47687e+00,2209
95,2.58768e+01,2.47691e+00,2229
96,2.58759e+01,2.47742e+00,2250
