step,loss_function,target_value,elapsed_time
0,1.05762e+02,2.25854e+00,32
1,9.09141e+00,2.25354e+00,48
2,9.16512e+00,2.24899e+00,48
3,9.26817e+00,2.24427e+00,48
4,9.16463e+00,2.23956e+00,48
5,9.01693e+00,2.23475e+00,48
6,8.97572e+00,2.23036e+00,48
7,8.95519e+00,2.22633e+00,48
8,8.94925e+00,2.22203e+00,49
9,8.95021e+00,2.21769e+00,49
10,8.94745e+00,2.21329e+00,49
11,8.94385e+00,2.20890e+00,49
12,8.94241e+00,2.20494e+00,49
13,8.94454e+00,2.20100e+00,49
14,8.94181e+00,2.19751e+00,49
15,8.93785e+00,2.19376e+00,49
16,8.93559e+00,2.19025e+00,50
17,8.93555e+00,2.18699e+00,50
18,8.93557e+00,2.18387e+00,50
19,8.93655e+00,2.18053e+00,50
20,8.93093e+00,2.17716e+00,50
21,8.92784e+00,2.17351e+00,50
22,8.92709e+00,2.17021e+00,50
23,8.92639e+00,2.16706e+00,50
24,8.92572e+00,2.16449e+00,51
25,8.92517e+00,2.16182e+00,51
26,8.92479e+00,2.15964e+00,51
27,8.92436e+00,2.15776e+00,51
28,8.92390e+00,2.15659e+00,51
29,8.92347e+00,2.15541e+00,51
30,8.92304e+00,2.15453e+00,51
31,8.92262e+00,2.15361e+00,52
32,8.92226e+00,2.15283e+00,52
33,8.92192e+00,2.15178e+00,52
34,8.92163e+00,2.15119e+00,52
35,8.92135e+00,2.15091e+00,52
36,8.92108e+00,2.15059e+00,52
37,8.92081e+00,2.15008e+00,52
38,8.92052e+00,2.14960e+00,52
39,8.92027e+00,2.14938e+00,53
40,8.92004e+00,2.14921e+00,53
41,8.91985e+00,2.14983e+00,53
42,8.91968e+00,2.15054e+00,53
43,8.91953e+00,2.15187e+00,53
44,8.91934e+00,2.15263e+00,53
45,8.91919e+00,2.15397e+00,53
46,8.91903e+00,2.15510e+00,53
47,8.91887e+00,2.15605e+00,54
48,8.91873e+00,2.15717e+00,54
49,8.91858e+00,2.15792e+00,54
50,8.91843e+00,2.15866e+00,54
51,8.91828e+00,2.15916e+00,54
52,8.91813e+00,2.15957e+00,54
53,8.91801e+00,2.16023e+00,54
54,8.91786e+00,2.16052e+00,55
55,8.91774e+00,2.16103e+00,55
56,8.91764e+00,2.16170e+00,55
57,8.91751e+00,2.16190e+00,55
58,8.91739e+00,2.16224e+00,55
59,8.91730e+00,2.16287e+00,55
60,8.91723e+00,2.16368e+00,55
61,8.91711e+00,2.16384e+00,55
62,8.91698e+00,2.16378e+00,56
63,8.91681e+00,2.16304e+00,56
64,8.91660e+00,2.16187e+00,56
65,8.91641e+00,2.16071e+00,56
66,8.91622e+00,2.15971e+00,56
67,8.91604e+00,2.15861e+00,56
68,8.91587e+00,2.15774e+00,56
69,8.91571e+00,2.15682e+00,56
70,8.91555e+00,2.15576e+00,57
71,8.91537e+00,2.15433e+00,57
72,8.91522e+00,2.15332e+00,57
73,8.91507e+00,2.15234e+00,57
74,8.91497e+00,2.15218e+00,57
75,8.91487e+00,2.15203e+00,57
76,8.91474e+00,2.15140e+00,57
77,8.91463e+00,2.15108e+00,58
78,8.91452e+00,2.15062e+00,58
79,8.91435e+00,2.14906e+00,58
80,8.91420e+00,2.14767e+00,58
81,8.91405e+00,2.14604e+00,58
82,8.91390e+00,2.14448e+00,58
83,8.91380e+00,2.14398e+00,58
84,8.91369e+00,2.14312e+00,58
85,8.91358e+00,2.14235e+00,59
86,8.91349e+00,2.14192e+00,59
