step,loss_function,target_value,elapsed_time
0,1.36923e+02,2.26907e+00,160
1,4.41888e+01,2.26407e+00,263
2,1.43548e+01,2.25915e+00,264
3,1.09161e+01,2.25423e+00,264
4,1.03871e+01,2.24942e+00,265
5,1.02764e+01,2.24494e+00,265
6,1.02235e+01,2.24029e+00,266
7,1.01603e+01,2.23551e+00,266
8,1.00876e+01,2.23108e+00,267
9,1.00188e+01,2.22649e+00,267
10,9.93719e+00,2.22175e+00,268
11,9.87345e+00,2.21692e+00,269
12,9.81478e+00,2.21225e+00,269
13,9.76463e+00,2.20746e+00,270
14,9.71730e+00,2.20269e+00,270
15,9.67841e+00,2.19809e+00,271
16,9.64166e+00,2.19360e+00,272
17,9.60962e+00,2.18960e+00,272
18,9.57828e+00,2.18572e+00,273
19,9.55242e+00,2.18200e+00,273
20,9.53258e+00,2.17887e+00,274
21,9.51322e+00,2.17579e+00,274
22,9.49891e+00,2.17354e+00,275
23,9.48567e+00,2.17107e+00,276
24,9.47386e+00,2.16854e+00,276
25,9.46472e+00,2.16610e+00,277
26,9.45662e+00,2.16360e+00,277
27,9.44955e+00,2.16109e+00,278
28,9.44278e+00,2.15928e+00,278
29,9.43614e+00,2.15758e+00,279
30,9.43078e+00,2.15653e+00,280
31,9.42604e+00,2.15558e+00,280
32,9.42193e+00,2.15511e+00,281
33,9.41824e+00,2.15509e+00,281
34,9.41470e+00,2.15429e+00,282
35,9.41120e+00,2.15356e+00,282
36,9.40800e+00,2.15291e+00,283
37,9.40517e+00,2.15244e+00,284
38,9.40273e+00,2.15160e+00,284
39,9.40078e+00,2.15040e+00,285
40,9.39906e+00,2.14973e+00,285
41,9.39757e+00,2.14970e+00,286
42,9.39630e+00,2.14985e+00,286
43,9.39521e+00,2.15022e+00,287
44,9.39424e+00,2.15058e+00,287
45,9.39344e+00,2.15047e+00,288
46,9.39274e+00,2.15038e+00,289
47,9.39206e+00,2.15033e+00,289
48,9.39139e+00,2.15036e+00,290
49,9.39083e+00,2.15057e+00,290
50,9.39029e+00,2.15060e+00,291
51,9.38974e+00,2.15008e+00,291
52,9.38926e+00,2.14969e+00,292
53,9.38880e+00,2.14990e+00,292
54,9.38840e+00,2.14998e+00,293
55,9.38807e+00,2.15026e+00,294
56,9.38777e+00,2.15019e+00,294
57,9.38742e+00,2.15050e+00,295
58,9.38712e+00,2.15029e+00,295
59,9.38685e+00,2.15026e+00,296
60,9.38660e+00,2.15048e+00,296
61,9.38641e+00,2.15023e+00,297
62,9.38623e+00,2.15012e+00,298
63,9.38609e+00,2.15013e+00,298
64,9.38596e+00,2.14997e+00,299
65,9.38586e+00,2.14930e+00,299
66,9.38578e+00,2.14857e+00,300
67,9.38577e+00,2.14712e+00,300
68,9.38577e+00,2.14574e+00,301
69,9.38579e+00,2.14433e+00,302
70,9.38581e+00,2.14290e+00,302
71,9.38581e+00,2.14185e+00,303
72,9.38585e+00,2.14033e+00,303
73,9.38584e+00,2.13954e+00,304
74,9.38582e+00,2.13877e+00,304
75,9.38579e+00,2.13826e+00,305
76,9.38575e+00,2.13790e+00,305
77,9.38573e+00,2.13732e+00,306
78,9.38566e+00,2.13729e+00,307
79,9.38555e+00,2.13771e+00,307
80,9.38545e+00,2.13810e+00,308
81,9.38531e+00,2.13888e+00,308
82,9.38517e+00,2.13977e+00,309
83,9.38506e+00,2.14040e+00,309
84,9.38495e+00,2.14105e+00,310
85,9.38484e+00,2.14173e+00,311
86,9.38474e+00,2.14231e+00,311
87,9.38464e+00,2.14297e+00,312
88,9.38456e+00,2.14342e+00,312
89,9.38450e+00,2.14368e+00,313
90,9.38445e+00,2.14381e+00,313
91,9.38439e+00,2.14407e+00,314
92,9.38435e+00,2.14418e+00,314
93,9.38425e+00,2.14494e+00,315
94,9.38416e+00,2.14566e+00,316
95,9.38407e+00,2.14651e+00,316
96,9.38394e+00,2.14774e+00,317
97,9.38382e+00,2.14898e+00,317
98,9.38372e+00,2.14994e+00,318
99,9.38365e+00,2.15059e+00,318
100,9.38357e+00,2.15127e+00,319
101,9.38347e+00,2.15231e+00,320
102,9.38340e+00,2.15294e+00,320
103,9.38332e+00,2.15373e+00,321
104,9.38330e+00,2.15376e+00,321
105,9.38325e+00,2.15409e+00,322
106,9.38318e+00,2.15479e+00,322
107,9.38314e+00,2.15519e+00,323
108,9.38311e+00,2.15533e+00,323
109,9.38306e+00,2.15575e+00,324
110,9.38302e+00,2.15608e+00,325
111,9.38298e+00,2.15631e+00,325
112,9.38297e+00,2.15626e+00,326
113,9.38296e+00,2.15595e+00,326
114,9.38295e+00,2.15581e+00,327
115,9.38293e+00,2.15589e+00,327
116,9.38294e+00,2.15541e+00,328
117,9.38295e+00,2.15485e+00,329
118,9.38296e+00,2.15439e+00,329
119,9.38292e+00,2.15482e+00,330
120,9.38289e+00,2.15500e+00,330
121,9.38286e+00,2.15512e+00,331
122,9.38286e+00,2.15495e+00,331
123,9.38286e+00,2.15459e+00,332
124,9.38289e+00,2.15386e+00,332
125,9.38292e+00,2.15310e+00,333
126,9.38299e+00,2.15182e+00,334
127,9.38303e+00,2.15104e+00,334
128,9.38308e+00,2.15014e+00,335
129,9.38314e+00,2.14907e+00,335
130,9.38316e+00,2.14854e+00,336
131,9.38321e+00,2.14768e+00,336
132,9.38324e+00,2.14714e+00,337
133,9.38331e+00,2.14600e+00,337
134,9.38332e+00,2.14567e+00,338
135,9.38335e+00,2.14514e+00,339
136,9.38336e+00,2.14485e+00,339
137,9.38337e+00,2.14451e+00,340
138,9.38340e+00,2.14405e+00,340
139,9.38341e+00,2.14369e+00,341
140,9.38348e+00,2.14275e+00,341
141,9.38351e+00,2.14221e+00,342
142,9.38352e+00,2.14196e+00,343
143,9.38353e+00,2.14164e+00,343
144,9.38350e+00,2.14184e+00,344
145,9.38347e+00,2.14202e+00,344
146,9.38347e+00,2.14190e+00,345
147,9.38344e+00,2.14211e+00,345
148,9.38339e+00,2.14249e+00,346
149,9.38330e+00,2.14339e+00,346
