step,loss_function,target_value,elapsed_time
0,2.03556e+02,2.37901e+00,148
1,1.16116e+01,2.37401e+00,242
2,1.08435e+01,2.36901e+00,243
3,1.03608e+01,2.36402e+00,243
4,1.01176e+01,2.35901e+00,244
5,1.01742e+01,2.35401e+00,245
6,1.04069e+01,2.34913e+00,245
7,1.03897e+01,2.34422e+00,246
8,1.02840e+01,2.33938e+00,247
9,1.01787e+01,2.33464e+00,247
10,1.00949e+01,2.32998e+00,248
11,1.00442e+01,2.32523e+00,249
12,1.00463e+01,2.32059e+00,249
13,1.00844e+01,2.31596e+00,250
14,1.01220e+01,2.31140e+00,250
15,1.01559e+01,2.30674e+00,251
16,1.01725e+01,2.30214e+00,252
17,1.01685e+01,2.29752e+00,252
18,1.01542e+01,2.29287e+00,253
19,1.01317e+01,2.28841e+00,254
20,1.00991e+01,2.28416e+00,254
21,1.00648e+01,2.27987e+00,255
22,1.00299e+01,2.27553e+00,256
23,9.99370e+00,2.27111e+00,256
24,9.95712e+00,2.26693e+00,257
25,9.92529e+00,2.26276e+00,258
26,9.89557e+00,2.25859e+00,258
27,9.86878e+00,2.25446e+00,259
28,9.84588e+00,2.25023e+00,260
29,9.82597e+00,2.24604e+00,260
30,9.80776e+00,2.24198e+00,261
31,9.79106e+00,2.23802e+00,262
32,9.77662e+00,2.23407e+00,262
33,9.76401e+00,2.23030e+00,263
34,9.75270e+00,2.22665e+00,264
35,9.74294e+00,2.22313e+00,265
36,9.73440e+00,2.21971e+00,265
37,9.72691e+00,2.21634e+00,266
38,9.72024e+00,2.21309e+00,267
39,9.71431e+00,2.20991e+00,267
40,9.70860e+00,2.20668e+00,268
41,9.70340e+00,2.20366e+00,268
42,9.69840e+00,2.20072e+00,269
43,9.69405e+00,2.19788e+00,270
44,9.69009e+00,2.19498e+00,270
45,9.68642e+00,2.19222e+00,271
46,9.68299e+00,2.18977e+00,272
47,9.67998e+00,2.18741e+00,272
48,9.67713e+00,2.18496e+00,273
49,9.67456e+00,2.18239e+00,274
50,9.67215e+00,2.18006e+00,274
51,9.67003e+00,2.17789e+00,275
52,9.66810e+00,2.17575e+00,276
53,9.66639e+00,2.17384e+00,276
54,9.66482e+00,2.17202e+00,277
55,9.66341e+00,2.17020e+00,278
56,9.66211e+00,2.16842e+00,278
57,9.66094e+00,2.16664e+00,279
58,9.65988e+00,2.16492e+00,280
59,9.65897e+00,2.16342e+00,280
60,9.65810e+00,2.16202e+00,281
61,9.65726e+00,2.16046e+00,282
62,9.65650e+00,2.15903e+00,282
63,9.65579e+00,2.15779e+00,283
64,9.65515e+00,2.15669e+00,284
65,9.65459e+00,2.15586e+00,284
66,9.65410e+00,2.15511e+00,285
67,9.65368e+00,2.15424e+00,286
68,9.65329e+00,2.15347e+00,286
69,9.65293e+00,2.15260e+00,287
70,9.65260e+00,2.15207e+00,288
71,9.65230e+00,2.15173e+00,288
72,9.65202e+00,2.15133e+00,289
73,9.65174e+00,2.15077e+00,290
74,9.65148e+00,2.15010e+00,290
75,9.65123e+00,2.14985e+00,291
76,9.65101e+00,2.14942e+00,292
77,9.65082e+00,2.14887e+00,292
78,9.65064e+00,2.14816e+00,293
79,9.65048e+00,2.14745e+00,294
80,9.65034e+00,2.14662e+00,294
81,9.65021e+00,2.14599e+00,295
82,9.65008e+00,2.14558e+00,296
83,9.64996e+00,2.14539e+00,296
84,9.64984e+00,2.14504e+00,297
85,9.64973e+00,2.14462e+00,298
86,9.64963e+00,2.14450e+00,298
87,9.64952e+00,2.14437e+00,299
88,9.64942e+00,2.14441e+00,299
89,9.64933e+00,2.14441e+00,300
