step,loss_function,target_value,elapsed_time
0,1.25449e+02,2.16178e+00,148
1,1.39491e+01,2.16678e+00,241
2,9.06683e+00,2.16985e+00,242
3,9.00910e+00,2.17300e+00,242
4,8.98739e+00,2.17111e+00,243
5,8.97650e+00,2.16967e+00,243
6,8.97110e+00,2.16845e+00,244
7,8.96722e+00,2.16655e+00,244
8,8.96500e+00,2.16435e+00,245
9,8.96385e+00,2.16270e+00,245
10,8.96368e+00,2.16241e+00,246
11,8.96382e+00,2.16200e+00,246
12,8.96374e+00,2.16158e+00,247
13,8.96338e+00,2.16064e+00,247
14,8.96284e+00,2.16029e+00,248
15,8.96185e+00,2.15913e+00,248
16,8.96166e+00,2.15840e+00,249
17,8.96141e+00,2.15739e+00,249
18,8.96147e+00,2.15716e+00,250
19,8.96181e+00,2.15678e+00,250
20,8.96181e+00,2.15703e+00,251
21,8.96167e+00,2.15708e+00,251
22,8.96211e+00,2.15642e+00,252
23,8.96337e+00,2.15609e+00,252
24,8.96501e+00,2.15463e+00,253
25,8.96326e+00,2.15311e+00,253
26,8.95915e+00,2.15091e+00,254
27,8.95451e+00,2.14837e+00,254
28,8.95150e+00,2.14569e+00,255
29,8.94974e+00,2.14290e+00,255
30,8.94823e+00,2.14056e+00,256
31,8.94719e+00,2.13835e+00,256
32,8.94624e+00,2.13651e+00,257
33,8.94567e+00,2.13564e+00,257
34,8.94532e+00,2.13496e+00,258
35,8.94493e+00,2.13424e+00,258
36,8.94468e+00,2.13392e+00,259
37,8.94435e+00,2.13363e+00,259
38,8.94393e+00,2.13348e+00,260
39,8.94355e+00,2.13304e+00,260
40,8.94304e+00,2.13191e+00,261
41,8.94257e+00,2.13074e+00,261
42,8.94210e+00,2.12985e+00,262
43,8.94171e+00,2.12832e+00,262
44,8.94130e+00,2.12657e+00,263
45,8.94088e+00,2.12519e+00,263
46,8.94043e+00,2.12365e+00,264
47,8.94010e+00,2.12297e+00,264
48,8.93970e+00,2.12325e+00,265
49,8.93927e+00,2.12328e+00,265
50,8.93890e+00,2.12309e+00,266
51,8.93857e+00,2.12376e+00,266
52,8.93828e+00,2.12466e+00,267
53,8.93797e+00,2.12610e+00,267
54,8.93765e+00,2.12727e+00,268
55,8.93737e+00,2.12852e+00,268
56,8.93708e+00,2.12921e+00,269
57,8.93682e+00,2.12979e+00,269
58,8.93657e+00,2.13035e+00,270
59,8.93630e+00,2.13030e+00,270
60,8.93606e+00,2.13009e+00,271
61,8.93581e+00,2.12933e+00,271
62,8.93559e+00,2.12867e+00,272
63,8.93537e+00,2.12779e+00,272
64,8.93517e+00,2.12662e+00,273
65,8.93498e+00,2.12621e+00,273
66,8.93481e+00,2.12638e+00,274
67,8.93465e+00,2.12609e+00,274
68,8.93453e+00,2.12685e+00,275
69,8.93442e+00,2.12781e+00,275
70,8.93432e+00,2.12897e+00,276
71,8.93426e+00,2.13109e+00,276
72,8.93422e+00,2.13330e+00,277
73,8.93418e+00,2.13498e+00,277
74,8.93418e+00,2.13731e+00,278
75,8.93417e+00,2.13922e+00,278
76,8.93416e+00,2.14086e+00,279
77,8.93416e+00,2.14246e+00,279
78,8.93416e+00,2.14393e+00,280
79,8.93413e+00,2.14456e+00,280
80,8.93409e+00,2.14505e+00,281
81,8.93404e+00,2.14536e+00,281
82,8.93404e+00,2.14646e+00,282
83,8.93408e+00,2.14811e+00,282
84,8.93415e+00,2.14984e+00,283
85,8.93417e+00,2.15096e+00,283
86,8.93430e+00,2.15329e+00,283
87,8.93441e+00,2.15516e+00,284
88,8.93444e+00,2.15613e+00,284
89,8.93442e+00,2.15649e+00,285
90,8.93433e+00,2.15603e+00,285
91,8.93416e+00,2.15459e+00,286
92,8.93396e+00,2.15273e+00,286
93,8.93378e+00,2.15104e+00,287
94,8.93354e+00,2.14843e+00,287
95,8.93336e+00,2.14649e+00,288
96,8.93323e+00,2.14523e+00,288
97,8.93316e+00,2.14466e+00,289
98,8.93313e+00,2.14483e+00,289
99,8.93316e+00,2.14586e+00,290
100,8.93314e+00,2.14595e+00,290
101,8.93307e+00,2.14546e+00,291
102,8.93306e+00,2.14585e+00,291
103,8.93303e+00,2.14574e+00,292
104,8.93305e+00,2.14652e+00,292
105,8.93309e+00,2.14758e+00,293
106,8.93311e+00,2.14820e+00,293
107,8.93305e+00,2.14783e+00,294
108,8.93294e+00,2.14680e+00,294
109,8.93286e+00,2.14614e+00,295
110,8.93276e+00,2.14523e+00,295
111,8.93269e+00,2.14461e+00,296
112,8.93259e+00,2.14359e+00,296
113,8.93245e+00,2.14192e+00,297
114,8.93227e+00,2.13937e+00,297
115,8.93213e+00,2.13724e+00,298
116,8.93201e+00,2.13544e+00,298
117,8.93189e+00,2.13335e+00,299
118,8.93178e+00,2.13152e+00,299
119,8.93170e+00,2.13006e+00,300
120,8.93162e+00,2.12879e+00,300
121,8.93156e+00,2.12760e+00,301
122,8.93154e+00,2.12778e+00,301
123,8.93152e+00,2.12799e+00,302
124,8.93152e+00,2.12878e+00,302
125,8.93153e+00,2.12974e+00,303
126,8.93153e+00,2.13052e+00,303
127,8.93157e+00,2.13190e+00,304
128,8.93161e+00,2.13355e+00,304
129,8.93165e+00,2.13498e+00,305
130,8.93169e+00,2.13614e+00,305
131,8.93172e+00,2.13723e+00,306
132,8.93172e+00,2.13751e+00,306
133,8.93174e+00,2.13838e+00,307
134,8.93175e+00,2.13887e+00,307
135,8.93171e+00,2.13852e+00,308
136,8.93168e+00,2.13849e+00,308
137,8.93171e+00,2.13944e+00,309
138,8.93179e+00,2.14102e+00,309
139,8.93190e+00,2.14322e+00,310
140,8.93196e+00,2.14448e+00,310
141,8.93196e+00,2.14482e+00,311
142,8.93198e+00,2.14531e+00,311
143,8.93204e+00,2.14655e+00,312
144,8.93203e+00,2.14660e+00,312
145,8.93200e+00,2.14652e+00,313
146,8.93202e+00,2.14706e+00,313
147,8.93206e+00,2.14794e+00,314
148,8.93213e+00,2.14901e+00,314
149,8.93223e+00,2.15058e+00,315
