PL,,Mean:,0.300,,,
13.786203,,STDEV:,11.992,,,
-12.990333,,,,,,
-15.101395,,Lower:,-50,,,
27.830937,,Upper:,50,,,
-1.782317,,Num,40,,,
-20.931918,,,,,,
7.359127,,-50.0,,Bin,Frequency,
-5.524766,,-47.5,,-50,0,0
11.276292,,-45.0,,-47.5,0,0
6.454706,,-42.5,,-45,0,0
18.58033,,-40.0,,-42.5,0,0
-37.84399,,-37.5,,-40,0,0
-16.607461,,-35.0,,-37.5,1,0.005
-16.009134,,-32.5,,-35,0,0
-6.89538,,-30.0,,-32.5,0,0
-0.421769,,-27.5,,-30,1,0.005
2.923361,,-25.0,,-27.5,0,0
-13.747318,,-22.5,,-25,0,0
-2.209926,,-20.0,,-22.5,3,0.015
-10.836474,,-17.5,,-20,4,0.02
24.491408,,-15.0,,-17.5,5,0.025
13.892883,,-12.5,,-15,8,0.04
4.325332,,-10.0,,-12.5,9,0.045
6.605448,,-7.5,,-10,6,0.03
-23.994845,,-5.0,,-7.5,10,0.05
11.899828,,-2.5,,-5,18,0.09
7.281064,,0.0,,-2.5,17,0.085
3.054895,,2.5,,0,25,0.125
-5.55114,,5.0,,2.5,7,0.035
-18.990898,,7.5,,5,15,0.075
15.060589,,10.0,,7.5,16,0.08
30.054897,,12.5,,10,14,0.07
-4.894619,,15.0,,12.5,6,0.03
6.813983,,17.5,,15,11,0.055
-1.518315,,20.0,,17.5,10,0.05
-30.137412,,22.5,,20,4,0.02
4.904203,,25.0,,22.5,2,0.01
15.569489,,27.5,,25,4,0.02
25.494448,,30.0,,27.5,2,0.01
-7.998936,,32.5,,30,1,0.005
-5.747611,,35.0,,32.5,1,0.005
-1.612209,,37.5,,35,0,0
-2.77869,,40.0,,37.5,0,0
13.255311,,42.5,,40,0,0
3.176543,,45.0,,42.5,0,0
12.639936,,47.5,,45,0,0
-18.62531,,50.0,,47.5,0,0
-0.484203,,,,50,0,0
-5.647523,,,,More,0,200
-1.410647,,,,,,
-16.436564,,,,,,
-3.435083,,,,,,
15.568005,,,,,,
-6.003039,,,,,,
8.744275,,,,,,
-2.164387,,,,,,
-6.013173,,,,,,
26.662665,,,,,,
-20.315895,,,,,,
11.293158,,,,,,
-9.950227,,,,,,
-5.076804,,,,,,
6.640433,,,,,,
-10.595919,,,,,,
-2.548411,,,,,,
-2.435408,,,,,,
-3.77417,,,,,,
-13.525209,,,,,,
3.682696,,,,,,
3.359168,,,,,,
-2.696592,,,,,,
-22.260124,,,,,,
-19.599201,,,,,,
-2.15525,,,,,,
-14.598859,,,,,,
-0.702162,,,,,,
-13.100994,,,,,,
4.433628,,,,,,
-4.301806,,,,,,
-3.751216,,,,,,
11.922613,,,,,,
-7.661578,,,,,,
-11.522165,,,,,,
-16.93893,,,,,,
-0.428336,,,,,,
-8.515789,,,,,,
15.764687,,,,,,
9.055769,,,,,,
22.525525,,,,,,
-0.35456,,,,,,
-4.657349,,,,,,
21.174338,,,,,,
8.569069,,,,,,
2.974276,,,,,,
9.18792,,,,,,
23.277166,,,,,,
-5.46686,,,,,,
9.106663,,,,,,
8.833206,,,,,,
-23.408263,,,,,,
-21.328478,,,,,,
1.192216,,,,,,
13.542864,,,,,,
-1.382864,,,,,,
-7.703158,,,,,,
-2.310561,,,,,,
7.728259,,,,,,
-16.967104,,,,,,
7.023589,,,,,,
7.632915,,,,,,
-7.642414,,,,,,
4.060034,,,,,,
15.862099,,,,,,
5.184187,,,,,,
22.797285,,,,,,
13.398816,,,,,,
5.956432,,,,,,
19.633242,,,,,,
4.011005,,,,,,
-24.653136,,,,,,
-5.255341,,,,,,
-18.642097,,,,,,
-6.378273,,,,,,
-8.449116,,,,,,
-1.13475,,,,,,
-6.657562,,,,,,
-6.064844,,,,,,
8.389328,,,,,,
1.72309,,,,,,
9.522574,,,,,,
-8.893756,,,,,,
-0.375944,,,,,,
5.303515,,,,,,
4.544466,,,,,,
-15.62381,,,,,,
-4.965981,,,,,,
-10.874474,,,,,,
-14.774073,,,,,,
6.592389,,,,,,
20.145739,,,,,,
-4.124771,,,,,,
-4.506775,,,,,,
13.84494,,,,,,
16.766237,,,,,,
-1.072442,,,,,,
17.568856,,,,,,
-1.768001,,,,,,
13.120124,,,,,,
5.490072,,,,,,
14.285685,,,,,,
-4.805352,,,,,,
6.41638,,,,,,
8.625239,,,,,,
-4.605256,,,,,,
14.955549,,,,,,
2.623274,,,,,,
5.10039,,,,,,
-0.319402,,,,,,
6.54635,,,,,,
16.72517,,,,,,
-10.150133,,,,,,
9.403825,,,,,,
-7.658063,,,,,,
-2.198181,,,,,,
16.252331,,,,,,
-9.602497,,,,,,
-6.160018,,,,,,
3.602958,,,,,,
15.309146,,,,,,
3.730962,,,,,,
12.409343,,,,,,
16.226901,,,,,,
-14.635632,,,,,,
0.01557,,,,,,
-5.653147,,,,,,
-0.658705,,,,,,
12.577017,,,,,,
-4.760283,,,,,,
-0.777467,,,,,,
-7.245557,,,,,,
-0.674507,,,,,,
1.871991,,,,,,
7.142582,,,,,,
1.795403,,,,,,
-1.018905,,,,,,
-12.808398,,,,,,
9.687987,,,,,,
-19.236383,,,,,,
8.86477,,,,,,
-5.20186,,,,,,
-2.5194,,,,,,
18.140869,,,,,,
0.432592,,,,,,
-10.432996,,,,,,
11.865525,,,,,,
-5.935271,,,,,,
0.229472,,,,,,
-15.497402,,,,,,
-3.205576,,,,,,
-13.283974,,,,,,
80,,,,,,
