step,loss_function,target_value,elapsed_time
0,3.04257e+02,2.28698e+00,7
1,8.94520e+00,2.28198e+00,10
2,8.94281e+00,2.27703e+00,10
3,8.94799e+00,2.27228e+00,10
4,8.95070e+00,2.26749e+00,10
5,8.95261e+00,2.26274e+00,10
6,8.95035e+00,2.25801e+00,10
7,8.95142e+00,2.25318e+00,10
8,8.93744e+00,2.24840e+00,10
9,8.93917e+00,2.24382e+00,10
10,8.93591e+00,2.23910e+00,10
11,8.94120e+00,2.23431e+00,10
12,8.94730e+00,2.22992e+00,10
13,8.95627e+00,2.22529e+00,10
14,8.95896e+00,2.22066e+00,10
15,8.96226e+00,2.21597e+00,10
16,8.95201e+00,2.21139e+00,10
17,8.95046e+00,2.20687e+00,10
18,8.94383e+00,2.20265e+00,10
19,8.93596e+00,2.19897e+00,10
20,8.92736e+00,2.19513e+00,10
21,8.92325e+00,2.19143e+00,11
22,8.91708e+00,2.18775e+00,11
23,8.91605e+00,2.18414e+00,11
24,8.91372e+00,2.18074e+00,11
25,8.91114e+00,2.17734e+00,11
26,8.90818e+00,2.17396e+00,11
27,8.90620e+00,2.17107e+00,11
28,8.90476e+00,2.16817e+00,11
29,8.90338e+00,2.16546e+00,11
30,8.90239e+00,2.16303e+00,11
31,8.90097e+00,2.16079e+00,11
32,8.89989e+00,2.15835e+00,11
33,8.89881e+00,2.15570e+00,11
34,8.89795e+00,2.15286e+00,11
35,8.89725e+00,2.15035e+00,11
36,8.89659e+00,2.14804e+00,11
37,8.89595e+00,2.14598e+00,11
38,8.89535e+00,2.14412e+00,11
39,8.89480e+00,2.14254e+00,11
40,8.89426e+00,2.14129e+00,11
41,8.89376e+00,2.14013e+00,11
42,8.89327e+00,2.13910e+00,12
43,8.89277e+00,2.13790e+00,12
44,8.89227e+00,2.13640e+00,12
45,8.89179e+00,2.13523e+00,12
46,8.89131e+00,2.13435e+00,12
47,8.89082e+00,2.13368e+00,12
48,8.89033e+00,2.13314e+00,12
49,8.88987e+00,2.13318e+00,12
50,8.88941e+00,2.13340e+00,12
51,8.88894e+00,2.13367e+00,12
52,8.88849e+00,2.13376e+00,12
53,8.88804e+00,2.13373e+00,12
54,8.88759e+00,2.13394e+00,12
55,8.88713e+00,2.13357e+00,12
56,8.88669e+00,2.13360e+00,12
57,8.88625e+00,2.13352e+00,12
58,8.88582e+00,2.13348e+00,12
59,8.88539e+00,2.13361e+00,12
60,8.88496e+00,2.13375e+00,12
61,8.88454e+00,2.13400e+00,12
62,8.88412e+00,2.13401e+00,12
63,8.88370e+00,2.13380e+00,12
64,8.88328e+00,2.13336e+00,13
65,8.88287e+00,2.13284e+00,13
66,8.88246e+00,2.13247e+00,13
67,8.88207e+00,2.13234e+00,13
