step,loss_function,target_value,elapsed_time
0,1.71357e+02,2.06460e+00,146
1,9.71557e+00,2.06960e+00,242
2,9.74381e+00,2.07412e+00,242
3,9.68477e+00,2.07886e+00,243
4,9.66314e+00,2.08292e+00,243
5,9.66297e+00,2.08652e+00,244
6,9.66157e+00,2.09052e+00,244
7,9.65961e+00,2.09417e+00,245
8,9.65593e+00,2.09756e+00,245
9,9.65359e+00,2.10123e+00,246
10,9.65368e+00,2.10438e+00,247
11,9.66538e+00,2.10800e+00,247
12,9.68293e+00,2.11182e+00,248
13,9.69888e+00,2.11573e+00,248
14,9.72481e+00,2.11939e+00,249
15,9.77341e+00,2.12241e+00,249
16,9.82259e+00,2.12528e+00,250
17,9.88728e+00,2.12798e+00,250
18,9.96692e+00,2.13099e+00,251
19,1.00818e+01,2.13423e+00,251
20,9.98245e+00,2.13726e+00,252
21,9.91125e+00,2.14018e+00,252
22,9.87845e+00,2.14286e+00,253
23,9.81312e+00,2.14535e+00,253
24,9.73988e+00,2.14788e+00,254
25,9.69228e+00,2.15034e+00,254
26,9.66436e+00,2.15138e+00,255
27,9.65032e+00,2.15183e+00,255
28,9.64573e+00,2.15228e+00,256
29,9.64326e+00,2.15245e+00,256
30,9.64093e+00,2.15251e+00,257
31,9.63846e+00,2.15276e+00,257
32,9.63589e+00,2.15303e+00,258
33,9.63387e+00,2.15336e+00,258
34,9.63167e+00,2.15441e+00,259
35,9.63015e+00,2.15484e+00,259
36,9.62863e+00,2.15497e+00,260
37,9.62700e+00,2.15539e+00,261
38,9.62585e+00,2.15544e+00,261
39,9.62508e+00,2.15539e+00,262
40,9.62394e+00,2.15563e+00,262
41,9.62283e+00,2.15595e+00,263
42,9.62177e+00,2.15611e+00,263
43,9.62060e+00,2.15664e+00,264
44,9.61963e+00,2.15724e+00,264
45,9.61885e+00,2.15741e+00,265
46,9.61812e+00,2.15714e+00,265
47,9.61743e+00,2.15733e+00,266
48,9.61682e+00,2.15715e+00,266
49,9.61606e+00,2.15766e+00,267
50,9.61533e+00,2.15794e+00,268
