step,loss_function,target_value,elapsed_time
0,1.30142e+02,2.37634e+00,15
1,9.27293e+00,2.37134e+00,21
2,9.27366e+00,2.36637e+00,21
3,9.27196e+00,2.36152e+00,21
4,9.27296e+00,2.35663e+00,21
5,9.27268e+00,2.35176e+00,22
6,9.27612e+00,2.34681e+00,22
7,9.26715e+00,2.34189e+00,22
8,9.26519e+00,2.33714e+00,22
9,9.25471e+00,2.33234e+00,22
10,9.24963e+00,2.32759e+00,22
11,9.24683e+00,2.32286e+00,22
12,9.24483e+00,2.31805e+00,22
13,9.24291e+00,2.31329e+00,22
14,9.24108e+00,2.30873e+00,22
15,9.23917e+00,2.30427e+00,22
16,9.23738e+00,2.29993e+00,22
17,9.23559e+00,2.29580e+00,22
18,9.23388e+00,2.29174e+00,22
19,9.23227e+00,2.28760e+00,23
20,9.23046e+00,2.28341e+00,23
21,9.22858e+00,2.27918e+00,23
22,9.22667e+00,2.27506e+00,23
23,9.22486e+00,2.27095e+00,23
24,9.22317e+00,2.26685e+00,23
25,9.22154e+00,2.26284e+00,23
26,9.22002e+00,2.25886e+00,23
27,9.21857e+00,2.25509e+00,23
28,9.21711e+00,2.25120e+00,23
29,9.21574e+00,2.24741e+00,23
30,9.21445e+00,2.24378e+00,23
31,9.21323e+00,2.24026e+00,23
32,9.21207e+00,2.23673e+00,23
33,9.21101e+00,2.23345e+00,24
34,9.21000e+00,2.23029e+00,24
35,9.20905e+00,2.22716e+00,24
36,9.20818e+00,2.22419e+00,24
37,9.20734e+00,2.22127e+00,24
38,9.20655e+00,2.21857e+00,24
39,9.20576e+00,2.21588e+00,24
40,9.20502e+00,2.21328e+00,24
41,9.20425e+00,2.21049e+00,24
42,9.20349e+00,2.20774e+00,24
43,9.20275e+00,2.20513e+00,24
44,9.20209e+00,2.20271e+00,24
45,9.20143e+00,2.20016e+00,24
46,9.20078e+00,2.19751e+00,24
47,9.20016e+00,2.19494e+00,25
48,9.19956e+00,2.19239e+00,25
49,9.19897e+00,2.18964e+00,25
50,9.19837e+00,2.18665e+00,25
51,9.19779e+00,2.18381e+00,25
52,9.19727e+00,2.18109e+00,25
53,9.19681e+00,2.17881e+00,25
54,9.19636e+00,2.17644e+00,25
55,9.19596e+00,2.17432e+00,25
56,9.19559e+00,2.17221e+00,25
57,9.19527e+00,2.17052e+00,25
58,9.19495e+00,2.16864e+00,25
59,9.19465e+00,2.16684e+00,25
60,9.19429e+00,2.16479e+00,25
61,9.19394e+00,2.16302e+00,25
62,9.19361e+00,2.16131e+00,26
63,9.19332e+00,2.16006e+00,26
64,9.19301e+00,2.15866e+00,26
65,9.19270e+00,2.15702e+00,26
66,9.19237e+00,2.15533e+00,26
67,9.19204e+00,2.15360e+00,26
68,9.19171e+00,2.15186e+00,26
69,9.19139e+00,2.15007e+00,26
70,9.19108e+00,2.14843e+00,26
71,9.19079e+00,2.14693e+00,26
72,9.19052e+00,2.14574e+00,26
73,9.19027e+00,2.14487e+00,26
74,9.19002e+00,2.14396e+00,26
75,9.18978e+00,2.14350e+00,26
76,9.18956e+00,2.14328e+00,26
77,9.18935e+00,2.14326e+00,27
78,9.18914e+00,2.14336e+00,27
79,9.18894e+00,2.14338e+00,27
80,9.18873e+00,2.14336e+00,27
81,9.18852e+00,2.14316e+00,27
82,9.18832e+00,2.14309e+00,27
83,9.18812e+00,2.14300e+00,27
84,9.18793e+00,2.14308e+00,27
85,9.18775e+00,2.14342e+00,27
86,9.18758e+00,2.14398e+00,27
87,9.18742e+00,2.14482e+00,27
88,9.18726e+00,2.14571e+00,27
89,9.18711e+00,2.14648e+00,27
90,9.18696e+00,2.14738e+00,27
91,9.18682e+00,2.14831e+00,28
92,9.18668e+00,2.14910e+00,28
93,9.18653e+00,2.14972e+00,28
94,9.18637e+00,2.15013e+00,28
95,9.18621e+00,2.15053e+00,28
96,9.18601e+00,2.15041e+00,28
97,9.18582e+00,2.15025e+00,28
98,9.18563e+00,2.15013e+00,28
99,9.18544e+00,2.14983e+00,28
100,9.18525e+00,2.14963e+00,28
101,9.18505e+00,2.14930e+00,28
102,9.18485e+00,2.14903e+00,28
103,9.18466e+00,2.14869e+00,28
104,9.18447e+00,2.14847e+00,29
105,9.18429e+00,2.14851e+00,29
106,9.18413e+00,2.14882e+00,29
107,9.18397e+00,2.14916e+00,29
108,9.18381e+00,2.14943e+00,29
109,9.18367e+00,2.14993e+00,29
110,9.18352e+00,2.15042e+00,29
111,9.18337e+00,2.15085e+00,29
112,9.18322e+00,2.15116e+00,29
113,9.18304e+00,2.15083e+00,29
114,9.18284e+00,2.15027e+00,29
115,9.18265e+00,2.14976e+00,29
116,9.18246e+00,2.14920e+00,29
117,9.18230e+00,2.14908e+00,29
118,9.18212e+00,2.14888e+00,30
119,9.18191e+00,2.14791e+00,30
120,9.18171e+00,2.14707e+00,30
121,9.18152e+00,2.14651e+00,30
122,9.18134e+00,2.14626e+00,30
123,9.18118e+00,2.14623e+00,30
124,9.18100e+00,2.14606e+00,30
125,9.18083e+00,2.14592e+00,30
126,9.18067e+00,2.14597e+00,30
127,9.18050e+00,2.14591e+00,30
128,9.18032e+00,2.14560e+00,30
129,9.18015e+00,2.14529e+00,30
130,9.17999e+00,2.14539e+00,30
131,9.17982e+00,2.14531e+00,30
132,9.17966e+00,2.14549e+00,31
133,9.17952e+00,2.14585e+00,31
134,9.17938e+00,2.14636e+00,31
135,9.17923e+00,2.14670e+00,31
136,9.17908e+00,2.14692e+00,31
137,9.17892e+00,2.14689e+00,31
138,9.17874e+00,2.14642e+00,31
139,9.17858e+00,2.14641e+00,31
140,9.17841e+00,2.14612e+00,31
141,9.17824e+00,2.14607e+00,31
142,9.17809e+00,2.14624e+00,31
143,9.17795e+00,2.14670e+00,31
144,9.17780e+00,2.14702e+00,31
145,9.17766e+00,2.14745e+00,31
146,9.17752e+00,2.14783e+00,32
147,9.17738e+00,2.14809e+00,32
148,9.17723e+00,2.14827e+00,32
149,9.17707e+00,2.14825e+00,32
