PL,,Mean:,-0.351,,,
-0.07227,,STDEV:,8.835,,,
-10.225992,,,,,,
6.475349,,Lower:,-50,,,
-6.347989,,Upper:,50,,,
-4.908379,,Num,40,,,
-1.060432,,,,,,
-4.950929,,-50.0,,Bin,Frequency,
-16.0952,,-47.5,,-50.0,0,0
-11.337148,,-45.0,,-47.5,0,0
7.028024,,-42.5,,-45.0,0,0
-5.397267,,-40.0,,-42.5,0,0
-1.65359,,-37.5,,-40.0,0,0
-16.49308,,-35.0,,-37.5,0,0
-5.07962,,-32.5,,-35.0,0,0
1.830734,,-30.0,,-32.5,0,0
0.938028,,-27.5,,-30.0,0,0
19.853884,,-25.0,,-27.5,0,0
5.612015,,-22.5,,-25.0,0,0
2.244784,,-20.0,,-22.5,2,0.01
-6.630371,,-17.5,,-20.0,1,0.005
0.223425,,-15.0,,-17.5,3,0.015
1.718133,,-12.5,,-15.0,3,0.015
-4.490571,,-10.0,,-12.5,7,0.035
-1.550835,,-7.5,,-10.0,11,0.055
-0.830101,,-5.0,,-7.5,9,0.045
-2.619286,,-2.5,,-5.0,24,0.12
3.388493,,0.0,,-2.5,20,0.1
-10.802773,,2.5,,0.0,21,0.105
-10.201061,,5.0,,2.5,27,0.135
7.017551,,7.5,,5.0,22,0.11
-2.467332,,10.0,,7.5,19,0.095
-1.577779,,12.5,,10.0,9,0.045
-0.279463,,15.0,,12.5,7,0.035
7.955087,,17.5,,15.0,5,0.025
12.747089,,20.0,,17.5,4,0.02
2.993176,,22.5,,20.0,3,0.015
0.760748,,25.0,,22.5,2,0.01
2.768928,,27.5,,25.0,0,0
14.84803,,30.0,,27.5,1,0.005
-6.985454,,32.5,,30.0,0,0
6.894628,,35.0,,32.5,0,0
-5.446653,,37.5,,35.0,0,0
-24.114103,,40.0,,37.5,0,0
4.56967,,42.5,,40.0,0,0
2.11917,,45.0,,42.5,0,0
-7.456505,,47.5,,45.0,0,0
3.042929,,50.0,,47.5,0,0
7.425275,,,,50.0,0,0
16.384191,,,,More,0,200
12.431612,,,,,,
11.744274,,,,,,
-9.007025,,,,,,
8.867801,,,,,,
10.157038,,,,,,
3.151068,,,,,,
-2.578484,,,,,,
5.558179,,,,,,
-11.916151,,,,,,
-2.276025,,,,,,
6.577937,,,,,,
-7.486437,,,,,,
1.958972,,,,,,
12.679991,,,,,,
-4.591927,,,,,,
5.177851,,,,,,
4.006821,,,,,,
-2.988619,,,,,,
5.847653,,,,,,
16.53978,,,,,,
3.358179,,,,,,
-1.266306,,,,,,
3.500358,,,,,,
-4.852247,,,,,,
4.317359,,,,,,
22.1956,,,,,,
15.657755,,,,,,
17.652489,,,,,,
-5.202681,,,,,,
-6.396626,,,,,,
4.270874,,,,,,
0.817756,,,,,,
-17.878267,,,,,,
-9.54742,,,,,,
1.891437,,,,,,
-2.215426,,,,,,
-6.641514,,,,,,
1.134423,,,,,,
-5.318743,,,,,,
0.121308,,,,,,
-0.076229,,,,,,
-5.252547,,,,,,
4.273841,,,,,,
4.502489,,,,,,
4.942486,,,,,,
-6.839795,,,,,,
-4.393768,,,,,,
0.146409,,,,,,
5.499743,,,,,,
18.687809,,,,,,
-2.371063,,,,,,
-9.049072,,,,,,
10.076577,,,,,,
8.129714,,,,,,
-7.754385,,,,,,
-12.923643,,,,,,
-2.824817,,,,,,
0.059373,,,,,,
-1.195322,,,,,,
7.541362,,,,,,
-8.031132,,,,,,
10.247654,,,,,,
-12.925008,,,,,,
-8.826809,,,,,,
-23.902221,,,,,,
-4.751242,,,,,,
-14.666068,,,,,,
-7.213549,,,,,,
2.447222,,,,,,
-14.749534,,,,,,
13.561315,,,,,,
-5.773116,,,,,,
3.187181,,,,,,
4.78959,,,,,,
6.525165,,,,,,
-4.496923,,,,,,
-11.613704,,,,,,
-2.503313,,,,,,
6.942044,,,,,,
0.875439,,,,,,
0.265181,,,,,,
-4.457666,,,,,,
-5.100177,,,,,,
-9.06136,,,,,,
-2.663854,,,,,,
-6.262225,,,,,,
-10.316081,,,,,,
-3.510133,,,,,,
4.84411,,,,,,
22.445502,,,,,,
10.636761,,,,,,
1.974153,,,,,,
-11.047037,,,,,,
1.443832,,,,,,
9.980298,,,,,,
1.333485,,,,,,
2.557759,,,,,,
-14.043258,,,,,,
-3.482468,,,,,,
-20.76823,,,,,,
1.053475,,,,,,
13.691148,,,,,,
4.150059,,,,,,
17.133378,,,,,,
7.156499,,,,,,
9.504068,,,,,,
-2.144537,,,,,,
-6.890867,,,,,,
6.326199,,,,,,
26.076847,,,,,,
-12.788611,,,,,,
6.573589,,,,,,
-1.292334,,,,,,
-10.067277,,,,,,
-7.797141,,,,,,
9.417655,,,,,,
4.704814,,,,,,
4.675875,,,,,,
-0.580314,,,,,,
-4.244529,,,,,,
8.912324,,,,,,
6.427142,,,,,,
-2.704905,,,,,,
-6.144821,,,,,,
0.372687,,,,,,
5.471279,,,,,,
-6.671998,,,,,,
-2.032198,,,,,,
0.122792,,,,,,
-9.186571,,,,,,
0.163355,,,,,,
1.668921,,,,,,
-15.645142,,,,,,
-19.747968,,,,,,
-10.353473,,,,,,
0.2143,,,,,,
-0.230701,,,,,,
9.119764,,,,,,
-11.593622,,,,,,
2.095023,,,,,,
-6.629033,,,,,,
-0.952115,,,,,,
-3.430533,,,,,,
-7.356612,,,,,,
2.600017,,,,,,
5.277469,,,,,,
-14.883126,,,,,,
-19.674388,,,,,,
-0.071928,,,,,,
-6.58883,,,,,,
12.37506,,,,,,
160,,,,,,
