step,loss_function,target_value,elapsed_time
0,1.83925e+02,2.31035e+00,148
1,9.54564e+00,2.30535e+00,245
2,9.55196e+00,2.30035e+00,245
3,9.58582e+00,2.29535e+00,246
4,9.60635e+00,2.29037e+00,246
5,9.60779e+00,2.28559e+00,247
6,9.59997e+00,2.28071e+00,247
7,9.59051e+00,2.27581e+00,248
8,9.58250e+00,2.27092e+00,248
9,9.57461e+00,2.26613e+00,249
10,9.56797e+00,2.26137e+00,249
11,9.56213e+00,2.25671e+00,250
12,9.55763e+00,2.25214e+00,250
13,9.55369e+00,2.24740e+00,251
14,9.55005e+00,2.24266e+00,251
15,9.54632e+00,2.23817e+00,252
16,9.54284e+00,2.23374e+00,252
17,9.53986e+00,2.22927e+00,253
18,9.53744e+00,2.22484e+00,253
19,9.53505e+00,2.22072e+00,254
20,9.53279e+00,2.21679e+00,254
21,9.53070e+00,2.21283e+00,255
22,9.52880e+00,2.20898e+00,256
23,9.52712e+00,2.20521e+00,256
24,9.52562e+00,2.20136e+00,257
25,9.52427e+00,2.19781e+00,257
26,9.52297e+00,2.19440e+00,258
27,9.52183e+00,2.19106e+00,258
28,9.52075e+00,2.18776e+00,259
29,9.51976e+00,2.18463e+00,259
30,9.51884e+00,2.18168e+00,260
31,9.51801e+00,2.17870e+00,260
32,9.51726e+00,2.17575e+00,261
33,9.51659e+00,2.17279e+00,261
34,9.51603e+00,2.16987e+00,262
35,9.51552e+00,2.16711e+00,263
36,9.51505e+00,2.16471e+00,263
37,9.51460e+00,2.16248e+00,264
38,9.51415e+00,2.16054e+00,264
39,9.51368e+00,2.15924e+00,265
40,9.51321e+00,2.15805e+00,265
41,9.51285e+00,2.15720e+00,266
42,9.51257e+00,2.15638e+00,266
43,9.51233e+00,2.15575e+00,267
44,9.51210e+00,2.15506e+00,267
45,9.51193e+00,2.15437e+00,268
46,9.51184e+00,2.15363e+00,268
47,9.51176e+00,2.15282e+00,269
48,9.51165e+00,2.15204e+00,269
49,9.51149e+00,2.15103e+00,270
50,9.51136e+00,2.15015e+00,271
51,9.51122e+00,2.14923e+00,271
52,9.51110e+00,2.14779e+00,272
53,9.51100e+00,2.14642e+00,272
54,9.51088e+00,2.14530e+00,273
55,9.51074e+00,2.14469e+00,273
56,9.51059e+00,2.14416e+00,274
