step,loss_function,target_value,elapsed_time
0,1.44155e+02,2.22166e+00,69
1,2.00555e+01,2.21666e+00,106
2,9.05098e+00,2.21180e+00,106
3,9.05040e+00,2.20692e+00,106
4,9.04898e+00,2.20216e+00,107
5,9.04955e+00,2.19737e+00,107
6,9.05041e+00,2.19267e+00,107
7,9.05064e+00,2.18845e+00,107
8,9.05117e+00,2.18400e+00,108
9,9.05253e+00,2.17968e+00,108
10,9.05289e+00,2.17558e+00,108
11,9.05388e+00,2.17168e+00,109
12,9.05366e+00,2.16810e+00,109
13,9.05307e+00,2.16451e+00,109
14,9.05170e+00,2.16089e+00,109
15,9.05033e+00,2.15770e+00,110
16,9.04920e+00,2.15443e+00,110
17,9.04821e+00,2.15090e+00,110
18,9.04717e+00,2.14729e+00,110
19,9.04664e+00,2.14373e+00,111
20,9.04625e+00,2.14091e+00,111
21,9.04554e+00,2.13884e+00,111
22,9.04469e+00,2.13726e+00,112
23,9.04414e+00,2.13626e+00,112
24,9.04373e+00,2.13601e+00,112
25,9.04341e+00,2.13549e+00,112
26,9.04289e+00,2.13502e+00,113
27,9.04218e+00,2.13502e+00,113
28,9.04142e+00,2.13537e+00,113
29,9.04094e+00,2.13535e+00,113
30,9.04043e+00,2.13534e+00,114
31,9.03990e+00,2.13516e+00,114
32,9.03930e+00,2.13500e+00,114
33,9.03869e+00,2.13533e+00,114
34,9.03828e+00,2.13531e+00,115
35,9.03788e+00,2.13602e+00,115
36,9.03743e+00,2.13741e+00,115
37,9.03693e+00,2.13907e+00,116
38,9.03643e+00,2.14061e+00,116
39,9.03603e+00,2.14227e+00,116
40,9.03574e+00,2.14446e+00,116
41,9.03554e+00,2.14663e+00,117
42,9.03539e+00,2.14866e+00,117
43,9.03528e+00,2.15103e+00,117
44,9.03519e+00,2.15317e+00,117
45,9.03515e+00,2.15447e+00,118
46,9.03511e+00,2.15580e+00,118
47,9.03497e+00,2.15682e+00,118
48,9.03478e+00,2.15819e+00,118
49,9.03463e+00,2.15912e+00,119
50,9.03447e+00,2.15983e+00,119
51,9.03428e+00,2.16019e+00,119
52,9.03409e+00,2.16031e+00,120
53,9.03399e+00,2.16102e+00,120
54,9.03386e+00,2.16119e+00,120
55,9.03373e+00,2.16153e+00,120
56,9.03356e+00,2.16180e+00,121
57,9.03337e+00,2.16196e+00,121
58,9.03323e+00,2.16310e+00,121
59,9.03318e+00,2.16322e+00,121
60,9.03317e+00,2.16275e+00,122
61,9.03309e+00,2.16265e+00,122
62,9.03298e+00,2.16185e+00,122
63,9.03286e+00,2.16045e+00,122
64,9.03276e+00,2.15928e+00,123
65,9.03268e+00,2.15836e+00,123
66,9.03256e+00,2.15763e+00,123
67,9.03246e+00,2.15670e+00,123
68,9.03236e+00,2.15573e+00,124
69,9.03225e+00,2.15463e+00,124
70,9.03215e+00,2.15357e+00,124
71,9.03206e+00,2.15281e+00,125
72,9.03197e+00,2.15194e+00,125
73,9.03194e+00,2.15080e+00,125
74,9.03194e+00,2.14964e+00,125
