step,loss_function,target_value,elapsed_time
0,1.31994e+02,2.24917e+00,7
1,9.52072e+00,2.24417e+00,10
2,9.56997e+00,2.23921e+00,10
3,9.55118e+00,2.23424e+00,10
4,9.52636e+00,2.22990e+00,10
5,9.52259e+00,2.22594e+00,10
6,9.51270e+00,2.22167e+00,10
7,9.51181e+00,2.21743e+00,10
8,9.49562e+00,2.21296e+00,10
9,9.48425e+00,2.20878e+00,10
10,9.47637e+00,2.20460e+00,10
11,9.46738e+00,2.20016e+00,10
12,9.45584e+00,2.19592e+00,10
13,9.44648e+00,2.19186e+00,10
14,9.43874e+00,2.18790e+00,10
15,9.42943e+00,2.18402e+00,10
16,9.42088e+00,2.18026e+00,10
17,9.41349e+00,2.17658e+00,10
18,9.40736e+00,2.17292e+00,11
19,9.40283e+00,2.16944e+00,11
20,9.39878e+00,2.16600e+00,11
21,9.39542e+00,2.16275e+00,11
22,9.39310e+00,2.15951e+00,11
23,9.39066e+00,2.15676e+00,11
24,9.38913e+00,2.15411e+00,11
25,9.38659e+00,2.15133e+00,11
26,9.38462e+00,2.14849e+00,11
27,9.38324e+00,2.14535e+00,11
28,9.38196e+00,2.14280e+00,11
29,9.38098e+00,2.14023e+00,11
30,9.38012e+00,2.13832e+00,11
31,9.37935e+00,2.13651e+00,11
32,9.37862e+00,2.13472e+00,11
33,9.37788e+00,2.13349e+00,11
34,9.37731e+00,2.13214e+00,11
35,9.37684e+00,2.13112e+00,11
36,9.37643e+00,2.12969e+00,11
37,9.37608e+00,2.12857e+00,11
38,9.37571e+00,2.12721e+00,12
39,9.37534e+00,2.12597e+00,12
40,9.37522e+00,2.12516e+00,12
41,9.37504e+00,2.12429e+00,12
42,9.37476e+00,2.12361e+00,12
43,9.37439e+00,2.12379e+00,12
44,9.37393e+00,2.12408e+00,12
45,9.37336e+00,2.12435e+00,12
46,9.37277e+00,2.12483e+00,12
47,9.37223e+00,2.12576e+00,12
48,9.37184e+00,2.12718e+00,12
49,9.37138e+00,2.12871e+00,12
50,9.37087e+00,2.13021e+00,12
51,9.37035e+00,2.13239e+00,12
52,9.36975e+00,2.13549e+00,12
53,9.36917e+00,2.13848e+00,12
54,9.36859e+00,2.14107e+00,12
55,9.36800e+00,2.14386e+00,12
56,9.36732e+00,2.14645e+00,12
57,9.36671e+00,2.14902e+00,12
58,9.36616e+00,2.15165e+00,13
59,9.36569e+00,2.15303e+00,13
60,9.36522e+00,2.15512e+00,13
61,9.36474e+00,2.15725e+00,13
62,9.36426e+00,2.15948e+00,13
63,9.36387e+00,2.16185e+00,13
64,9.36347e+00,2.16344e+00,13
65,9.36310e+00,2.16487e+00,13
66,9.36275e+00,2.16572e+00,13
67,9.36244e+00,2.16647e+00,13
68,9.36212e+00,2.16674e+00,13
69,9.36182e+00,2.16694e+00,13
70,9.36153e+00,2.16672e+00,13
71,9.36123e+00,2.16656e+00,13
72,9.36094e+00,2.16599e+00,13
73,9.36064e+00,2.16537e+00,13
74,9.36036e+00,2.16508e+00,13
75,9.36010e+00,2.16508e+00,13
76,9.35985e+00,2.16512e+00,13
77,9.35959e+00,2.16530e+00,13
78,9.35933e+00,2.16504e+00,14
79,9.35905e+00,2.16487e+00,14
80,9.35880e+00,2.16387e+00,14
81,9.35854e+00,2.16234e+00,14
82,9.35831e+00,2.16047e+00,14
83,9.35806e+00,2.15892e+00,14
84,9.35779e+00,2.15759e+00,14
85,9.35752e+00,2.15647e+00,14
86,9.35724e+00,2.15564e+00,14
87,9.35696e+00,2.15529e+00,14
88,9.35670e+00,2.15474e+00,14
89,9.35644e+00,2.15411e+00,14
90,9.35618e+00,2.15366e+00,14
91,9.35590e+00,2.15322e+00,14
92,9.35563e+00,2.15261e+00,14
93,9.35534e+00,2.15202e+00,14
94,9.35505e+00,2.15134e+00,14
95,9.35476e+00,2.15090e+00,14
96,9.35449e+00,2.15008e+00,14
97,9.35422e+00,2.14907e+00,14
98,9.35397e+00,2.14785e+00,15
99,9.35374e+00,2.14614e+00,15
100,9.35352e+00,2.14458e+00,15
