step,loss_function,target_value,elapsed_time
0,4.63E+02,5.44E+00,7
1,5.75E+01,5.44E+00,10
2,5.75E+01,5.45E+00,10
3,5.75E+01,5.45E+00,10
4,5.75E+01,5.46E+00,10
5,5.75E+01,5.46E+00,10
6,5.75E+01,5.46E+00,10
7,5.75E+01,5.46E+00,10
8,5.75E+01,5.46E+00,10
9,5.75E+01,5.46E+00,10
10,5.75E+01,5.46E+00,10
11,5.75E+01,5.47E+00,10
12,5.75E+01,5.47E+00,10
13,5.75E+01,5.47E+00,10
14,5.75E+01,5.47E+00,10
15,5.75E+01,5.48E+00,10
16,5.75E+01,5.48E+00,11
17,5.75E+01,5.48E+00,11
18,5.75E+01,5.48E+00,11
19,5.75E+01,5.49E+00,11
20,5.75E+01,5.49E+00,11
21,5.75E+01,5.49E+00,11
22,5.75E+01,5.50E+00,11
23,5.75E+01,5.50E+00,11
24,5.75E+01,5.50E+00,11
25,5.75E+01,5.50E+00,11
26,5.75E+01,5.51E+00,11
27,5.75E+01,5.51E+00,11
28,5.75E+01,5.51E+00,11
29,5.74E+01,5.51E+00,11
30,5.74E+01,5.51E+00,11
31,5.74E+01,5.51E+00,11
32,5.74E+01,5.52E+00,11
33,5.74E+01,5.52E+00,11
34,5.74E+01,5.52E+00,11
35,5.74E+01,5.52E+00,11
36,5.74E+01,5.52E+00,12
37,5.74E+01,5.53E+00,12
38,5.74E+01,5.53E+00,12
39,5.74E+01,5.53E+00,12
40,5.74E+01,5.53E+00,12
41,5.74E+01,5.53E+00,12
42,5.74E+01,5.53E+00,12
43,5.74E+01,5.53E+00,12
44,5.74E+01,5.53E+00,12
45,5.74E+01,5.53E+00,12
46,5.74E+01,5.53E+00,12
47,5.74E+01,5.53E+00,12
48,5.74E+01,5.53E+00,12
49,5.74E+01,5.54E+00,12
50,5.74E+01,5.54E+00,12
51,5.74E+01,5.54E+00,12
52,5.74E+01,5.54E+00,12
53,5.74E+01,5.54E+00,12
54,5.74E+01,5.54E+00,12
55,5.74E+01,5.54E+00,12
56,5.74E+01,5.54E+00,13
57,5.74E+01,5.54E+00,13
58,5.74E+01,5.54E+00,13
59,5.74E+01,5.54E+00,13
60,5.74E+01,5.54E+00,13
61,5.74E+01,5.54E+00,13
62,5.74E+01,5.54E+00,13
63,5.74E+01,5.54E+00,13
64,5.74E+01,5.54E+00,13
65,5.74E+01,5.54E+00,13
66,5.74E+01,5.54E+00,13
67,5.74E+01,5.54E+00,13
68,5.74E+01,5.54E+00,13
69,5.74E+01,5.53E+00,13
70,5.74E+01,5.53E+00,13
71,5.74E+01,5.53E+00,13
72,5.74E+01,5.53E+00,13
73,5.74E+01,5.53E+00,13
74,5.74E+01,5.53E+00,13
75,5.74E+01,5.53E+00,13
76,5.74E+01,5.53E+00,14
77,5.74E+01,5.53E+00,14
78,5.74E+01,5.53E+00,14
79,5.74E+01,5.53E+00,14
80,5.74E+01,5.53E+00,14
81,5.74E+01,5.53E+00,14
82,5.74E+01,5.53E+00,14
83,5.74E+01,5.53E+00,14
84,5.74E+01,5.52E+00,14
85,5.74E+01,5.52E+00,14
86,5.74E+01,5.52E+00,14
87,5.74E+01,5.52E+00,14
88,5.74E+01,5.52E+00,14
89,5.74E+01,5.52E+00,14
90,5.74E+01,5.52E+00,14
91,5.74E+01,5.52E+00,14
92,5.74E+01,5.52E+00,14
93,5.74E+01,5.52E+00,14
94,5.74E+01,5.51E+00,14
95,5.74E+01,5.51E+00,14
96,5.74E+01,5.51E+00,15
97,5.74E+01,5.51E+00,15
98,5.74E+01,5.51E+00,15
99,5.74E+01,5.51E+00,15
100,5.74E+01,5.51E+00,15
101,5.74E+01,5.50E+00,15
102,5.74E+01,5.50E+00,15
103,5.74E+01,5.50E+00,15
104,5.74E+01,5.50E+00,15
105,5.74E+01,5.50E+00,15
106,5.74E+01,5.49E+00,15
107,5.74E+01,5.49E+00,15
108,5.74E+01,5.49E+00,15
109,5.74E+01,5.50E+00,15
110,5.74E+01,5.50E+00,15
111,5.74E+01,5.50E+00,15
112,5.74E+01,5.50E+00,15
113,5.74E+01,5.50E+00,15
114,5.74E+01,5.50E+00,15
115,5.74E+01,5.50E+00,15
116,5.74E+01,5.50E+00,16
117,5.74E+01,5.51E+00,16
118,5.74E+01,5.51E+00,16
119,5.74E+01,5.51E+00,16
120,5.74E+01,5.51E+00,16
121,5.74E+01,5.51E+00,16
122,5.74E+01,5.52E+00,16
123,5.74E+01,5.52E+00,16
124,5.74E+01,5.52E+00,16
