step,loss_function,target_value,elapsed_time
0,3.73E+02,5.75E+00,16
1,5.84E+01,5.74E+00,22
2,5.90E+01,5.74E+00,22
3,5.98E+01,5.74E+00,22
4,5.85E+01,5.73E+00,22
5,5.82E+01,5.73E+00,23
6,5.81E+01,5.72E+00,23
7,5.81E+01,5.72E+00,23
8,5.81E+01,5.71E+00,23
9,5.81E+01,5.71E+00,23
10,5.81E+01,5.70E+00,23
11,5.81E+01,5.70E+00,23
12,5.81E+01,5.69E+00,23
13,5.82E+01,5.69E+00,23
14,5.82E+01,5.68E+00,23
15,5.82E+01,5.68E+00,23
16,5.82E+01,5.68E+00,23
17,5.82E+01,5.67E+00,24
18,5.82E+01,5.67E+00,24
19,5.82E+01,5.66E+00,24
20,5.82E+01,5.66E+00,24
21,5.82E+01,5.65E+00,24
22,5.82E+01,5.65E+00,24
23,5.82E+01,5.65E+00,24
24,5.82E+01,5.64E+00,24
25,5.82E+01,5.64E+00,24
26,5.82E+01,5.63E+00,24
27,5.82E+01,5.63E+00,24
28,5.82E+01,5.62E+00,24
29,5.82E+01,5.62E+00,24
30,5.82E+01,5.62E+00,25
31,5.82E+01,5.61E+00,25
32,5.81E+01,5.61E+00,25
33,5.81E+01,5.61E+00,25
34,5.81E+01,5.60E+00,25
35,5.81E+01,5.60E+00,25
36,5.81E+01,5.60E+00,25
37,5.81E+01,5.60E+00,25
38,5.81E+01,5.59E+00,25
39,5.81E+01,5.59E+00,25
40,5.81E+01,5.59E+00,25
41,5.81E+01,5.59E+00,25
42,5.81E+01,5.59E+00,26
43,5.81E+01,5.59E+00,26
44,5.81E+01,5.58E+00,26
45,5.81E+01,5.58E+00,26
46,5.81E+01,5.58E+00,26
47,5.81E+01,5.58E+00,26
48,5.81E+01,5.58E+00,26
49,5.81E+01,5.57E+00,26
50,5.81E+01,5.57E+00,26
51,5.81E+01,5.57E+00,26
52,5.81E+01,5.57E+00,26
53,5.81E+01,5.57E+00,26
54,5.81E+01,5.56E+00,27
55,5.81E+01,5.56E+00,27
56,5.81E+01,5.56E+00,27
57,5.81E+01,5.56E+00,27
58,5.81E+01,5.56E+00,27
59,5.81E+01,5.56E+00,27
60,5.81E+01,5.56E+00,27
61,5.81E+01,5.55E+00,27
62,5.81E+01,5.55E+00,27
63,5.81E+01,5.55E+00,27
64,5.81E+01,5.55E+00,27
65,5.81E+01,5.55E+00,27
66,5.81E+01,5.55E+00,28
67,5.81E+01,5.55E+00,28
68,5.81E+01,5.55E+00,28
69,5.81E+01,5.55E+00,28
70,5.81E+01,5.54E+00,28
71,5.81E+01,5.54E+00,28
72,5.81E+01,5.54E+00,28
73,5.81E+01,5.54E+00,28
74,5.80E+01,5.54E+00,28
75,5.80E+01,5.54E+00,28
76,5.80E+01,5.53E+00,28
77,5.80E+01,5.53E+00,28
78,5.80E+01,5.53E+00,28
79,5.80E+01,5.53E+00,29
80,5.80E+01,5.53E+00,29
81,5.80E+01,5.53E+00,29
82,5.80E+01,5.53E+00,29
83,5.80E+01,5.53E+00,29
84,5.80E+01,5.53E+00,29
85,5.80E+01,5.53E+00,29
86,5.80E+01,5.53E+00,29
87,5.80E+01,5.53E+00,29
88,5.80E+01,5.53E+00,29
89,5.80E+01,5.52E+00,29
90,5.80E+01,5.52E+00,29
91,5.80E+01,5.52E+00,30
92,5.80E+01,5.52E+00,30
93,5.80E+01,5.52E+00,30
94,5.80E+01,5.52E+00,30
95,5.80E+01,5.51E+00,30
96,5.80E+01,5.51E+00,30
97,5.80E+01,5.51E+00,30
98,5.80E+01,5.51E+00,30
99,5.80E+01,5.51E+00,30
100,5.80E+01,5.51E+00,30
101,5.80E+01,5.51E+00,30
102,5.80E+01,5.51E+00,30
103,5.80E+01,5.51E+00,30
104,5.80E+01,5.50E+00,31
105,5.80E+01,5.50E+00,31
106,5.80E+01,5.50E+00,31
107,5.80E+01,5.50E+00,31
108,5.80E+01,5.50E+00,31
109,5.80E+01,5.50E+00,31
110,5.80E+01,5.50E+00,31
111,5.80E+01,5.50E+00,31
112,5.80E+01,5.50E+00,31
113,5.80E+01,5.50E+00,31
114,5.80E+01,5.51E+00,31
115,5.80E+01,5.51E+00,31
116,5.80E+01,5.51E+00,32
117,5.80E+01,5.51E+00,32
118,5.80E+01,5.51E+00,32
119,5.80E+01,5.51E+00,32
120,5.80E+01,5.51E+00,32
121,5.80E+01,5.51E+00,32
122,5.80E+01,5.51E+00,32
123,5.80E+01,5.52E+00,32
124,5.80E+01,5.52E+00,32
