target_value,
-2.18E-02, 
1.21E-02,0.012124
5.99E-03,0.00598507
5.88E-03,0.00588016
-4.18E-02, 
5.03E-03,0.00502552
3.82E-02,0.0381687
3.59E-02,0.0359368
-1.14E-02, 
-3.80E-03, 
-2.38E-03, 
2.47E-02,0.024718
6.47E-03,0.00646659
1.01E-02,0.010129
-7.05E-05, 
-8.49E-03, 
2.64E-02,0.0264148
2.22E-03,0.00221588
1.03E-02,0.010279
-2.68E-03, 
-1.79E-02, 
1.53E-03,0.00153466
-2.47E-02, 
-5.05E-03, 
2.96E-02,0.0295746
1.07E-02,0.0107483
1.03E-02,0.0102908
1.75E-02,0.0174566
1.44E-02,0.0143728
8.00E-03,0.00799699
3.38E-02,0.0337616
4.34E-03,0.00433717
2.08E-02,0.0207973
3.49E-02,0.0349491
-1.45E-03, 
-2.04E-02, 
1.57E-02,0.015729
5.73E-03,0.00572523
-4.68E-04, 
-9.16E-03, 
1.30E-02,0.0130103
1.45E-02,0.0145015
1.38E-03,0.00137648
1.23E-02,0.012289
4.93E-03,0.00493178
-4.56E-03, 
2.15E-02,0.0215202
-1.82E-02, 
-7.33E-03, 
2.48E-02,0.0247825
1.19E-01,0.119048
