target_value,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.07E+01,,
1.06E+01,,
1.07E+01,,
1.19E-01,,0.119047619
