S_0,Risk Free rate,Time To Maturity,Strike,Price Given
100,0.05,0.12,90,10.5499
100,0.05,0.12,95,5.90679
100,0.05,0.12,100,2.36816
100,0.05,0.12,105,0.600183
100,0.05,0.12,110,0.0894002
100,0.05,0.24,90,11.2101
100,0.05,0.24,95,6.87346
100,0.05,0.24,100,3.53258
100,0.05,0.24,105,1.46744
100,0.05,0.24,110,0.479177
100,0.05,0.36,90,11.9174
100,0.05,0.36,95,7.7751
100,0.05,0.36,100,4.5026
100,0.05,0.36,105,2.27479
100,0.05,0.36,110,0.99606
100,0.05,0.71,90,13.9421
100,0.05,0.71,95,10.1005
100,0.05,0.71,100,6.91887
100,0.05,0.71,105,4.45616
100,0.05,0.71,110,2.7031
100,0.05,1.07,90,15.8439
100,0.05,1.07,95,12.1271
100,0.05,1.07,100,8.98897
100,0.05,1.07,105,6.40973
100,0.05,1.07,110,4.40543
